N	2gram	Losev_Prob	Myslijsy
1	потому что	24	182
2	то есть	61	142
3	и в	64	121
4	может быть	29	107
5	в том	19	103
6	то что	72	83
7	в слове	1	78
8	для нас	11	75
9	что в	21	73
10	и не	63	73
11	только в	19	72
12	не только	37	67
13	а не	21	67
14	таким образом	9	64
15	в языке	13	60
16	в этом	30	59
17	но и	23	59
18	том что	26	59
19	так как	16	59
20	то же	10	56
21	не в	6	54
22	если бы	8	53
23	в себе	16	53
24	по себе	20	52
25	не может	18	52
26	того что	18	47
27	в сознании	5	46
28	в душе	1	45
29	было бы	16	45
30	в нем	14	45
31	не есть	49	42
32	как и	7	42
33	так что	12	39
34	вместе с	4	39
35	что и	2	38
36	мы не	6	38
37	при этом	8	37
38	как в	5	37
39	так и	17	37
40	тогда когда	4	36
41	что мы	23	36
42	точно так	7	35
43	тем что	10	33
44	и что	21	32
45	а в	7	30
46	что не	8	29
47	между тем	3	29
48	но не	13	29
49	вовсе не	60	28
50	мы можем	8	28
51	для него	2	28
52	есть только	16	28
53	с этим	7	27
54	что язык	1	27
55	могут быть	2	27
56	не было	7	26
57	независимо от	2	26
58	и т	13	26
59	то и	7	26
60	языка и	5	25
61	между собою	9	24
62	в то	7	24
63	с тем	6	23
64	как бы	18	23
65	того как	3	23
66	чувственного образа	1	23
67	от того	2	23
68	а потому	2	22
69	по мере	1	22
70	что слово	2	22
71	то это	3	22
72	с другой	8	22
73	чувства и	1	22
74	не имеет	8	22
75	только тогда	4	22
76	но в	19	22
77	и потому	3	21
78	не менее	26	21
79	мысль о	3	20
80	это не	7	20
81	в ней	1	20
82	мысли и	2	19
83	и как	10	19
84	но это	11	19
85	сказать что	33	19
86	с ним	4	19
87	того же	3	19
88	тем не	25	19
89	что это	4	19
90	и то	15	19
91	из этих	5	19
92	о том	25	19
93	есть уже	1	19
94	тем самым	11	19
95	должно быть	3	19
96	есть не	10	19
97	в самом	10	18
98	в таком	18	18
99	для того	10	18
100	по поводу	6	18
101	в мысли	2	18
102	не могут	6	18
103	бы не	4	18
104	в каком	7	18
105	для меня	1	18
106	что я	1	18
107	еще не	18	18
108	точки зрения	5	17
109	крайней мере	8	17
110	со стороны	2	17
111	по крайней	8	17
112	слова и	5	17
113	что оно	4	17
114	уже в	6	17
115	в его	12	17
116	во всяком	18	17
117	слова в	1	17
118	не можем	2	17
119	только что	2	16
120	и на	11	16
121	к тому	5	16
122	так же	12	16
123	в своем	7	16
124	в которой	2	16
125	а только	9	16
126	в них	8	16
127	слово есть	1	16
128	есть нечто	13	16
129	что если	5	16
130	и наоборот	1	16
131	каждый раз	3	16
132	на то	12	16
133	в этих	7	15
134	уже не	9	15
135	только как	2	15
136	с одной	4	15
137	с другими	6	15
138	и тем	16	15
139	в нас	2	15
140	и по	3	15
141	что он	11	15
142	т д	12	15
143	прежде всего	17	15
144	думать что	2	15
145	тому как	3	15
146	все же	7	14
147	в одно	5	14
148	в котором	5	14
149	в действительности	5	14
150	то в	6	14
151	связи с	8	14
152	так сказать	1	14
153	во всех	9	14
154	когда мы	10	14
155	столь же	1	14
156	должны быть	2	14
157	сам по	7	14
158	и язык	1	14
159	в истории	6	14
160	и без	6	14
161	мы должны	5	14
162	само по	1	14
163	например в	2	13
164	языка в	3	13
165	а между	1	13
166	как на	3	13
167	из них	3	13
168	что все	9	13
169	в смысле	2	13
170	т п	1	13
171	и все	9	13
172	не следует	1	13
173	образом в	1	13
174	и может	2	13
175	значение слова	4	13
176	и его	3	13
177	от него	1	12
178	одно из	2	12
179	другой стороны	7	12
180	до сих	6	12
181	более или	7	12
182	мысли о	1	12
183	это последнее	1	12
184	не то	4	12
185	никогда не	8	12
186	и при	4	12
187	хотя и	8	12
188	быть только	3	12
189	в чем	3	12
190	под влиянием	1	12
191	сих пор	6	12
192	в каждом	1	12
193	оно не	6	12
