N	2gram	Voloshinov	RusskieA
1	и в	16	79
2	в том	3	64
3	том что	3	59
4	что в	3	57
5	не только	7	41
6	во время	3	38
7	так как	4	34
8	в этом	9	33
9	как бы	5	31
10	но и	4	31
11	как и	2	28
12	и на	4	28
13	может быть	17	28
14	в этот	2	26
15	одна из	1	24
16	о том	2	23
17	при этом	6	22
18	а в	3	20
19	как мы	4	20
20	все это	4	18
21	с тем	1	17
22	таким образом	9	17
23	то что	3	17
24	вместе с	3	17
25	во многих	1	16
26	мы не	2	16
27	один из	2	15
28	в них	2	14
29	и с	8	14
30	не менее	2	14
31	как это	3	14
32	и что	1	14
33	и не	4	14
34	для нас	2	14
35	у нас	1	14
36	уже не	1	13
37	к этому	2	13
38	в некоторых	1	13
39	в землю	1	13
40	и по	2	13
41	еще не	5	13
42	не может	8	13
43	между собой	2	12
44	полагает что	1	12
45	мы имеем	1	12
46	мы увидим	1	11
47	не имеет	1	11
48	но это	2	11
49	а на	2	11
50	что на	2	11
51	все же	1	10
52	его в	4	10
53	что и	2	10
54	в течение	1	10
55	так и	4	10
56	и других	2	10
57	то же	2	9
58	что они	1	9
59	с ней	1	9
60	и все	4	9
61	данном случае	1	9
62	но в	4	9
63	в русском	1	9
64	но не	1	9
65	в этих	3	8
66	что по	1	8
67	так же	2	8
68	связи с	1	8
69	во всех	3	8
70	что это	2	8
71	подобно тому	1	8
72	их в	3	8
73	того чтобы	1	8
74	ее в	2	8
75	в данном	1	8
76	тому как	1	8
77	для того	1	8
78	же в	1	8
79	в руках	1	7
80	на них	2	7
81	к нему	1	7
82	в свете	1	7
83	а с	1	7
84	не совсем	1	7
85	было бы	2	7
86	главным образом	1	7
87	только в	4	7
88	еще в	1	7
89	связанные с	2	7
90	из этих	2	7
91	а не	1	7
92	ничего не	1	7
93	не можем	2	7
94	иногда и	1	7
95	и как	3	7
96	предположить что	1	7
97	мы должны	1	7
98	для этого	2	7
99	в году	1	6
100	же как	2	6
101	к тому	1	6
102	выше мы	1	6
103	не всегда	1	6
104	только на	3	6
105	в одном	3	6
106	что она	1	6
107	в качестве	1	6
108	на этом	3	6
109	многих случаях	1	6
110	в этой	4	6
111	в нем	4	6
112	с ними	4	6
113	приводит к	1	6
114	что здесь	1	6
115	и пр	12	6
116	не будем	1	6
117	все эти	5	6
118	а иногда	1	6
119	она не	1	6
120	и их	4	6
121	и о	2	6
122	и к	6	5
123	в разных	1	5
124	только для	5	5
125	с этим	2	5
126	вопрос о	1	5
127	входит в	1	5
128	с другой	1	5
129	к ним	2	5
130	по поводу	1	5
131	в связи	1	5
132	мы уже	2	5
133	можно было	1	5
134	и др	3	5
135	прежде всего	9	5
136	нет никаких	2	5
137	тогда когда	1	5
138	с ним	2	5
139	для них	1	5
140	что он	2	5
141	ничего общего	1	5
142	то и	1	5
143	в свою	1	5
144	к себе	3	5
145	заметить что	1	5
146	но если	1	5
147	и для	2	5
148	тот же	1	5
149	в его	4	5
150	на самом	4	5
151	и потому	3	5
152	отнюдь не	4	5
153	их на	1	5
154	во всем	1	4
155	как они	1	4
156	в своих	1	4
157	во всяком	3	4
158	на этой	3	4
159	не что	1	4
160	под названием	1	4
161	во всей	2	4
162	что иное	1	4
163	она как	1	4
164	несмотря на	1	4
165	не был	1	4
166	что для	1	4
167	могут быть	3	4
168	для объяснения	1	4
169	и здесь	1	4
170	та же	1	4
171	в основном	3	4
172	не на	2	4
173	так называемый	2	4
174	в основе	3	4
175	на основе	2	4
176	связанных с	2	4
177	на две	3	4
178	всяком случае	3	4
179	уже в	1	4
180	его и	1	4
181	по своему	2	4
182	в уже	1	4
183	в ней	1	4
184	связано с	1	4
185	к тем	1	4
186	которые в	1	4
187	и ее	4	4
188	иное как	1	4
189	все что	4	3
190	же и	1	3
191	говорит о	1	3
192	и другими	1	3
193	в виду	1	3
194	связь с	1	3
195	есть в	2	3
196	в одно	2	3
197	на первый	2	3
198	от этого	1	3
199	и такие	1	3
200	он был	1	3
201	только как	3	3
202	увидим что	1	3
203	и еще	1	3
204	как на	1	3
205	находится в	2	3
206	точки зрения	8	3
207	никогда не	2	3
208	а наоборот	1	3
209	с одной	1	3
210	мы знаем	3	3
211	хотя и	1	3
212	и через	2	3
213	большинстве случаев	3	3
214	в области	3	3
215	и это	6	3
216	в эту	1	3
217	сих пор	3	3
218	на другой	1	3
219	того в	1	3
220	совсем не	2	3
221	мы здесь	1	3
222	его к	1	3
223	до сих	3	3
224	сводится к	2	3
225	если бы	1	3
226	в своей	2	3
227	можно назвать	2	3
228	жизни в	1	3
229	на другие	1	3
230	так чтобы	1	3
231	с точки	6	3
232	значение и	1	3
233	нет и	2	3
234	на этот	1	3
235	сомнений в	1	3
236	и то	1	3
237	и этим	2	3
238	это и	1	3
239	с другими	3	3
240	между собою	2	3
241	на все	1	3
242	по его	1	3
243	когда он	1	3
244	есть и	2	3
245	как он	1	3
246	но вместе	1	3
247	в большинстве	3	3
248	на других	1	3
249	в период	1	3
250	и его	8	3
251	это в	1	3
252	с последним	1	2
253	с этой	2	2
254	под ним	1	2
255	нас в	1	2
256	в духе	1	2
257	из всего	1	2
258	его мнению	1	2
259	в момент	1	2
260	но мы	4	2
261	да по	1	2
262	полагают что	1	2
263	можно сказать	4	2
264	но даже	1	2
265	одной стороны	1	2
266	всем этим	1	2
267	с нашим	1	2
268	на которые	1	2
269	говорить о	2	2
270	этим не	1	2
271	по всему	2	2
272	некоторое время	1	2
273	сказать что	7	2
274	в нашем	1	2
275	по-видимому в	1	2
276	друг с	1	2
277	к этим	1	2
278	но так	1	2
279	мы видим	2	2
280	к их	1	2
281	время и	1	2
282	этой же	1	2
283	что при	1	2
284	что такое	5	2
285	у него	2	2
286	что между	1	2
287	быть только	1	2
288	как его	1	2
289	в конце	1	2
290	между ними	3	2
291	образом к	1	2
292	из одного	1	2
293	в чем	5	2
294	имеет и	1	2
295	мы можем	9	2
296	они становятся	1	2
297	и даже	4	2
298	не дает	1	2
299	ту же	2	2
300	не будут	1	2
301	человека который	1	2
302	он не	2	2
303	общего не	1	2
304	в развитии	2	2
305	ни одно	1	2
306	как известно	1	2
307	ту сторону	5	2
308	значение как	1	2
309	общего с	1	2
310	друг другу	1	2
311	это приводит	1	2
312	но нет	1	2
313	на место	1	2
314	в него	5	2
315	не случайно	1	2
316	в один	4	2
317	и особенно	1	2
318	на всю	1	2
319	от нее	1	2
320	и связанные	1	2
321	это значение	1	2
322	в жизни	2	2
323	уже знаем	1	2
324	в другой	1	2
325	в область	2	2
326	интерес к	1	2
327	оно не	2	2
328	не ясно	1	2
329	все то	2	2
330	не более	1	2
331	самом деле	6	2
332	и начало	1	2
333	и действительно	2	2
334	характер этого	1	2
335	как не	2	2
336	и так	2	2
337	такие представления	1	2
338	себя и	2	2
339	становится ясным	1	2
340	совершенно не	8	2
341	что такие	1	2
342	вытекает из	1	2
343	не имеют	1	2
344	на некоторых	1	2
345	быть не	1	2
346	и теперь	3	2
347	что если	1	2
348	которые можно	1	2
349	находящиеся в	1	2
350	вероятно и	1	2
351	с нею	2	2
352	с его	7	2
353	так называемое	1	2
354	ко дню	1	2
355	что есть	1	2
356	но оно	3	2
357	в более	1	2
358	они не	2	2
359	и всегда	1	2
360	для него	6	2
361	этом отношении	1	2
362	день и	1	2
363	более позднее	1	2
364	здесь в	1	2
365	представлений и	3	2
366	однако не	1	2
367	их так	1	2
368	но эта	1	2
369	дело в	1	2
370	и начинается	1	2
371	основные черты	1	2
372	случае не	1	2
373	этой цели	1	2
374	право на	1	2
375	спиной к	1	2
376	с другом	1	2
377	и вообще	2	2
378	что эти	1	2
379	ко всему	1	2
380	может иметь	2	2
381	и притом	3	2
382	в частности	2	2
383	не оставляет	1	2
384	в человеческом	1	2
385	в начале	2	2
386	в пределах	2	2
387	и всех	2	2
388	отношение к	5	2
389	их мы	1	2
390	приводящая к	1	2
391	этом и	1	2
392	здесь имеем	1	2
393	за счет	2	2
394	и наконец	4	2
395	что было	1	1
396	в самом	2	1
397	в центре	1	1
398	всего были	1	1
399	еще более	1	1
400	только что	1	1
401	никаких сомнений	1	1
402	она начинает	1	1
403	в применении	1	1
404	эти очень	1	1
405	этот момент	1	1
406	те же	3	1
407	потому не	1	1
408	не являются	1	1
409	только из	1	1
410	быть может	2	1
411	или во	1	1
412	сделать некоторые	1	1
413	и сам	1	1
414	жизнь в	1	1
415	на такой	1	1
416	форму и	1	1
417	и им	1	1
418	мы и	1	1
419	фазе развития	1	1
420	из рамок	1	1
421	смерть в	1	1
422	не умирают	1	1
423	за ней	1	1
424	различные формы	1	1
425	не удается	2	1
426	а вместе	1	1
427	первый взгляд	1	1
428	то наоборот	1	1
429	и того	1	1
430	одного и	1	1
431	века в	1	1
432	применении к	1	1
433	смерти но	2	1
434	хотя бы	4	1
435	выходит из	1	1
436	почти исключительно	1	1
437	в другом	1	1
438	очень широко	1	1
439	и действия	1	1
440	всего как	1	1
441	и представлениями	1	1
442	привела к	1	1
443	отметить что	1	1
444	нам что	1	1
445	и мышления	1	1
446	с этими	1	1
447	все время	1	1
448	она может	1	1
449	были в	1	1
450	жизни рождение	1	1
451	который только	1	1
452	их сложности	1	1
453	к ее	1	1
454	того же	2	1
455	чем это	1	1
456	едва ли	3	1
457	но весь	1	1
458	и мало	1	1
459	только одна	1	1
460	как причина	1	1
461	на почве	1	1
462	сущность его	2	1
463	оно совершенно	1	1
464	и мы	2	1
465	о двух	1	1
466	характерен для	1	1
467	в состоянии	1	1
468	жизни человека	4	1
469	из того	1	1
470	и основной	1	1
471	если они	1	1
472	и связанных	1	1
473	на этих	2	1
474	аналогии с	2	1
475	весь мир	1	1
476	сон в	1	1
477	является и	1	1
478	в угол	1	1
479	не знает	2	1
480	что его	1	1
481	по аналогии	2	1
482	свой смысл	1	1
483	что не	2	1
484	каждый день	1	1
485	к сожалению	1	1
486	есть та	1	1
487	не есть	2	1
488	даже не	3	1
489	всеми его	1	1
490	основано на	1	1
491	и старается	1	1
492	всех их	1	1
493	и жизнь	1	1
494	а потом	1	1
495	книга о	1	1
496	и мир	1	1
497	всей их	2	1
498	смысл и	1	1
499	для его	1	1
500	мы говорили	1	1
501	все остальные	2	1
502	близко к	1	1
503	погребение в	1	1
504	не будет	2	1
505	к такой	1	1
506	и первую	1	1
507	должны быть	1	1
508	всех других	2	1
509	и та	1	1
510	как один	1	1
511	вопрос можно	1	1
512	и объясняется	1	1
513	вторая часть	1	1
514	что никакого	1	1
515	мужчин и	1	1
516	однако в	1	1
517	о его	1	1
518	и есть	3	1
519	с которым	1	1
520	в общем	3	1
521	всю жизнь	2	1
522	комплекс этот	1	1
523	иной раз	1	1
524	бы ни	1	1
525	которые были	1	1
526	его смерти	1	1
527	легче всего	1	1
528	каждого из	1	1
529	еще одно	1	1
530	шутки и	2	1
531	что до	1	1
532	и самый	1	1
533	которому в	1	1
534	образом и	1	1
535	в углу	1	1
536	почти не	2	1
537	освободиться от	1	1
538	говорит и	1	1
539	он что	1	1
540	ни в	5	1
541	смысла в	1	1
542	не могут	2	1
543	власти и	1	1
544	религиозных и	1	1
545	со всеми	2	1
546	поэтому и	2	1
547	как акт	1	1
548	от своего	1	1
549	месте и	1	1
550	в ходу	1	1
551	что ими	1	1
552	может стать	1	1
553	эта сила	1	1
554	только себя	1	1
555	зависимости от	1	1
556	со стороны	1	1
557	во сне	2	1
558	их во	1	1
559	нам из	1	1
560	это самое	1	1
561	не входит	1	1
562	человека и	1	1
563	ли они	1	1
564	что мы	2	1
565	тех же	3	1
566	желаний и	2	1
567	наконец в	1	1
568	приступая к	1	1
569	их совершенно	1	1
570	это только	1	1
571	внимание на	1	1
572	а может	2	1
573	в борьбу	1	1
574	и об	1	1
575	теми которые	1	1
576	знаем что	2	1
577	в каком	2	1
578	а во	1	1
579	таким путем	2	1
580	это вытекает	1	1
581	в точности	1	1
582	без всякого	1	1
583	как некое	1	1
584	ее не	1	1
585	мог бы	1	1
586	в самую	1	1
587	что я	1	1
588	форма и	1	1
589	скрывается в	1	1
590	только при	1	1
591	думая что	1	1
592	в сознании	1	1
593	семьи и	1	1
594	он может	1	1
595	явлений на	2	1
596	мы еще	1	1
597	точку зрения	1	1
598	в м	1	1
599	сделать это	2	1
600	работе мы	1	1
601	часто и	1	1
602	смерти как	1	1
603	как раз	1	1
604	в любви	1	1
605	или к	1	1
606	мир в	1	1
607	этот комплекс	1	1
608	в коем	1	1
609	зависит от	1	1
610	ненависть к	2	1
611	одна и	1	1
612	это часто	1	1
613	а это	1	1
614	о нем	1	1
615	у многих	1	1
616	рая и	1	1
617	в свои	1	1
618	и эта	1	1
619	вообще не	2	1
620	войдя в	1	1
621	является по	2	1
622	оно же	1	1
623	при таком	1	1
624	формы погребения	1	1
625	и могут	1	1
626	остановимся на	1	1
627	и оно	3	1
628	это было	1	1
629	пока не	1	1
630	но особенно	1	1
631	и таким	2	1
632	какое значение	2	1
633	без всякой	1	1
634	искать в	1	1
635	работы но	1	1
636	же с	1	1
637	рождения и	2	1
638	пр в	1	1
639	значение так	1	1
640	оно в	1	1
641	силу от	1	1
642	на один	1	1
643	с первым	1	1
