N	2gram	Ircho_Kome	VeschiIm
1	т е	14	81
2	и не	19	57
3	не только	12	48
4	то что	8	48
5	не может	3	46
6	и в	40	45
7	и т	11	39
8	может быть	16	39
9	т д	4	38
10	а не	1	37
11	потому что	8	25
12	было бы	8	24
13	только в	6	23
14	по себе	2	23
15	что она	3	23
16	в себе	3	23
17	сказать что	1	22
18	и что	2	22
19	как бы	3	20
20	и следовательно	2	20
21	что это	5	19
22	что же	2	19
23	с нею	1	19
24	но и	14	19
25	и ее	5	19
26	в этом	9	18
27	все же	7	18
28	так как	6	17
29	прежде всего	8	17
30	и это	3	17
31	таким образом	13	16
32	того что	1	16
33	как раз	4	16
34	как и	12	15
35	в том	19	15
36	в ней	2	15
37	но это	2	14
38	сущности и	1	14
39	не в	8	14
40	в самом	5	13
41	том что	19	13
42	и больше	1	13
43	и для	4	13
44	а и	1	13
45	в себя	3	13
46	то ни	4	13
47	что в	12	12
48	и с	8	12
49	бы то	4	12
50	то же	7	12
51	и даже	5	12
52	о том	12	12
53	еще не	7	12
54	не что	1	12
55	если мы	1	12
56	точки зрения	7	12
57	но если	4	12
58	ничего не	4	12
59	что они	4	12
60	что иное	1	12
61	ни было	4	12
62	совершенно не	1	12
63	что и	10	12
64	и как	3	12
65	если она	1	12
66	иное как	1	12
67	и их	3	11
68	не менее	6	11
69	себя в	2	11
70	еще и	2	11
71	тем не	3	11
72	ни в	9	11
73	что не	1	11
74	вовсе не	3	11
75	также и	1	11
76	в то	14	11
77	и только	1	11
78	в чем	3	10
79	ясно что	9	10
80	с ее	2	10
81	с ним	1	9
82	в результате	5	9
83	со стороны	3	9
84	бы и	1	9
85	то и	3	9
86	хотя бы	2	9
87	говорить о	3	9
88	в своем	6	9
89	ни с	1	9
90	это не	2	9
91	у нас	3	9
92	бы в	3	9
93	если оно	1	9
94	ли это	2	9
95	так что	6	9
96	но не	3	9
97	на то	3	9
98	и его	17	9
99	если бы	4	8
100	с тем	5	8
101	что он	11	8
102	отличается от	1	8
103	по сравнению	1	8
104	но в	6	8
105	мы не	4	8
106	мы имеем	1	8
107	для него	1	8
108	в ее	2	8
109	все это	7	8
110	со своим	6	8
111	в отношении	6	8
112	его в	6	8
113	указывает на	2	8
114	в явление	1	8
115	и потому	1	8
116	в философии	2	8
117	не с	1	8
118	даже не	4	8
119	с другой	7	8
120	отнюдь не	2	8
121	с этой	3	7
122	в сущности	3	7
123	все эти	1	7
124	тем что	5	7
125	сравнению с	1	7
126	в действительности	4	7
127	относится к	2	7
128	и тогда	1	7
129	слова и	1	7
130	мог бы	3	7
131	с именем	1	7
132	по имени	7	7
133	и тем	2	7
134	е в	2	7
135	от того	3	7
136	а в	9	7
137	из них	16	7
138	можно только	1	7
139	в той	2	6
140	с полной	1	6
141	для себя	2	6
142	в разных	1	6
143	их в	1	6
144	в своей	3	6
145	в каком	1	6
146	в данном	1	6
147	из себя	1	6
148	в одном	10	6
149	одна из	4	6
150	ее не	1	6
151	вопрос о	5	6
152	от ее	1	6
153	несмотря на	5	6
154	эти две	1	6
155	все равно	1	6
156	или иначе	4	6
157	и другое	1	6
158	в нем	8	6
159	так или	4	6
160	можно было	5	6
161	как мы	5	6
162	жизни и	4	6
163	независимо от	5	6
164	и все	4	6
165	это имя	1	6
166	больше того	4	6
167	все что	3	5
168	как это	7	5
169	в настоящем	2	5
170	один из	9	5
171	на себе	1	5
172	и здесь	6	5
173	даже и	1	5
174	подобно тому	1	5
175	в жизни	1	5
176	вместе с	8	5
177	да и	5	5
178	себе в	1	5
179	чем же	2	5
180	и достаточно	1	5
181	в свою	2	5
182	и если	2	5
183	быть не	1	5
184	и когда	1	5
185	нет и	2	5
186	это что	1	5
187	того же	4	5
188	о ней	1	5
189	во всех	4	5
190	что у	6	5
191	в его	8	5
192	хотя и	6	5
193	мы находим	2	5
194	от всех	1	5
195	в которой	9	5
196	на себя	5	5
197	то это	3	5
198	и без	3	5
199	по смыслу	1	5
200	между прочим	2	5
201	об этом	2	5
202	должен быть	1	5
203	тому как	1	5
204	на это	3	5
205	что для	1	5
206	же это	1	5
207	для этого	2	5
208	в особенности	1	4
209	и от	2	4
210	еще более	2	4
211	сам по	1	4
212	о которой	1	4
213	сводится к	1	4
214	более или	1	4
215	этой точки	1	4
216	если это	2	4
217	она является	1	4
218	то время	8	4
219	с ними	2	4
220	с этим	5	4
221	во всяком	4	4
222	в основе	1	4
223	и более	2	4
224	в котором	6	4
225	нельзя было	1	4
226	того чтобы	4	4
227	обойтись без	1	4
228	об отношении	2	4
229	отношении к	1	4
230	же время	5	4
231	так же	4	4
232	и еще	5	4
233	ее как	1	4
234	на него	4	4
235	находится в	2	4
236	учения об	1	4
237	что все	1	4
238	что именно	3	4
239	тут же	2	4
240	тот же	5	4
241	то в	1	4
242	и вот	4	4
243	к себе	1	4
244	в качестве	8	4
245	и всем	1	4
246	так и	17	4
247	и сама	1	4
248	же не	2	4
249	в их	6	4
250	однако не	2	4
251	и притом	2	4
252	и эта	1	4
253	в конце	7	4
254	судить о	1	4
255	время как	6	4
256	что только	1	4
257	или менее	2	4
258	и у	3	4
259	мы можем	6	4
260	на этом	3	4
261	не было	1	4
262	который мы	1	4
263	в и	3	4
264	он не	5	4
265	в силу	4	4
266	веры в	1	4
267	и сам	5	4
268	по своей	2	4
269	в этой	9	4
270	отношение к	3	4
271	к ней	2	4
272	и о	3	4
