N	3gram	Nazirov_Tr	Marksizm
1	не может быть	1	25
2	в самом деле	1	19
3	то же время	5	15
4	в то же	5	15
5	в том что	2	14
6	в связи с	1	14
7	и не может	1	12
8	в высшей степени	1	12
9	в отличие от	2	10
10	с самого начала	1	10
11	но в то	2	9
12	смысле этого слова	1	7
13	во всяком случае	1	6
14	отнюдь не является	1	5
15	и как бы	2	5
16	к тому что	1	5
17	в этом случае	1	5
18	но все же	2	4
19	о том что	2	4
20	том что он	1	4
21	в применении к	1	3
22	тем не менее	1	3
23	хотя бы и	1	3
24	но при этом	1	3
25	в конце концов	1	3
26	между этими двумя	2	3
27	не могут быть	1	3
28	и в этом	1	3
29	что он не	1	2
30	так и в	3	2
31	обстоит дело с	1	2
32	а между тем	1	2
33	в данном случае	2	2
34	как и в	1	2
35	в чем же	1	2
36	как и все	1	2
37	и в самом	2	2
38	он сказал что	1	2
39	это и есть	1	2
40	и он сам	1	1
41	выходящее за пределы	1	1
42	и добро и	1	1
43	имеет в виду	1	1
44	бы и не	1	1
45	то что он	1	1
46	если б это	1	1
47	по сравнению с	1	1
48	в году по	1	1
49	как и его	1	1
50	несмотря на всю	1	1
51	прежде всего необходимо	1	1
52	по природе своей	1	1
53	на страницах романа	1	1
54	сам по себе	1	1
55	вряд ли это	1	1
56	ничего не значит	1	1
57	с тем и	1	1
58	вместо того чтобы	1	1
59	не только не	1	1
60	значение выходящее за	1	1
61	не только по	1	1
62	связаны между собой	1	1
63	и должно быть	1	1
64	же время он	1	1
65	добро и зло	1	1
66	может быть в	1	1
67	принципиальный отказ от	1	1
68	так обстоит дело	1	1
69	или как говорит	1	1
70	все же не	1	1
71	в обоих случаях	1	1
72	вообще не имеет	1	1
73	по нашему мнению	1	1
74	понятно что в	1	1
75	у него нет	1	1
76	в таком виде	1	1
77	в себе этого	1	1
78	в той же	1	1
79	и потому как	1	1
80	после того как	1	1
