N	4gram	Losev_Prob	Hudozhes
1	мы имеем в виду	1	3
2	одно и то же	3	3
3	одного и того же	1	3
4	в том числе и	1	2
5	в том что он	1	2
6	бы то ни было	4	2
7	в той или иной	7	2
8	с этой точки зрения	1	2
9	в войне и мире	1	2
10	и в то же	2	2
11	сама по себе а	2	1
12	и того же типа	1	1
13	не что иное как	6	1
14	заключается в том что	4	1
15	в узком значении этого	1	1
16	а иной раз и	1	1
17	той или иной мере	3	1
18	можно даже сказать что	1	1
19	с одной стороны и	1	1
20	по себе а в	1	1
21	а в то же	1	1
22	дело не в самом	1	1
23	по себе еще не	1	1
24	том или ином отношении	1	1
25	узком значении этого слова	1	1
26	не содержит в себе	1	1
27	с точки зрения логики	1	1
28	не сама по себе	2	1
29	не может быть и	1	1
30	одним и тем же	1	1
31	какой бы то ни	1	1
32	в связи с этим	1	1
33	еще и потому что	1	1
34	в том или ином	2	1
35	себе отчет в том	2	1
36	чего бы то ни	2	1
37	есть не что иное	6	1
