N	3gram	Losev_Dial	Stilisti
1	в то же	7	9
2	для того чтобы	1	7
3	в зависимости от	2	7
4	то же время	8	7
5	с точки зрения	18	5
6	одно и то	8	5
7	мы никогда не	1	5
8	и то же	8	5
9	той или иной	4	4
10	то или иное	4	4
11	ту или иную	1	4
12	и той же	1	4
13	одной и той	1	4
14	с самого начала	2	4
15	то же самое	3	4
16	то что мы	1	4
17	что мы называем	1	3
18	но и в	1	3
19	во всех своих	1	3
20	на самом деле	3	3
21	в конце концов	4	3
22	тех или иных	1	3
23	не только в	2	3
24	не забудем что	1	3
25	но все же	2	3
26	все больше и	1	2
27	в самом деле	3	2
28	есть не что	3	2
29	может показаться что	1	2
30	вместе с тем	1	2
31	не может быть	4	2
32	больше и больше	1	2
33	о том что	6	2
34	можно сказать что	6	2
35	и как бы	1	2
36	в голову не	1	2
37	мы будем говорить	1	2
38	связи с этим	2	2
39	не было бы	2	2
40	не что иное	4	2
41	но в то	1	2
42	та же самая	1	2
43	только потому что	4	2
44	и в то	3	2
45	равно как и	1	2
46	как мы увидим	1	2
47	на первый взгляд	2	2
48	в связи с	3	2
49	к тому что	3	2
50	что иное как	4	2
51	в этом отношении	2	2
52	и не только	4	2
53	или хотя бы	2	2
54	в том что	12	1
55	конечно это не	1	1
56	тех же словах	1	1
57	в том и	1	1
58	теперь перед нами	1	1
59	несмотря на свою	1	1
60	а не иначе	1	1
61	один взгляд на	1	1
62	мы уже знаем	4	1
63	одному из них	1	1
64	как и вообще	1	1
65	но все эти	1	1
66	но почему же	1	1
67	это дает нам	1	1
68	фотография того что	1	1
69	к одному и	1	1
70	по крайней мере	11	1
71	что в одном	1	1
72	одних и тех	1	1
73	и тому же	1	1
74	и в особенности	1	1
75	том что такое	1	1
76	ни в какой	3	1
77	существу ничем не	1	1
78	и в отношении	1	1
79	нам в голову	1	1
80	по большей части	1	1
81	внутренним и внешним	1	1
82	которого она должна	1	1
83	становится совершенно ясным	1	1
84	в себе и	1	1
85	в жизни и	1	1
86	что это значит?	2	1
87	на ту или	1	1
88	и ни от	1	1
89	тем не менее	3	1
90	только в том	1	1
91	мы должны поставить	1	1
92	может быть так	1	1
93	и тех же	1	1
94	об этом мы	1	1
95	более или менее	5	1
96	по сравнению с	2	1
97	и как в	1	1
98	в качестве примера	2	1
99	но даже и	1	1
100	и та же	5	1
101	дает нам возможность	1	1
102	как таковой не	1	1
103	именно так и	1	1
104	их точки зрения	1	1
105	не говоря уже	1	1
106	говорить не о	1	1
107	который является как	1	1
108	содержание и смысл	1	1
109	так а не	1	1
110	до сих пор	4	1
111	пространство и время	1	1
112	иметь в виду	4	1
113	это еще не	1	1
114	и чаще всего	1	1
115	содержит в себе	5	1
116	то все же	1	1
117	как и нет	1	1
118	бросается в глаза	1	1
119	чтобы убедиться в	1	1
120	само по себе	7	1
121	без сновидений и	1	1
122	и от этого	3	1
123	в одних и	1	1
124	и в голову	1	1
125	как мы это	1	1
126	одному и тому	1	1
127	ничто не мешает	2	1
128	по себе не	7	1
129	не существует и	1	1
130	не только о	1	1
131	хотя бы в	1	1
132	не в самом	1	1
133	в своей жизни	1	1
134	с их точки	1	1
135	не может не	1	1
136	этом мы будем	1	1
137	так как и	2	1
138	одна и та	5	1
139	как раз и	1	1
140	между тем в	1	1
141	не является ли	1	1
142	по существу ничем	1	1
143	та или иная	4	1
144	не нуждается в	6	1
145	в нем и	2	1
146	с другой стороны	7	1
147	вопрос о том	1	1
148	точки зрения и	1	1
149	жизни и в	2	1
150	между внутренним и	1	1
151	но как только	1	1
152	только тогда когда	4	1
153	в виду что	2	1
154	тех или других	4	1
155	можно было бы	4	1
156	всего того что	1	1
157	что несмотря на	1	1
158	и не может	1	1
159	если же он	1	1
160	и в этом	4	1
161	если мы будем	1	1
162	же самое и	1	1
163	она не дана	1	1
164	быть может и	1	1
165	это мы должны	1	1
166	отнюдь не является	1	1
167	различаются так как	1	1
