N	4gram	Bakhtin_Fr	TeoriaLi
1	в то же время	5	8
2	мы имеем в виду	1	3
3	в том числе и	7	2
4	в том что он	1	2
5	но в то же	2	2
6	и в то же	2	2
7	то же время эти	1	1
8	вольный фамильярный контакт между	1	1
9	бы карнавал переживаемый в	1	1
10	контакт между всеми людьми	1	1
11	это по преимуществу ночной	1	1
12	фамильярный контакт между всеми	1	1
13	дело в том что	2	1
14	подчеркнуть при этом что	1	1
15	в одиночку с острым	1	1
16	но дело в том	1	1
17	как бы карнавал переживаемый	1	1
18	в той или иной	5	1
19	переживаемый в одиночку с	1	1
20	карнавал переживаемый в одиночку	1	1
