N	2gram	Voloshinov	Dialekti
1	не есть	2	181
2	и не	10	120
3	по себе	3	79
4	а не	5	78
5	и в	12	77
6	точки зрения	14	72
7	может быть	14	71
8	не только	4	66
9	то что	5	59
10	ничего не	2	54
11	не может	16	53
12	с точки	2	46
13	что это	1	46
14	так как	9	46
15	как бы	13	43
16	и что	2	42
17	ни в	3	42
18	вовсе не	1	41
19	в том	6	40
20	в этом	4	39
21	то же	5	39
22	что она	1	38
23	в себе	3	38
24	том что	5	37
25	прежде всего	8	37
26	это не	2	36
27	что в	2	34
28	в нем	6	34
29	и все	2	33
30	того что	3	33
31	но и	3	32
32	ясно что	3	31
33	все это	3	31
34	сказать что	7	30
35	отнюдь не	5	30
36	было бы	1	29
37	так и	4	29
38	как и	5	28
39	никогда не	5	27
40	в виду	5	26
41	крайней мере	1	26
42	не в	4	26
43	по крайней	1	26
44	сама по	1	26
45	и то	2	25
46	и пр	3	25
47	есть только	1	25
48	но это	2	24
49	если бы	9	24
50	таким образом	12	23
51	в то	2	23
52	это и	1	23
53	что оно	1	23
54	и вот	1	23
55	но что	2	22
56	что не	4	21
57	в чем	2	21
58	должна быть	5	21
59	допустим что	2	21
60	она не	2	21
61	и с	3	20
62	о том	3	20
63	что и	2	20
64	что все	1	20
65	в таком	1	20
66	только в	6	20
67	в каком	3	20
68	уже не	4	20
69	и вообще	3	20
70	в самом	4	19
71	не менее	3	19
72	не существует	1	19
73	в своем	2	19
74	как же	2	19
75	и притом	2	19
76	и это	1	19
77	как это	2	19
78	тогда когда	2	19
79	что мы	5	19
80	и его	13	19
81	же время	1	18
82	хотя бы	5	18
83	с другой	4	18
84	ни на	2	18
85	жизни и	4	18
86	в особенности	2	17
87	можно сказать	5	17
88	должно быть	1	17
89	в основе	1	17
90	но если	1	17
91	кроме того	2	16
92	одно и	2	16
93	к нему	4	16
94	тем не	3	16
95	или не	3	16
96	сам по	1	16
97	в своей	3	16
98	да и	3	16
99	нет ничего	2	16
100	конечно не	3	16
101	мы не	3	16
102	ровно ничего	1	15
103	все же	4	15
104	так же	3	15
105	то в	1	15
106	и мы	1	15
107	несмотря на	1	15
108	мы уже	1	15
109	самом деле	3	15
110	хотя и	1	15
111	в виде	1	15
112	быть и	3	15
113	и о	1	15
114	даже и	1	14
115	с ним	3	14
116	не было	1	14
117	и ее	3	14
118	жизнь и	1	14
119	и потому	2	14
120	и только	1	14
121	и к	4	13
122	говорит о	1	13
123	другой стороны	2	13
124	что именно	1	13
125	не то	1	13
126	что они	1	13
127	время как	1	13
128	и следовательно	5	13
129	в смысле	1	13
130	он не	2	13
131	и та	2	13
132	с ее	1	13
133	но в	5	13
134	в ней	6	13
135	именно в	1	12
136	но не	2	12
137	могут быть	2	12
138	не могут	1	12
139	перед нами	1	12
140	еще не	3	12
141	и тогда	1	12
142	все равно	1	12
143	все эти	3	12
144	тем более	1	12
145	в них	3	11
146	от всего	1	11
147	как только	2	11
148	в данном	2	11
149	только на	3	11
150	что я	1	11
151	и тем	1	11
152	должны быть	1	11
153	тех или	1	11
154	можно только	1	11
155	та же	1	11
156	себе не	1	11
157	от того	4	11
158	мы имеем	2	11
159	есть в	1	11
160	мы должны	1	11
161	только то	1	11
162	в душе	2	10
163	с этой	2	10
164	одно из	1	10
165	в результате	1	10
166	в жизни	5	10
167	к тому	1	10
168	во всяком	1	10
169	только как	1	10
170	в ее	1	10
171	себе и	1	10
172	и для	3	10
173	если же	2	10
174	что для	1	10
175	чтобы не	1	10
176	за пределы	4	10
