N	2gram	Tiupa_Anal	Tvorches
1	и в	36	56
2	как бы	14	41
3	в его	12	37
4	в романе	3	34
5	в то	8	30
6	то же	7	25
7	в году	5	24
8	не только	40	24
9	же время	7	24
10	но в	8	24
11	как и	27	23
12	то есть	15	23
13	и не	14	23
14	а в	17	23
15	и его	18	23
16	в этом	19	22
17	и т	1	22
18	что в	15	21
19	в том	16	21
20	он не	9	19
21	том что	19	19
22	может быть	19	19
23	потому что	1	19
24	у него	2	18
25	то что	5	18
26	таким образом	4	17
27	и на	5	17
28	что он	5	17
29	все это	5	17
30	при этом	19	16
31	но и	26	16
32	никогда не	7	16
33	как в	9	16
34	прежде всего	7	16
35	не может	3	16
36	и с	1	15
37	в мире	17	15
38	но это	3	15
39	в этой	10	15
40	с его	15	15
41	и даже	12	14
42	это не	4	14
43	о том	9	13
44	времени в	3	13
45	а не	16	13
46	тем самым	8	12
47	в целом	8	12
48	в своей	12	11
49	все же	6	11
50	отнюдь не	7	11
51	для него	8	11
52	в самом	7	10
53	он сам	2	10
54	в русской	9	10
55	не в	9	10
56	в конце	6	10
57	только в	9	10
58	когда он	2	10
59	в основном	1	10
60	уже в	5	10
61	так и	19	10
62	но не	13	10
63	как будто	1	10
64	по нашему	3	10
65	в своих	3	9
66	первой части	2	9
67	по природе	3	9
68	а затем	2	9
69	по мнению	1	9
70	и от	3	9
71	один из	6	9
72	жизни в	4	9
73	в свою	9	9
74	человека в	3	9
75	в нем	3	9
76	даже в	6	8
77	именно в	4	8
78	в соответствии	5	8
79	не менее	9	8
80	так же	1	8
81	к этому	3	8
82	ивана карамазова	1	8
83	хотя и	4	8
84	одним из	1	8
85	это уже	1	8
86	вместе с	3	8
87	тогда как	37	8
88	соответствии с	3	8
89	одной из	6	8
90	еще не	7	8
91	в себе	7	8
92	романе достоевского	1	8
93	в их	7	8
94	на его	3	8
95	об этом	3	8
96	вовсе не	2	8
97	по сути	2	8
98	человека и	2	8
99	русской литературе	6	7
100	в этих	2	7
101	и сам	8	7
102	например в	2	7
103	уже не	9	7
104	казалось бы	4	7
105	в записках	1	7
106	в дальнейшем	2	7
107	что она	3	7
108	и он	4	7
109	в которой	1	7
110	в чем	2	7
111	в рассказе	1	7
112	не случайно	13	7
113	своего рода	17	7
114	человеческой личности	1	7
115	самом деле	2	7
116	сути дела	1	7
117	во сне	3	7
118	читателя в	3	7
119	в момент	3	6
120	еще более	1	6
121	в принципе	3	6
122	не столько	4	6
123	и как	5	6
124	конечном счете	5	6
125	если он	1	6
126	на эту	2	6
127	хотя бы	1	6
128	одна из	6	6
129	его в	4	6
130	в конечном	5	6
131	так что	2	6
132	и ее	3	6
133	а потому	1	6
134	героя в	1	6
135	своих героев	1	6
136	и далее	2	6
137	с ним	2	6
138	если бы	2	6
139	и все	3	6
140	приводит к	5	6
141	в книге	1	6
142	в повести	1	6
143	все эти	2	6
144	ли не	5	6
145	место в	4	6
146	и другие	1	5
147	мысли и	1	5
148	быть может	1	5
149	у пушкина	3	5
150	в них	4	5
151	что этот	1	5
152	с другой	10	5
153	приходит к	1	5
154	по отношению	9	5
155	отметить что	1	5
156	как правило	6	5
157	в своем	7	5
158	в одной	2	5
159	во всей	1	5
160	из них	4	5
161	что они	3	5
162	что у	3	5
163	на него	1	5
164	в ее	5	5
165	что и	10	5
166	не было	3	5
167	что не	3	5
168	в таком	2	5
169	я не	3	5
170	и у	1	5
171	а с	2	5
172	героя и	7	5
173	что это	1	5
174	если не	1	5
175	между тем	8	5
176	в первой	10	5
177	дело не	3	5
178	не так	2	5
179	на деле	1	5
180	та же	1	5
181	с этим	4	5
182	самим собой	3	5
183	маленького человека	2	5
184	не имеют	1	5
185	это все	1	5
186	в современном	1	5
187	в истории	1	5
188	начиная с	1	5
189	но если	1	5
190	тот же	3	5
191	ничего не	3	5
192	у гоголя	1	5
193	мы не	4	5
194	в литературе	3	5
195	как у	3	5
196	бы не	1	5
197	но с	3	5
198	но эта	2	5
199	и по	3	5
200	и других	1	5
201	отношению к	9	5
202	с этой	1	4
203	в финале	7	4
204	а у	1	4
205	говорит о	3	4
206	на земле	1	4
207	тем что	3	4
208	наш взгляд	5	4
209	роль в	5	4
210	так в	4	4
211	а а	5	4
212	для автора	1	4
213	и отчасти	1	4
214	восходит к	4	4
215	представляет собой	7	4
216	только на	1	4
217	говорить о	6	4
218	говорит что	1	4
219	превращается в	3	4
220	рассказывает о	1	4
221	утверждал что	1	4
222	что все	1	4
223	точки зрения	3	4
224	крайней мере	5	4
225	мы видим	1	4
226	по преимуществу	3	4
227	и потому	3	4
228	с точки	2	4
229	однако этот	1	4
230	стремится к	1	4
231	не знает	2	4
232	времени как	1	4
233	который в	4	4
234	же как	1	4
235	так сказать	2	4
236	сих пор	1	4
237	в такой	1	4
238	не был	1	4
239	в каждом	4	4
240	тут же	1	4
241	к роману	1	4
242	личности и	4	4
243	не мог	4	4
244	как это	7	4
245	князя с	1	4
246	главного героя	2	4
247	но только	1	4
248	и я	3	4
249	этот вопрос	1	4
250	как известно	3	4
251	но без	2	4
252	себя в	6	4
253	однако в	6	4
254	могут быть	4	4
255	о его	3	4
256	и есть	1	4
257	ведет к	2	4
258	до сих	1	4
259	в область	1	4
260	с ними	2	4
261	сюжета и	2	4
262	и одновременно	6	4
263	героев и	1	4
264	на наш	5	4
265	свое я	1	4
266	года и	1	4
267	по крайней	5	4
268	перед нами	7	4
269	это и	4	4
270	его и	1	4
271	в основе	2	4
272	и более	1	4
273	сливается с	1	4
274	связана с	1	4
275	времени и	1	4
276	в отличие	5	4
277	той же	7	4
278	того что	4	4
279	зависит от	1	4
280	и тут	1	4
281	он же	2	4
282	отказаться от	1	4
283	дело в	3	4
284	к жизни	5	4
285	особенно в	1	4
286	личности в	5	4
287	отличие от	5	4
288	но он	1	4
289	в частности	19	4
290	далеко не	8	4
291	у нее	1	4
292	х годов	1	4
293	из жизни	1	4
294	в плане	1	4
295	такой же	2	4
296	и наконец	1	4
297	что на	3	4
298	и к	7	3
299	от него	1	3
300	этого персонажа	3	3
301	и мотивы	1	3
302	в виду	1	3
303	другой стороны	7	3
304	по себе	6	3
305	связь с	3	3
306	в средневековой	1	3
307	в первом	2	3
308	мысль о	3	3
309	в мир	1	3
310	в жизни	2	3
311	давно уже	1	3
312	к самому	2	3
313	жизнь на	1	3
314	отличается от	1	3
315	к тому	10	3
316	во всяком	6	3
317	можно сказать	5	3
318	года до	1	3
319	всегда с	1	3
320	в этот	1	3
321	особое место	1	3
322	из письма	1	3
323	может служить	2	3
324	точно так	1	3
325	в одном	4	3
326	перед ним	2	3
327	с другим	1	3
328	и еще	1	3
329	сказать что	2	3
330	м о	1	3
331	человеческих отношений	1	3
332	едва ли	6	3
333	то в	4	3
