N	4gram	Tiupa_Anal	Komedia
1	в то же время	7	16
2	обращает на себя внимание	1	7
3	не говоря уже о	1	6
4	к тому же в	2	6
5	в том что он	2	4
6	один и тот же	1	3
7	состоит в том что	1	2
8	в тех случаях когда	1	2
9	одних и тех же	2	2
10	и в том что	1	1
11	лицом к лицу с	1	1
12	не что иное как	1	1
13	который в свою очередь	2	1
14	том что он якобы	1	1
15	идет о том что	1	1
16	и все же если	1	1
17	в литературе нового времени	1	1
18	речь идет о том	1	1
19	состоит в том чтобы	1	1
20	у меня в доме	1	1
21	одного и того же	4	1
22	не следует забывать что	1	1
23	одна из них не	1	1
24	о своей любви к	1	1
25	мы имеем дело с	1	1
26	но и в том	1	1
