N	4gram	Losev_Vlad	KulturaY
1	и тем не менее	1	7
2	до тех пор пока	2	7
3	в то же время	7	6
4	не в том чтобы	1	5
5	не говоря уже о	3	5
6	и то обстоятельство что	2	3
7	говоря уже о том	1	3
8	уже о том что	1	3
9	а с другой стороны	1	3
10	и вместе с тем	1	3
11	в том что он	2	3
12	не в том что	1	3
13	а в том что	1	2
14	не что иное как	2	2
15	одной и той же	1	2
16	и в то же	3	2
17	один и тот же	2	2
18	мы должны сказать что	1	1
19	и в том что	1	1
20	само по себе не	1	1
21	письмо вл соловьева к	2	1
22	связи с вопросом о	1	1
23	одно и то же	1	1
24	он во всяком случае	1	1
25	уже и потому что	1	1
26	и т д в	1	1
27	дело в том что	7	1
28	в свое время в	1	1
29	как это часто бывает	1	1
30	ни за что не	1	1
31	и не может быть	1	1
32	но кроме того и	1	1
33	так или иначе но	2	1
34	и притом не только	1	1
35	что бы то ни	1	1
36	о том что он	2	1
37	в то время как	2	1
38	на французском языке в	2	1
39	с одной стороны а	1	1
40	также и то что	2	1
41	а может быть и	1	1
42	которая как раз и	1	1
43	но во всяком случае	1	1
44	о том что в	1	1
45	на этот раз из	2	1
46	все это конечно не	1	1
47	одной стороны а с	1	1
48	скажем несколько слов о	1	1
49	тем не менее по	1	1
50	так как он будет	1	1
51	то что я не	1	1
52	свидетельствуют о том что	2	1
53	а в том чтобы	1	1
54	и не знаю кто	1	1
55	бы то ни было	1	1
56	в целом и вот	1	1
57	вообще и в частности	1	1
58	бы то ни стало	1	1
59	стороны а с другой	1	1
60	его жизни когда он	1	1
61	заключается не в том	1	1
62	во что бы то	1	1
63	еще и потому что	2	1
64	ни на минуту не	1	1
65	что же это за	1	1
66	есть не что иное	1	1
