N	3gram	Potebnia_M	KFilosof
1	по отношению к	10	22
2	не может быть	7	11
3	с точки зрения	2	10
4	может быть только	4	7
5	по отношению ко	1	4
6	отношению к нему	1	4
7	в чем не	1	4
8	в этом смысле	2	3
9	один и тот	2	3
10	не было бы	2	3
11	на самом деле	4	3
12	между тем как	4	3
13	и тот же	2	3
14	и в этом	1	3
15	то что я	2	2
16	в том что	22	2
17	бы он ни	1	2
18	и может быть	2	2
19	он ни был	1	2
20	тем не менее	7	2
21	в то же	8	2
22	и та же	2	2
23	а не из	1	2
24	он может быть	1	2
25	то ни было	1	2
26	в целом и	1	2
27	одна и та	2	2
28	а не в	1	2
29	бы то ни	1	2
30	вопрос о том	1	2
31	то же время	8	2
32	том случае когда	1	1
33	быть не может	2	1
34	для него самого	1	1
35	только в форме	1	1
36	с нашей точки	1	1
37	независимо от его	1	1
38	не имеет места	1	1
39	том смысле в	2	1
40	в свою очередь	6	1
41	жизни может быть	1	1
42	и как бы	2	1
43	до этого она	1	1
44	вместе с тем	5	1
45	к другим и	1	1
46	образом то что	1	1
47	равно как и	2	1
48	мы прежде всего	1	1
49	было бы совершенно	1	1
50	в себе в	1	1
51	по себе а	4	1
52	во всяком случае	3	1
53	всем другим как	1	1
54	на то что	3	1
55	к содержанию как	1	1
56	если не исключительно	1	1
57	в большинстве случаев	2	1
58	не только от	1	1
59	в том смысле	6	1
60	в сознании в	1	1
61	а не как	2	1
62	человек и все	1	1
63	то же самое	3	1
64	в стороне вопрос	1	1
65	не была бы	1	1
66	точки зрения той	1	1
67	конечно не в	1	1
68	могло бы быть	1	1
69	потому только что	1	1
70	хотя бы и	1	1
71	в том случае	2	1
72	что тем самым	1	1
73	не есть еще	2	1
74	если бы эта	1	1
75	и не в	1	1
76	в том же	2	1
77	то для меня	1	1
78	для себя и	1	1
79	а следовательно и	1	1
80	для того чтобы	5	1
81	и мы получим	1	1
82	необходимом отношении к	1	1
83	рядом с ними	2	1
84	только в том	5	1
85	когда мы говорим	1	1
86	сознания и не	1	1
87	уже не в	1	1
88	бы не было	1	1
89	не в том	6	1
90	потому что в	4	1
91	в настоящее время	1	1
92	есть для меня	2	1
93	значит что я	1	1
94	полученное этим путем	1	1
95	не может стать	2	1
96	одного и того	2	1
97	нет сомнения что	1	1
98	со всех сторон	3	1
99	в нем его	1	1
100	формы и содержания	1	1
101	в противном случае	1	1
102	до сих пор	4	1
103	не потому что	1	1
104	не было ни	1	1
105	для меня не	1	1
106	того что в	1	1
107	в первом случае	2	1
108	дело в том	1	1
109	не отличаются от	1	1
110	смысле этого слова	9	1
111	него самого и	1	1
112	то все же	1	1
113	на я и	1	1
114	это и не	1	1
115	слово может быть	4	1
116	само по себе	6	1
117	и это будет	1	1
118	не подлежит сомнению	1	1
119	не само по	1	1
120	и некоторым образом	1	1
121	и на чем	1	1
122	и тем самым	1	1
123	как бы он	1	1
124	как бы ни	4	1
125	и не нужно	1	1
126	не менее в	1	1
127	тогда когда оно	2	1
128	не имеет смысла	1	1
129	невозможно если бы	1	1
130	для него свое	1	1
131	и то что	3	1
132	не зависит от	1	1
133	но и от	1	1
134	но не в	1	1
135	и того же	2	1
136	зависит от того	2	1
137	заключать в себе	1	1
138	тогда когда он	1	1
139	оно могло бы	1	1
140	и в ее	1	1
141	во второй половине	1	1
142	но только не	1	1
143	никогда не может	1	1
144	и говорить о	1	1
145	к тому что	3	1
146	не в смысле	1	1
147	но все это	1	1
148	в смысле совокупности	1	1
149	притом не только	1	1
150	не имеет для	3	1
151	все это в	1	1
152	в этом последнем	2	1
153	бы оно ни	1	1
154	только тогда когда	11	1
155	для нас как	1	1
156	но нет и	1	1
157	что и в	4	1
158	связанная с ним	1	1
159	нет и не	1	1
160	предмету но не	1	1
161	слова и его	1	1
162	будет ли она	2	1
163	мы не можем	5	1
164	а в смысле	2	1
165	стороны своего содержания	1	1
166	говорим не об	1	1
167	если бы не	1	1
168	может быть и	1	1
