N	3gram	Losev_Vlad	formyVre
1	то же время	7	21
2	в то же	7	18
3	как мы уже	3	15
4	в связи с	7	15
5	для того чтобы	3	12
6	не только в	3	11
7	и в то	3	10
8	в том числе	1	8
9	и т д	3	7
10	не может быть	4	7
11	в этом отношении	2	7
12	в том же	3	6
13	и в этом	1	6
14	а также и	2	6
15	и в особенности	1	6
16	с одной стороны	1	6
17	мы уже сказали	2	6
18	в том что	13	5
19	в то время	6	5
20	на первый план	4	5
21	одно и то	1	5
22	и то же	1	5
23	но все же	1	4
24	с другой стороны	3	4
25	равно как и	1	4
26	как раз в	1	4
27	в этом случае	1	4
28	во всяком случае	8	4
29	то время как	2	4
30	может быть и	1	4
31	и как бы	1	3
32	до известной степени	1	3
33	в чем не	1	3
34	что в этом	1	3
35	как мы увидим	2	3
36	как раз и	2	3
37	вместе с тем	2	3
38	а следовательно и	1	3
39	и в частности	3	3
40	но в то	2	3
41	о том что	9	3
42	так и в	1	3
43	и в литературе	1	3
44	также и в	2	3
45	ни в чем	1	3
46	для него самого	1	2
47	у него есть	1	2
48	в дальнейшем мы	1	2
49	в положительном смысле	1	2
50	можно сказать что	3	2
51	конечно не в	1	2
52	очень важный момент	1	2
53	они не могут	1	2
54	бы она ни	1	2
55	как мы сказали	2	2
56	он как мы	2	2
57	и вместе с	1	2
58	и столько же	1	2
59	к тому же	3	2
60	момент его жизни	1	2
61	так как он	2	2
62	он не был	1	2
63	само собой разумеется	2	2
64	в свою очередь	2	2
65	но он не	1	2
66	на другой день	1	2
67	в значительной мере	1	2
68	не было бы	1	2
69	не было и	1	2
70	собой разумеется что	1	2
71	и в дальнейшем	1	2
72	со всеми его	1	2
73	жизни так и	1	2
74	в тех же	2	2
75	мы уже касались	1	2
76	во всех своих	1	2
77	тем более что	2	2
78	прежде всего нужно	1	2
79	мы будем говорить	2	2
80	дело в том	7	2
81	с ним но	1	2
82	и ничего не	1	2
83	к тому что	1	2
84	большую роль в	1	2
85	там же в	1	2
86	с тем что	1	2
87	и до конца	2	2
88	что и в	2	2
89	к жизни и	1	2
90	он никогда не	2	1
91	в первых двух	1	1
92	что он не	3	1
93	в этот момент	1	1
94	все больше и	1	1
95	в самом начале	1	1
96	он конечно не	1	1
97	но вместе с	1	1
98	никогда не был	1	1
99	их жизни но	1	1
100	в той же	1	1
101	больше и больше	1	1
102	и отчасти в	1	1
103	том что в	3	1
104	в этом смысле	4	1
105	в нем мы	1	1
106	и это было	1	1
107	весьма часто и	1	1
108	еще вовсе не	1	1
109	в первый раз	1	1
110	его отношение к	1	1
111	в самом деле	1	1
112	в котором он	1	1
113	тем не менее	8	1
114	только во время	1	1
115	человек может быть	1	1
116	с ним в	2	1
117	у него и	1	1
118	более или менее	5	1
119	за то что	2	1
120	и другие материалы	1	1
121	кроме того что	1	1
122	это было вполне	1	1
123	том же месте	1	1
124	то что можно	1	1
125	приходит к выводу	1	1
126	л н толстого	2	1
127	в тот же	2	1
128	но в данном	1	1
129	в особенности же	1	1
130	с тем и	1	1
131	конце концов он	1	1
132	но только в	1	1
133	всю человеческую жизнь	1	1
134	всю его жизнь	1	1
135	и все же	2	1
136	то время в	1	1
137	и никогда не	1	1
138	и во многом	1	1
139	что во всех	1	1
140	до некоторой степени	2	1
141	а за ними	1	1
142	и в нем	1	1
143	мы уже знаем	1	1
144	в заключение мы	1	1
145	это же самое	1	1
146	в них нет	1	1
147	всей его жизни	2	1
148	жизни все что	1	1
149	не может не	1	1
150	и вообще в	3	1
151	в высшей степени	1	1
152	в целом и	1	1
153	ни к какой	1	1
154	все это то	1	1
155	но все это	1	1
156	прежде всего его	1	1
157	только то что	1	1
158	и в его	2	1
159	и во всяком	1	1
160	и по существу	2	1
161	не то что	2	1
162	его жизни в	1	1
163	но уже на	1	1
164	и в том	2	1
165	так как в	1	1
166	не без основания	1	1
167	и совсем не	1	1
168	тут же в	1	1
169	и не может	1	1
170	что во время	1	1
171	и наконец в	1	1
172	чувствует себя в	1	1
173	и никак не	1	1
174	на несколько дней	1	1
175	что мы и	1	1
176	и для него	1	1
177	но кроме того	1	1
178	прежде всего на	1	1
179	и для всех	1	1
