N	2gram	Tiupa_Teor	RusskieA
1	и в	24	79
2	в том	20	64
3	том что	11	59
4	что в	10	57
5	не только	24	41
6	а а	5	40
7	так как	1	34
8	и другие	2	33
9	в этом	12	33
10	состоит в	22	32
11	как бы	8	31
12	но и	14	31
13	как и	6	28
14	и на	2	28
15	может быть	22	28
16	одна из	1	24
17	о том	2	23
18	при этом	20	22
19	в поле	1	22
20	это не	4	20
21	а в	15	20
22	как мы	1	20
23	из них	1	19
24	представляют собой	1	18
25	все это	2	18
26	с тем	1	17
27	таким образом	3	17
28	то что	6	17
29	вместе с	2	17
30	об этом	2	17
31	потому что	3	17
32	во многих	1	16
33	один из	2	15
34	в них	2	14
35	не менее	6	14
36	тем не	3	14
37	как это	10	14
38	и что	4	14
39	и не	17	14
40	для нас	1	14
41	у нас	2	14
42	в xix	1	14
43	уже не	6	13
44	так что	1	13
45	и по	3	13
46	как в	5	13
47	еще не	6	13
48	не может	8	13
49	тем что	1	12
50	между собой	3	12
51	этом случае	1	12
52	мы имеем	7	12
53	а затем	2	11
54	в лесу	1	11
55	не имеет	1	11
56	а на	3	11
57	далеко не	4	11
58	все же	1	10
59	представляет собой	13	10
60	его в	4	10
61	между тем	5	10
62	что и	2	10
63	так и	14	10
64	или в	3	10
65	а также	7	10
66	по существу	1	10
67	то же	12	9
68	о чем	3	9
69	что они	2	9
70	к жизни	2	9
71	с ней	1	9
72	данном случае	5	9
73	том же	1	9
74	но в	12	9
75	в русском	1	9
76	но не	13	9
77	одно из	1	8
78	в этих	4	8
79	что по	1	8
80	так же	2	8
81	связи с	3	8
82	на себя	2	8
83	во всех	3	8
84	что это	1	8
85	подобно тому	3	8
86	их в	3	8
87	того чтобы	5	8
88	того что	5	8
89	ее в	2	8
90	в данном	9	8
91	не все	3	8
92	как уже	2	8
93	тому как	3	8
94	для того	5	8
95	же в	1	8
96	в это	1	7
97	настоящее время	1	7
98	в лес	1	7
99	в своем	7	7
100	на них	1	7
101	к нему	2	7
102	а и	5	7
103	не в	9	7
104	а с	3	7
105	мы рассмотрим	1	7
106	было бы	1	7
107	только в	9	7
108	из этих	3	7
109	а не	14	7
110	до конца	1	7
111	в настоящее	1	7
112	и как	3	7
113	по этому	1	7
114	как будто	2	7
115	для этого	1	7
116	в году	2	6
117	с собой	1	6
118	же как	1	6
119	к тому	4	6
120	не всегда	2	6
121	только на	2	6
122	в одном	3	6
123	что она	2	6
124	после того	1	6
125	в качестве	33	6
126	в таком	3	6
127	тому что	2	6
128	также в	1	6
129	на земле	1	6
130	на этом	2	6
131	в этой	3	6
132	в нем	7	6
133	как знак	1	6
134	должен был	1	6
135	с ними	2	6
136	приводит к	6	6
137	и более	1	6
138	друг друга	1	6
139	и пр	1	6
140	в их	4	6
141	на нее	1	6
142	все эти	3	6
143	так в	4	6
144	связаны с	1	6
145	она не	1	6
146	но она	2	6
147	и их	1	6
148	и о	5	6
149	и к	3	5
150	стоит в	1	5
151	например в	3	5
152	тогда как	18	5
153	с этим	1	5
154	вопрос о	1	5
155	входит в	4	5
156	с другой	9	5
157	к ним	1	5
158	как правило	5	5
159	по поводу	1	5
160	что от	1	5
161	не было	1	5
162	в связи	3	5
163	или же	1	5
164	можно было	1	5
165	и др	3	5
166	чаще всего	1	5
167	в то	9	5
168	прежде всего	3	5
169	нет никаких	1	5
170	в особенности	1	5
171	его с	1	5
172	с ним	1	5
173	что он	4	5
174	то и	1	5
175	в свою	4	5
176	но если	1	5
177	и для	3	5
178	тот же	1	5
179	в его	12	5
180	или даже	4	5
181	и потому	3	5
182	отнюдь не	3	5
183	на поле	1	5
184	не с	3	5
185	этих случаях	1	5
186	в целом	4	5
187	не столько	7	4
188	их не	1	4
189	в своих	1	4
190	именно в	3	4
191	в котором	1	4
192	не что	1	4
193	в глаза	2	4
194	в отличие	7	4
195	во всей	3	4
196	не просто	2	4
197	что иное	1	4
198	несмотря на	2	4
199	но он	4	4
200	которое в	1	4
201	под именем	1	4
202	здесь мы	2	4
203	себя внимание	1	4
204	тем и	1	4
205	что для	1	4
206	могут быть	5	4
207	и от	1	4
208	полагая что	1	4
209	означает что	1	4
210	своего рода	11	4
211	и здесь	2	4
212	за ним	1	4
213	другие в	1	4
214	если в	2	4
215	и другим	1	4
216	не на	4	4
217	так называемый	1	4
218	то время	1	4
219	он же	1	4
220	в основе	6	4
221	на основе	2	4
222	и до	1	4
223	это имеет	1	4
