N	4gram	Medvedev_V	Myslijsy
1	в то же время	5	13
2	только в том что	1	8
3	одно и то же	1	7
4	не в том что	2	7
5	в то время как	1	4
6	в том смысле что	1	4
7	а в том что	1	4
8	в одном и том	1	3
9	в том что оно	1	3
10	с этой точки зрения	1	3
11	с одной стороны и	2	3
12	не говоря уже о	1	3
13	одном и том же	2	3
14	что без них не	1	2
15	в том случае если	1	2
16	говоря уже о том	1	2
17	уже о том что	1	2
18	но с другой стороны	1	2
19	и по отношению к	1	2
20	именно в том что	1	1
21	то же время нет	1	1
22	по крайней мере для	1	1
23	же в таком случае	1	1
24	только в том случае	1	1
25	с другой стороны в	1	1
26	нет и не может	1	1
27	не могло бы быть	1	1
28	следует иметь в виду	2	1
29	во всех этих и	2	1
30	и т д само	1	1
31	без них не было	1	1
32	от того что мы	1	1
33	и вместе с тем	1	1
34	имеет ничего общего с	1	1
35	с другой стороны он	1	1
36	не может обойтись без	1	1
37	до сих пор не	1	1
38	мы хотим сказать что	1	1
39	не подлежит сомнению что	1	1
40	в противном случае он	1	1
41	в большей или меньшей	2	1
42	и не может быть	2	1
43	них не было бы	1	1
44	иметь в виду что	1	1
45	в том числе и	2	1
46	не имеет ничего общего	1	1
47	но вместе с тем	1	1
48	т д само собою	1	1
49	одну и ту же	1	1
50	так же как и	1	1
51	чтобы не впасть в	1	1
52	мы имеем дело с	1	1
