N	4gram	Losev_Prob	VeschiIm
1	не что иное как	3	12
2	бы то ни было	2	12
3	и тем не менее	1	5
4	с этой точки зрения	2	4
5	дело в том что	4	4
6	в то же время	1	4
7	это значит что мы	1	4
8	в то время как	4	4
9	то это значит что	1	3
10	свидетельствует о том что	1	3
11	указывает на то что	1	3
12	не потому что они	1	3
13	так что в результате	1	2
14	по крайней мере в	3	2
15	или по крайней мере	1	2
16	в том или другом	1	2
17	или что то же	1	2
18	случае не есть ни	1	2
19	в том что он	2	2
20	вопрос о том как	1	2
21	мы должны сказать что	1	1
22	это не значит что	1	1
23	только в том что	1	1
24	уже по одному этому	1	1
25	в том смысле что	1	1
26	стоит именно на этой	1	1
27	и больше ничего в	1	1
28	ни в коем случае	3	1
29	одном и том же	1	1
30	ничего общего ни с	2	1
31	о том как совместить	1	1
32	на этой точке зрения	1	1
33	создает ту или иную	1	1
34	уж во всяком случае	2	1
35	в одном и том	1	1
36	каких бы то ни	1	1
37	в том что и	1	1
38	то же самое время	1	1
39	как и во всяком	1	1
40	несмотря ни на какие	1	1
41	в коем случае не	1	1
42	и то и другое	1	1
43	именно на этой точке	1	1
44	но еще и потому	1	1
45	стоит на точке зрения	1	1
46	трактуется в связи с	1	1
47	в то же самое	1	1
48	и уж тем более	1	1
49	может быть только у	1	1
50	но в то же	2	1
51	по крайней мере три	1	1
52	конечно ничто не мешает	1	1
53	он все же не	1	1
54	ясно также что это	1	1
55	заключается в том чтобы	1	1
56	и вместе с тем	2	1
57	еще и потому что	2	1
58	заключается не в том	1	1
59	также и то что	2	1
60	что бы то ни	1	1
