N	2gram	Losev_Vlad	Sotsiolo
1	все это	7	7
2	в том	26	5
3	в этом	30	5
4	не только	35	3
5	не в	12	3
6	и в	56	3
7	и только	1	3
8	более чем	1	3
9	в его	18	3
10	для нас	9	3
11	литературы и	2	2
12	что в	24	2
13	то что	30	2
14	таким образом	6	2
15	том что	22	2
16	или даже	1	2
17	дело не	3	2
18	как бы	5	2
19	в результате	6	2
20	было бы	7	2
21	как будто	2	2
22	в частности	4	2
23	и мы	6	2
24	но и	26	2
25	конце концов	6	2
26	может быть	12	2
27	по существу	4	2
28	главным образом	5	2
29	и что	11	2
30	это и	2	2
31	исторической жизни	1	2
32	за пределы	3	2
33	по отношению	1	2
34	в конце	22	2
35	далеко не	1	2
36	тем более	4	2
37	только в	11	2
38	только как	1	2
39	то же	10	2
40	еще не	2	2
41	а в	20	1
42	что он	22	1
43	образом в	2	1
44	столь же	1	1
45	не желая	2	1
46	даже в	4	1
47	на что	2	1
48	быть не	1	1
49	в таких	1	1
50	в целом	3	1
51	будто в	1	1
52	в силу	1	1
53	и самые	1	1
54	на этот	9	1
55	что эти	1	1
56	время пишет	1	1
57	жизни он	1	1
58	все эти	6	1
59	не один	1	1
60	не было	12	1
61	когда мы	2	1
62	остается в	1	1
63	а вот	3	1
64	связи с	7	1
65	пишет следующее	1	1
66	кто не	2	1
67	существу это	1	1
68	только то	1	1
69	не мешает	2	1
70	в своей	7	1
71	где же	2	1
72	во всяком	8	1
73	и потому	8	1
74	дает нам	1	1
75	все же	11	1
76	его слишком	1	1
77	что это	2	1
78	или не	1	1
79	и самым	1	1
80	еще и	10	1
81	по крайней	1	1
82	с другой	3	1
83	ни на	1	1
84	мы должны	3	1
85	это же	1	1
86	с ним	10	1
87	к вопросам	1	1
88	и более	1	1
89	но как	6	1
90	не вызвать	1	1
91	в этой	4	1
92	время в	4	1
93	в свои	2	1
94	и его	12	1
95	ли не	1	1
96	всему этому	2	1
97	никак не	6	1
98	в данном	1	1
99	которая должна	1	1
100	на все	3	1
101	далеки от	1	1
102	в области	3	1
103	и по	10	1
104	первый план	4	1
105	с помощью	1	1
106	же самое	1	1
107	его собственная	1	1
108	этом не	3	1
109	один из	4	1
110	так и	11	1
111	в то	15	1
112	слишком много	1	1
113	может не	1	1
114	в котором	10	1
115	и русская	1	1
116	те же	2	1
117	потому его	1	1
118	него и	2	1
119	же это	1	1
120	отнюдь не	3	1
121	и не	33	1
122	со своими	4	1
123	но она	4	1
124	всяком случае	8	1
125	он ни	1	1
126	том как	1	1
127	настоящее время	2	1
128	по необходимости	1	1
129	и о	6	1
130	к изучению	2	1
131	выдвигает на	1	1
132	но не	5	1
133	они не	1	1
134	в те	12	1
135	не способен	1	1
136	в него	1	1
137	правда он	1	1
138	этой области	2	1
139	прежде всего	5	1
140	не пошел	1	1
141	тем что	2	1
142	что она	2	1
143	но сам	1	1
144	в каждом	1	1
145	связь между	1	1
146	существу своему	1	1
147	в чем	4	1
148	не из	2	1
149	на основании	3	1
150	а с	5	1
151	русская идея	1	1
152	мы еще	1	1
153	но только	3	1
154	тех кто	2	1
155	в сущности	2	1
156	наше дело	1	1
157	он говорит	2	1
158	его в	3	1
159	протестовал против	1	1
160	крайней мере	1	1
161	тотчас же	1	1
162	но одно	1	1
163	же этот	1	1
164	я и	2	1
165	новое и	1	1
166	этого и	1	1
167	вовсе не	8	1
168	даже не	3	1
169	не меняет	1	1
170	против этого	2	1
171	с одной	1	1
172	больше того	2	1
173	и наконец	2	1
174	для изучения	1	1
175	конечно не	5	1
176	будучи сторонником	1	1
177	о том	13	1
178	мы не	2	1
179	тому что	1	1
180	в заключение	1	1
181	том и	1	1
182	и затем	2	1
183	в этих	5	1
184	у него	28	1
185	по себе	3	1
186	на первый	4	1
187	перед нами	1	1
188	из тех	1	1
189	своей специальности	1	1
190	вот в	1	1
191	и никак	1	1
192	все то	1	1
193	хотя бы	5	1
194	существу дела	2	1
195	же время	7	1
196	наконец в	3	1
197	что на	2	1
198	даже больше	2	1
199	это не	3	1
200	чуть ли	1	1
201	в серьезных	1	1
202	одной стороны	1	1
203	в связи	9	1
204	бы в	1	1
205	и должно	1	1
206	работы в	1	1
207	и научно	1	1
208	в виде	4	1
209	в настоящее	2	1
210	именно в	4	1
211	вопросом о	1	1
212	никогда не	15	1
213	и есть	2	1
214	не может	12	1
215	между ними	2	1
216	и как	7	1
217	что все	2	1
218	место в	2	1
219	не без	7	1
220	для наших	1	1
221	как и	7	1
222	ничего не	4	1
223	в них	5	1
