N	3gram	Nazirov_Tr	VerxiiNi
1	во всяком случае	1	6
2	и вместе с	1	4
3	но все же	2	4
4	о том что	2	4
5	в том что	2	3
6	в конце концов	1	3
7	в связи с	1	3
8	точно так же	2	3
9	тем не менее	1	3
10	с тем и	1	2
11	между этими двумя	2	2
12	то что он	1	2
13	с самого начала	1	2
14	по сравнению с	1	2
15	то же время	5	2
16	в то же	5	2
17	и в этом	1	2
18	но в конце	1	1
19	так и в	3	1
20	но при этом	1	1
21	ничего подобного нет	1	1
22	так обстоит дело	1	1
23	а между тем	1	1
24	не только не	1	1
25	пустоту и потому	1	1
26	все эти черты	1	1
27	нет в нем	1	1
28	смысле этого слова	1	1
29	не вполне ясно	1	1
30	но в то	2	1
31	все это мы	1	1
32	не может быть	1	1
33	любви ко всему	1	1
34	в данном случае	2	1
35	что в таком	1	1
36	и все же	1	1
37	в отличие от	2	1
38	же время он	1	1
39	после того как	1	1
40	уместно вспомнить что	1	1
41	может быть в	1	1
42	в самом деле	1	1
43	в одном из	1	1
44	несмотря на все	1	1
45	в мире при	1	1
46	и даже некоторые	1	1
47	одном из своих	1	1
48	обстоит дело с	1	1
49	это и есть	1	1
50	связан и с	1	1
51	на все усилия	1	1
