N	4gram	Vinokur_Ku	Tvorches
1	в то же время	4	24
2	и в то же	1	6
3	дело в том что	1	4
4	заключается в том что	2	2
5	о котором говорилось выше	1	2
6	не что иное как	2	1
7	но для того чтобы	1	1
8	в том смысле что	1	1
9	а с другой стороны	2	1
10	но дело не в	1	1
11	это еще не все	1	1
12	все более и более	1	1
13	не так же ли	1	1
14	и т п эта	1	1
15	одного и того же	2	1
16	а вместе с тем	1	1
17	и в самом деле	4	1
18	не будет потому что	1	1
19	хотя бы и в	1	1
20	и т д и	3	1
21	т д и т	3	1
22	ответ на этот вопрос	1	1
23	не только потому что	3	1
24	мы имеем в виду	1	1
25	до сих пор еще	1	1
26	то во всяком случае	1	1
27	бы то ни было	1	1
28	и тем не менее	4	1
29	что с точки зрения	1	1
30	в том что я	1	1
31	т д все это	1	1
32	и т д все	1	1
33	в начале xix века	1	1
34	д и т д	2	1
