N	2gram	Berdyaev_M	VerxiiNi
1	и в	61	26
2	с тем	10	18
3	в этом	34	15
4	вместе с	7	15
5	точки зрения	6	13
6	как бы	10	12
7	в том	9	11
8	не только	42	10
9	и с	6	10
10	может быть	42	10
11	что в	12	9
12	так как	10	9
13	но и	34	9
14	религиозном сознании	1	9
15	в области	1	9
16	и у	3	8
17	и не	26	8
18	как на	1	8
19	с другой	1	8
20	но не	8	8
21	в религиозном	1	7
22	но все	1	7
23	в эпоху	2	7
24	том что	7	7
25	потому что	25	7
26	а с	1	7
27	то что	10	7
28	но в	12	7
29	к нему	8	7
30	так и	5	6
31	в конце	11	6
32	все это	6	6
33	что и	6	6
34	в отношении	6	6
35	все эти	3	6
36	все же	2	6
37	к тому	6	6
38	о том	5	6
39	во всяком	1	6
40	и потому	17	6
41	всяком случае	1	6
42	мы должны	1	6
43	с точки	1	6
44	в себе	12	6
45	и к	9	5
46	до сих	5	5
47	в его	10	5
48	религиозная мысль	1	5
49	к жизни	1	5
50	в мире	12	5
51	не имеет	7	5
52	сих пор	5	5
53	того чтобы	4	5
54	для того	4	5
55	так же	5	5
56	лишь в	8	5
57	отношение к	9	5
58	одной из	1	5
59	в силу	1	5
60	русской стихии	1	5
61	а не	36	5
62	и для	7	5
63	никогда не	30	5
64	в самом	15	4
65	то есть	3	4
66	и по	4	4
67	то же	4	4
68	культурных ценностей	1	4
69	только в	7	4
70	в этих	6	4
71	должен был	4	4
72	целый ряд	2	4
73	учение о	3	4
74	что он	16	4
75	и вместе	4	4
76	в которых	5	4
77	в смысле	1	4
78	русской жизни	1	4
79	в котором	9	4
80	в течение	1	4
81	и тогда	2	4
82	он не	34	4
83	и что	4	4
84	а в	4	4
85	в этой	12	4
86	бога и	13	4
87	и от	3	4
88	не может	39	4
89	что все	5	4
90	на этот	2	4
91	в то	2	4
92	и только	1	4
93	в нем	26	4
94	во время	1	4
95	уже с	1	3
96	с этой	4	3
97	для него	28	3
98	из всех	1	3
99	что это	5	3
100	и если	1	3
101	русского народа	1	3
102	европейской культуры	1	3
103	духовной культуры	1	3
104	и даже	1	3
105	если бы	5	3
106	в которой	8	3
107	с ней	3	3
108	на нее	1	3
109	и как	3	3
110	как о	1	3
111	без бога	2	3
112	же как	1	3
113	но по	1	3
114	если в	2	3
115	не менее	1	3
116	к концу	5	3
117	за друга	2	3
118	путь к	2	3
119	душа человека	1	3
120	и нет	3	3
121	друг за	2	3
122	но с	2	3
123	за собой	2	3
124	хотя бы	8	3
125	в значительной	2	3
126	так что	3	3
127	а после	1	3
128	у них	4	3
129	когда он	3	3
130	в одном	1	3
131	оказывается что	2	3
132	и те	4	3
133	не вполне	1	3
134	всегда и	1	3
135	к ним	1	3
136	и о	1	3
137	культуры и	2	3
138	отношению к	4	3
139	в своем	17	3
140	уже не	8	3
141	подойти к	1	3
142	к этому	3	3
143	конце концов	3	3
144	к богу	5	3
145	того что	13	3
146	связан с	1	2
147	все что	5	2
148	один из	9	2
149	и здесь	6	2
150	ему в	1	2
151	и на	9	2
152	только что	1	2
153	и люди	2	2
154	уже в	6	2
155	чем все	1	2
156	тогда когда	2	2
157	мы имеем	1	2
158	не с	1	2
159	добра и	8	2
160	этом отношении	1	2
