N	3gram	Voloshinov	Tragedij
1	то же время	6	5
2	в то же	6	5
3	так и в	3	3
4	в том что	9	2
5	с первого же	1	2
6	но в то	3	2
7	бросается в глаза	1	2
8	в данном случае	4	2
9	и в дальнейшем	1	2
10	о том что	3	2
11	но все же	1	2
12	в отличие от	2	2
13	не в силах	3	2
14	сам по себе	4	1
15	что при таком	1	1
16	том что он	2	1
17	отцом и его	1	1
18	что он не	1	1
19	а между тем	1	1
20	смысле этого слова	1	1
21	в конце концов	2	1
22	это желание в	1	1
23	это как бы	2	1
24	откуда же берется	1	1
25	с отцом и	2	1
26	в применении к	2	1
27	если можно так	1	1
28	то что он	1	1
29	не может быть	14	1
30	но при этом	1	1
31	и теперь еще	1	1
32	ни разу не	1	1
33	в этом случае	1	1
34	по сравнению с	1	1
35	в чем же	2	1
36	с самого начала	5	1
37	как и все	1	1
38	не только не	1	1
39	во всех видах	1	1
40	не могут быть	4	1
41	только на путях	1	1
42	в высшей степени	6	1
43	объясняется и то	1	1
44	хотя бы и	2	1
45	в таком виде	2	1
46	и все же	1	1
47	в самом деле	10	1
48	приходит в голову	1	1
49	чем он сам	2	1
50	во всяком случае	8	1
51	в этой борьбе	1	1
52	к тому что	2	1
53	тем не менее	4	1
54	и до конца	4	1
55	на вопрос о	1	1
56	это и есть	2	1
57	начала и до	1	1
58	все же не	1	1
59	еще ничего не	1	1
60	и не может	3	1
61	можно так выразиться	1	1
62	отнюдь не является	3	1
