N	3gram	Vinokur_St	Stilisti
1	в то же	5	9
2	для того чтобы	13	7
3	в зависимости от	2	7
4	то же время	5	7
5	того или иного	4	5
6	с точки зрения	10	5
7	одно и то	1	5
8	и то же	1	5
9	той или иной	1	4
10	то или иное	3	4
11	ту или иную	1	4
12	с самого начала	3	4
13	но и в	2	3
14	на самом деле	7	3
15	в конце концов	2	3
16	не только в	4	3
17	в этом случае	3	3
18	но все же	3	3
19	в той же	2	3
20	что у нас	1	2
21	должны были бы	1	2
22	само собой разумеется	1	2
23	в самом деле	7	2
24	чуть ли не	2	2
25	в так называемой	1	2
26	вместе с тем	2	2
27	и тем же	2	2
28	и те же	1	2
29	не может быть	5	2
30	тому что у	1	2
31	по отношению к	3	2
32	о том что	19	2
33	одни и те	1	2
34	в голову не	1	2
35	смысле этого слова	1	2
36	но в то	2	2
37	только потому что	2	2
38	и в то	1	2
39	у нас не	1	2
40	к тому что	4	2
41	в этом отношении	13	2
42	в значительной степени	2	2
43	и в области	5	2
44	с нашей точки	1	1
45	в том что	29	1
46	конечно это не	1	1
47	если б с	1	1
48	но то что	1	1
49	и характер его	1	1
50	до того как	3	1
51	в том и	1	1
52	в одном из	4	1
53	в себе какой-то	1	1
54	в ней вполне	1	1
55	существует лишь в	1	1
56	но нет никакого	1	1
57	и в наши	2	1
58	мысль о том	1	1
59	конечно все эти	1	1
60	вследствие того что	1	1
61	еще до того	2	1
62	искать ответа на	1	1
63	одному из них	1	1
64	как и вообще	2	1
65	но все эти	1	1
66	на все что	1	1
67	того чтобы не	1	1
68	по крайней мере	2	1
69	и другом случае	1	1
70	что в одном	1	1
71	одних и тех	1	1
72	ему и в	1	1
73	в чем другом	1	1
74	совсем другое дело	1	1
75	в наших глазах	2	1
76	бы в этом	1	1
77	и в отношении	1	1
78	в другом месте	1	1
79	в гостях у	1	1
80	но ведь в	1	1
81	хотя бы и	2	1
82	как и в	2	1
83	во время своего	1	1
84	тот факт что	5	1
85	было бы говорить	1	1
86	что ведь и	1	1
87	и не было	1	1
88	тем не менее	4	1
89	почему же мы	1	1
90	только в том	3	1
91	том и другом	1	1
92	и тех же	1	1
93	на вопрос о	3	1
94	той же мере	1	1
95	более или менее	2	1
96	по сравнению с	1	1
97	таким образом в	1	1
98	не должен быть	1	1
99	но даже и	1	1
100	на этот вопрос	2	1
101	этот вопрос в	2	1
102	мы приходим к	1	1
103	не надо думать	1	1
104	лишь то что	1	1
105	их точки зрения	1	1
106	не говоря уже	2	1
107	для того времени	1	1
108	эту тему в	2	1
109	до сих пор	12	1
110	но и вообще	1	1
111	одним и тем	2	1
112	иметь в виду	2	1
113	это еще не	1	1
114	свое выражение в	2	1
115	содержит в себе	1	1
116	то все же	1	1
117	о чем он	1	1
118	здесь нет и	1	1
119	чтобы убедиться в	1	1
120	являются для нас	1	1
121	ответа на вопрос	1	1
122	в одних и	1	1
123	и в голову	1	1
124	в наши дни	1	1
125	даже и в	1	1
126	должно было быть	1	1
127	нашей точки зрения	1	1
128	и никогда не	1	1
129	и вообще не	1	1
130	да ведь и	2	1
131	и по отношению	1	1
132	не только не	2	1
133	хотя бы в	1	1
134	тогда он должен	1	1
135	с их точки	1	1
136	не может не	1	1
137	самого начала был	1	1
138	не менее и	1	1
139	в высшей степени	1	1
140	в косвенных падежах	1	1
141	между тем в	1	1
142	мы теперь должны	1	1
143	вовсе не является	1	1
144	с другой стороны	8	1
145	вопрос о том	4	1
146	которой не может	1	1
147	должен был бы	1	1
148	это прежде всего	2	1
149	в виду что	1	1
150	и в косвенных	1	1
151	так как в	2	1
152	на эту тему	4	1
153	можно было бы	8	1
154	и не может	1	1
155	и в этом	4	1
