N	4gram	Losev_Prob	Freidism
1	ни в чем не	2	4
2	не может быть и	1	4
3	одной и той же	1	3
4	может быть и речи	1	3
5	один и тот же	1	3
6	не чем иным как	2	2
7	заключается в том что	4	2
8	в том что он	1	2
9	здесь в том что	2	2
10	в узком смысле слова	1	2
11	и тем не менее	6	2
12	бы то ни было	4	2
13	на самом же деле	7	2
14	говорить о том что	2	2
15	ни в каком случае	5	2
16	каком случае не является	2	1
17	который в данном случае	1	1
18	или по крайней мере	6	1
19	узком смысле слова и	1	1
20	и в вопросе о	1	1
21	во что бы то	1	1
22	в данном случае является	1	1
23	и в таком случае	1	1
24	бы то ни стало	1	1
25	мы имеем в виду	1	1
26	и ни в чем	2	1
27	не выходит за пределы	1	1
28	в конце концов и	1	1
29	каких бы то ни	1	1
30	одно и то же	3	1
31	и ни в какой	1	1
32	дело в том что	3	1
33	ничего общего не имеет	1	1
34	нужно сказать и о	1	1
35	то ни о каком	1	1
36	в каком случае нельзя	1	1
37	ведь для того чтобы	1	1
38	тем не менее он	1	1
39	что бы то ни	1	1
40	и не допускать никаких	1	1
41	в каком случае не	4	1
42	не что иное как	6	1
43	и в то же	2	1
44	в заключение этой главы	1	1
45	во всяком случае не	2	1
46	не может обойтись без	2	1
47	ответ на этот вопрос	1	1
48	в собственном смысле слова	1	1
49	сказать несколько слов о	1	1
50	есть не что иное	6	1
