N	3gram	Trubetskoy	Analitik
1	в том что	16	25
2	не может быть	4	19
3	по отношению к	11	18
4	в то же	2	16
5	о том что	4	15
6	в данном случае	3	14
7	то же время	2	14
8	к тому же	5	13
9	с другой стороны	4	9
10	в свою очередь	2	9
11	по крайней мере	1	9
12	с одной стороны	2	9
13	состоит в том	1	8
14	с точки зрения	8	8
15	как и в	2	8
16	во всяком случае	2	7
17	тем не менее	4	6
18	одного и того	3	6
19	так или иначе	5	6
20	и того же	3	6
21	не только не	1	5
22	том или ином	1	5
23	в этом случае	4	5
24	лишь в том	5	4
25	в нашем случае	2	4
26	в том или	1	4
27	в самом деле	5	4
28	для того чтобы	7	4
29	не в том	1	4
30	и не может	1	4
31	из того что	1	4
32	том что он	2	4
33	и то что	3	3
34	в том числе	1	3
35	бы то ни	3	3
36	в зависимости от	1	3
37	между тем как	1	3
38	а в том	1	3
39	то ни было	3	3
40	а не в	1	3
41	в связи с	3	3
42	то же самое	1	3
43	тогда как сам	1	3
44	то есть в	1	3
45	состоит лишь в	1	3
46	и той же	1	3
47	и все же	1	3
48	дело в том	1	3
49	одной и той	1	3
50	и т.д в	1	3
51	между тем в	1	3
52	тот или иной	1	3
53	судя по его	1	2
54	с этой точки	1	2
55	более или менее	8	2
56	можно было бы	1	2
57	друг с другом	9	2
58	в широком смысле	1	2
59	до сих пор	15	2
60	того что в	1	2
61	смысле этого слова	1	2
62	а с другой	2	2
63	и то же	1	2
64	к тому что	1	2
65	в тех случаях	1	2
66	в чистом виде	1	2
67	во многих отношениях	1	2
68	в том и	2	2
69	мысль о том	1	2
70	на то что	7	2
71	в противоречие с	1	2
72	в данный момент	1	2
73	заключается в том	3	2
74	этой точки зрения	1	2
75	по соседству с	1	2
76	не в состоянии	3	2
77	тем более что	1	2
78	но и его	2	2
79	а между тем	8	2
80	до тех пор	1	2
81	в борьбе за	1	2
82	не говоря уже	1	2
83	одно и то	1	2
84	при этом что	2	2
85	в равной мере	1	2
86	тех случаях когда	1	2
87	на первый взгляд	1	2
88	говоря уже о	1	2
89	что же касается	2	2
90	нет и не	1	2
91	упускать из виду	1	2
92	что несмотря на	2	2
93	и следует искать	1	1
94	в целом ряде	3	1
95	это имеет место	1	1
96	ни то ни	1	1
97	относиться как к	1	1
98	никак не может	1	1
99	мы видим что	1	1
100	оно может только	1	1
101	как и вообще	1	1
102	во всех этих	2	1
103	несмотря на то	2	1
104	есть как бы	1	1
105	себя на место	1	1
106	в мире есть	1	1
107	дело тут не	1	1
108	в том же	3	1
109	тогда когда оно	1	1
110	таким же образом	2	1
111	они не могут	1	1
112	друг от друга	6	1
113	свидетельствует о том	1	1
114	вместе с ними	1	1
115	более высокой ступени	1	1
116	что у него	1	1
117	и если бы	1	1
118	в том случае	4	1
119	начало и конец	4	1
120	из них в	1	1
121	именно потому что	2	1
122	на точку зрения	1	1
123	те же самые	1	1
124	даже если он	1	1
125	не свидетельствует о	1	1
126	в конце концов	4	1
127	в то что	1	1
128	не может вполне	1	1
129	два различных аспекта	1	1
130	а потому и	1	1
131	и таким образом	1	1
132	то ни другое	1	1
133	тогда как у	1	1
134	состоит именно в	1	1
135	таким образом в	3	1
136	во всей своей	1	1
137	а затем и	1	1
138	том виде в	1	1
139	исходит из того	1	1
140	перед нами два	1	1
141	с тех пор	1	1
142	все же не	3	1
143	только то что	2	1
144	хотя бы с	1	1
145	тут не в	1	1
146	и в том	2	1
147	же самое что	1	1
148	в этом последнем	1	1
149	не только по	1	1
150	аспекта одного и	1	1
151	и на тех	1	1
152	есть не более	1	1
153	том случае если	4	1
154	а как бы	1	1
155	различных аспекта одного	1	1
156	ставит его в	1	1
157	вместе с тем	3	1
158	их именно в	1	1
159	и может быть	2	1
160	к тому времени	1	1
161	ни другое ни	1	1
162	ставит себя на	1	1
163	но при этом	1	1
164	это не так	1	1
165	которая по мнению	1	1
166	друг у друга	1	1
167	он при этом	1	1
168	тот факт что	4	1
169	точно так же	1	1
170	к одному из	1	1
171	главным действующим лицом	1	1
172	только в том	1	1
173	и приверженностью к	1	1
174	в то время	2	1
175	того чтобы быть	2	1
176	до некоторой степени	1	1
177	хотя и не	1	1
178	приводит к тому	1	1
179	на самом деле	7	1
180	я не могу	1	1
181	ни одна из	1	1
182	только тогда когда	1	1
183	сознательно или бессознательно	1	1
184	самое что и	1	1
185	или лучше сказать	1	1
186	в результате которой	1	1
187	как бы ни	1	1
188	которые могут быть	1	1
189	двумя крайними пределами	1	1
190	не менее в	1	1
191	того что его	1	1
192	мало или вовсе	1	1
193	в борьбу с	1	1
194	должна была бы	1	1
195	том что при	1	1
196	из того же	2	1
197	все что мы	1	1
198	ко всему этому	2	1
199	то что мы	1	1
200	надо признать что	1	1
201	мы уже говорили	1	1
202	в том виде	2	1
203	в самом широком	1	1
204	этот факт не	1	1
205	и еще больше	1	1
206	том числе и	1	1
207	в своем поведении	1	1
208	все это делает	1	1
209	но с другой	1	1
