N	4gram	Berdyaev_M	Analitik
1	не что иное как	4	6
2	есть не что иное	3	5
3	и не может быть	1	4
4	в том что он	1	4
5	одни и те же	1	3
6	одной и той же	2	3
7	той мере в какой	1	2
8	в той мере в	1	2
9	одна и та же	2	1
10	вряд ли может быть	1	1
11	но не может быть	1	1
12	мы имеем в виду	1	1
13	и в самом деле	1	1
14	он так и не	1	1
15	занимает центральное место в	1	1
16	в том случае если	1	1
17	не сам по себе	1	1
18	в том смысле что	1	1
19	и есть не что	1	1
20	верно по отношению к	1	1
21	и вместе с тем	4	1
22	и там и здесь	6	1
23	не только личность но	1	1
24	стороны одной и той	1	1
25	ни на что не	1	1
26	не знает личности как	1	1
