N	2gram	Bakhtin_Fr	IolandNe
1	и с	17	3
2	что в	14	2
3	оба они	1	2
4	он не	4	2
5	должен быть	4	2
6	ничего не	4	2
7	и не	13	2
8	в этом	21	2
9	какую роль	2	1
10	все эти	24	1
11	и очень	2	1
12	а в	10	1
13	и о	2	1
14	же это	1	1
15	жил в	1	1
16	понятий и	1	1
17	утверждает что	1	1
18	это было	4	1
19	у всех	2	1
20	и со	2	1
21	носит имя	1	1
22	и та	1	1
23	что для	1	1
24	для него	7	1
25	не остается	1	1
26	в киеве	1	1
27	тех же	2	1
28	тем что	8	1
29	бы его	2	1
30	же смерти	1	1
31	не слишком	1	1
32	того же	7	1
33	не так	1	1
34	теперь я	2	1
35	и др	12	1
36	смерть другое	1	1
37	жизни и	6	1
38	с другой	3	1
39	в целом	1	1
40	было не	1	1
41	человеке и	1	1
42	значительной мере	1	1
43	в эту	2	1
44	другой стороны	2	1
45	я не	3	1
46	себя в	3	1
47	с любым	1	1
48	знать и	1	1
49	и еще	2	1
50	как только	1	1
51	отношению к	3	1
52	следующим образом	1	1
53	по существу	8	1
54	и сам	2	1
55	того что	5	1
56	огороде бузина	1	1
57	а с	1	1
58	для других	1	1
59	стало быть	1	1
60	только для	1	1
61	по поводу	1	1
62	а также	8	1
63	так и	13	1
64	автора и	1	1
65	в основе	3	1
66	и написан	2	1
67	в значительной	5	1
68	в огороде	1	1
69	эти произведения	2	1
70	от этого	3	1
71	страхом перед	1	1
72	того чтобы	2	1
73	и без	1	1
74	а для	2	1
75	бы в	3	1
76	с жизнью	1	1
77	этим и	1	1
78	есть только	3	1
79	бузина а	1	1
80	и в	73	1
81	видит в	1	1
82	знакомство с	1	1
83	дает и	1	1
84	это был	1	1
85	никогда не	6	1
86	все это	19	1
87	по отношению	3	1
88	со всеми	4	1
89	на котором	1	1
90	эпизод с	12	1
91	и литература	1	1
92	как о	5	1
93	в них	14	1
