N	2gram	Tiupa_Hudo	NovoeSre
1	а не	23	17
2	не может	10	16
3	и в	34	16
4	совсем не	1	12
5	и не	15	11
6	что в	8	9
7	истории и	1	9
8	в том	24	8
9	жизни и	10	8
10	он не	8	8
11	в этом	22	7
12	может быть	12	7
13	в новой	1	7
14	не будет	1	7
15	как и	16	7
16	ни в	5	6
17	не знает	2	6
18	не в	16	6
19	лишь в	5	6
20	высшей степени	2	6
21	с его	9	6
22	но это	2	6
23	в высшей	1	6
24	никогда не	8	6
25	и к	6	5
26	не только	22	5
27	в ней	6	5
28	все это	2	5
29	xix века	1	5
30	в жизни	9	5
31	в нем	5	5
32	с ее	7	5
33	культуры в	1	5
34	и потому	3	4
35	жизни к	1	4
36	по своему	3	4
37	быть может	7	4
38	не во	3	4
39	должно быть	2	4
40	потому что	7	4
41	это не	12	4
42	прежде всего	12	4
43	в них	3	4
44	то что	13	4
45	не было	8	4
46	и все	10	4
47	не менее	9	4
48	не имеет	2	4
49	и для	5	4
50	эпохи и	1	4
51	о том	21	4
52	исторической эпохи	1	3
53	во всех	2	3
54	истории не	1	3
55	вопрос о	2	3
56	не означает	2	3
57	она не	6	3
58	тому как	4	3
59	отдельных людей	1	3
60	в ее	16	3
61	смысле слова	1	3
62	в прошлом	1	3
63	подобно тому	4	3
64	не существует	1	3
65	в духе	6	3
66	с другой	4	3
67	в основе	3	3
68	сказать что	3	3
69	наряду с	4	3
70	жизни которые	1	3
71	с тем	1	3
72	к жизни	6	3
73	в своей	15	3
74	в мире	10	3
75	как в	11	3
76	жизни в	12	3
77	но и	13	3
78	это было	2	3
79	к ее	1	3
80	жизни не	2	3
81	к тому	11	3
82	человека и	4	3
83	еще не	10	3
84	с этим	3	2
85	все они	2	2
86	и от	6	2
87	и весь	1	2
88	это и	2	2
89	ни к	2	2
90	в центре	4	2
91	и что	3	2
92	возвращается к	3	2
93	не могли	1	2
94	переходе от	1	2
95	что она	10	2
96	личность в	4	2
97	не имеют	3	2
98	и было	2	2
99	духовной жизни	2	2
100	и заключается	1	2
101	с одной	4	2
102	хотя бы	2	2
103	такого рода	4	2
104	мы не	2	2
105	того чтобы	6	2
106	хотя и	3	2
107	так и	19	2
108	как это	8	2
109	вкус к	1	2
110	но она	1	2
111	сама жизнь	1	2
112	много ли	1	2
113	одной стороны	4	2
114	для чего	1	2
115	не могла	4	2
116	можно было	6	2
117	каждого человека	3	2
118	ни одна	2	2
119	другой стороны	1	2
120	времени и	2	2
121	из ее	1	2
122	этом смысле	1	2
123	том и	1	2
124	у него	13	2
125	место в	3	2
126	а в	11	2
127	все время	2	2
128	когда мы	2	2
129	и даже	4	2
130	века и	1	2
131	в свои	2	2
132	и с	10	2
133	на уровне	1	2
134	вернуться к	1	2
135	связана с	1	2
136	по существу	1	2
137	жизни как	7	2
138	нельзя уже	1	2
139	нет и	2	2
140	могут быть	1	2
141	в себе	19	2
142	том чтобы	2	2
143	и на	6	2
144	уже не	12	2
145	я не	8	2
146	что все	3	2
147	глубины и	1	2
148	все эти	4	2
149	есть в	1	2
150	же как	4	2
151	такой же	3	2
152	вместе с	2	2
153	в духовной	1	2
154	который в	2	2
155	общества и	1	2
156	одна из	4	2
157	роль в	2	2
158	как будто	7	2
159	в природе	1	2
160	но не	7	2
161	в то	12	2
162	том что	31	2
163	не будут	1	2
164	ведь и	1	2
165	бытия в	1	2
166	так же	3	2
167	и это	7	2
168	можно назвать	2	2
169	в смысле	1	2
170	но для	1	2
171	себя в	11	2
172	к богу	1	2
173	но в	6	2
174	и т.п	2	2
175	мысли в	2	2
176	мысли и	2	2
177	может уже	1	2
178	формы и	1	2
179	обращение к	2	2
180	к содержанию	1	2
181	зачем же	1	1
182	все в	2	1
183	она сама	1	1
184	своего рода	19	1
185	в самом	7	1
186	ближе к	2	1
187	к одному	1	1
188	нет ничего	4	1
189	было так	2	1
190	ее на	3	1
191	и того	1	1
192	от нее	2	1
193	но тут	1	1
