N	4gram	Bakhtin_Pr	KFilosof
1	по отношению к нему	1	4
2	в своем смысле и	1	2
3	бы то ни было	2	2
4	в то же время	10	2
5	мира в его целом	1	2
6	бы он ни был	2	2
7	и принципиально не может	1	1
8	бы по отношению к	1	1
9	как бы он ни	1	1
10	бы оно ни было	1	1
11	в литературе о нем	1	1
12	с точки зрения автора	1	1
13	и по отношению к	1	1
14	своем смысле и в	1	1
15	совершенно иной чем в	1	1
16	дело в том что	1	1
17	но в то же	5	1
18	и в этом смысле	2	1
19	позицию по отношению к	2	1
20	только при этом условии	1	1
21	и в то же	3	1
22	одного и того же	1	1
23	но для того чтобы	1	1
