N	2gram	Bakhtin_Fr	VLabPisa
1	таким образом	34	32
2	в этом	21	29
3	не только	11	26
4	и в	73	26
5	может быть	5	23
6	и не	13	20
7	не может	4	17
8	в процессе	3	17
9	в письме	1	16
10	в его	18	15
11	в том	13	15
12	этом отношении	3	14
13	в силу	1	14
14	все это	19	13
15	прежде всего	18	13
16	в качестве	11	12
17	в частности	2	12
18	как это	2	12
19	что в	14	11
20	с другой	3	11
21	из них	6	11
22	то же	16	10
23	не могут	3	10
24	о том	13	10
25	но и	15	10
26	по этому	4	10
27	и др	12	10
28	для него	7	9
29	об этом	2	9
30	он пишет	1	9
31	к этому	5	9
32	творчества в	1	8
33	говорит и	1	8
34	другой стороны	2	8
35	только в	7	8
36	по словам	1	8
37	на основании	1	8
38	все эти	24	8
39	вместе с	9	8
40	том что	8	8
41	было бы	5	8
42	в своем	13	8
43	вот например	1	7
44	в основном	2	7
45	это не	7	7
46	говорит о	2	7
47	в году	12	7
48	не было	4	7
49	по отношению	3	7
50	как и	19	7
51	их в	5	7
52	во всех	13	7
53	а не	2	7
54	этому поводу	1	7
55	то что	12	7
56	отношению к	3	7
57	же в	2	7
58	в нем	18	7
59	из этих	1	7
60	один из	5	6
61	у него	13	6
62	более или	3	6
63	все же	2	6
64	это и	1	6
65	не в	12	6
66	между тем	2	6
67	так и	13	6
68	в себе	16	6
69	или менее	3	6
70	том же	1	6
71	и его	18	6
72	в то	14	6
73	образы и	1	5
74	художественный образ	1	5
75	даже в	4	5
76	в результате	7	5
77	в их	5	5
78	в них	14	5
79	связи с	5	5
80	одним из	3	5
81	как говорит	1	5
82	к тому	2	5
83	перед нами	5	5
84	не является	1	5
85	он говорит	2	5
86	и образов	2	5
87	вот почему	1	5
88	действующих лиц	2	5
89	и при	1	5
90	в одном	5	5
91	в пределах	1	5
92	же время	12	5
93	как бы	15	5
94	в целом	1	5
95	сказать что	4	5
96	в плане	7	5
97	и есть	3	5
98	никогда не	6	5
99	в самом	9	4
100	ее в	1	4
101	вот как	1	4
102	в ее	6	4
103	как раз	3	4
104	не обходится	1	4
105	что для	1	4
106	в этой	18	4
107	замысла и	1	4
108	следующим образом	1	4
109	что все	3	4
110	что он	8	4
111	в виду	4	4
112	по существу	8	4
113	в романе	10	4
114	с тем	2	4
115	с ними	4	4
116	в своей	4	4
117	является не	1	4
118	одном из	5	4
119	роль в	4	4
120	должен быть	4	4
121	с его	5	4
122	чем же	2	4
123	для его	2	4
124	в связи	3	4
125	их и	2	4
126	в сознании	1	4
127	из его	1	4
128	одна из	7	4
129	рассказывает о	1	4
130	по поводу	1	4
131	во время	12	4
132	и ее	2	4
133	образов и	4	4
134	и к	6	3
135	что они	2	3
136	видели что	1	3
137	и он	4	3
138	что у	3	3
139	мы имеем	2	3
140	того что	5	3
141	никак не	1	3
142	него в	2	3
143	утверждает что	1	3
144	со своим	1	3
145	что и	6	3
146	у нас	4	3
147	его в	3	3
148	в форме	6	3
149	др в	1	3
150	или в	5	3
151	говорит в	1	3
152	это мы	1	3
153	именно в	4	3
154	января года	1	3
155	в конце	9	3
156	или иная	1	3
157	например в	8	3
158	момент в	4	3
159	этого типа	1	3
160	между ними	2	3
161	и как	5	3
162	в слове	1	3
163	в которых	3	3
164	и отдельных	1	3
165	явлений и	2	3
166	большей или	3	3
167	том как	3	3
168	мира и	6	3
169	вовсе не	11	3
170	бы в	3	3
171	с этим	4	3
172	а в	10	3
173	попал в	1	3
174	некоторые из	1	3
175	как о	5	3
176	в котором	4	3
177	даже и	1	3
178	она не	1	3
179	в противоположность	1	3
180	говорить не	1	3
181	в значительной	5	3
182	его не	1	3
183	но даже	1	3
184	того чтобы	2	3
185	в работе	1	3
186	и образы	5	3
