N	4gram	Potebnia_M	Freidism
1	в то же время	8	6
2	одной и той же	4	3
3	один и тот же	2	3
4	и не может быть	1	3
5	заключается в том что	1	2
6	в том что она	1	2
7	в том что он	2	2
8	то что мы называем	2	2
9	бы то ни было	1	2
10	нет и не может	1	2
11	больше и лучше чем	1	1
12	но тем не менее	4	1
13	или по крайней мере	2	1
14	в собственном смысле этого	1	1
15	в свою очередь стремится	1	1
16	не будет никаких оснований	1	1
17	как мы уже сказали	1	1
18	и в таком случае	1	1
19	в голову по поводу	1	1
20	одно и то же	7	1
21	мы старались показать что	1	1
22	дело в том что	1	1
23	собственном смысле этого слова	1	1
24	нужно сказать и о	1	1
25	и быть не может	1	1
26	в то время когда	2	1
27	зависит от того насколько	1	1
28	то же время служит	1	1
29	друг с другом и	1	1
30	это относится и к	1	1
31	по отношению ко всем	1	1
32	не что иное как	1	1
33	не могут быть объяснены	1	1
34	по отношению к тому	1	1
35	есть не что иное	1	1
36	а может быть и	1	1
