N	2gram	Potebnia_M	KulturaY
1	и т	10	143
2	т п	6	93
3	и в	58	84
4	в том	38	74
5	потому что	89	68
6	не только	32	60
7	точки зрения	8	59
8	в этом	18	57
9	было бы	21	53
10	и не	34	52
11	может быть	47	47
12	что в	34	44
13	том что	21	44
14	того чтобы	4	44
15	т д	6	42
16	в самом	5	41
17	для того	8	41
18	у нас	3	38
19	хотя бы	4	37
20	самом деле	2	37
21	так как	29	36
22	с точки	4	36
23	в области	1	34
24	таким образом	21	33
25	а не	38	33
26	если бы	23	32
27	можно было	1	32
28	не в	23	30
29	в его	7	30
30	прежде всего	8	30
31	все же	11	29
32	не менее	10	28
33	того что	15	28
34	все эти	3	28
35	уже не	4	26
36	в языке	36	26
37	то что	24	25
38	вовсе не	13	25
39	не может	30	25
40	вопрос о	5	24
41	с другой	13	24
42	еще не	9	24
43	то же	13	23
44	только в	36	23
45	так и	17	23
46	языка в	6	22
47	тем не	11	21
48	по себе	24	20
49	во всяком	9	20
50	и что	13	20
51	но и	26	20
52	тем что	15	19
53	о том	6	19
54	что он	5	19
55	зависимости от	1	19
56	языка и	20	19
57	что же	3	19
58	всяком случае	7	19
59	но в	12	19
60	и с	3	18
61	с тем	9	18
62	к тому	5	18
63	в сущности	2	18
64	связи с	6	18
65	между тем	7	18
66	вместе с	12	18
67	как бы	12	18
68	все это	3	18
69	в той	1	17
70	другой стороны	7	17
71	как это	1	17
72	что это	5	17
73	слова и	7	17
74	о языке	3	17
75	это не	10	17
76	в виду	2	16
77	в зависимости	1	16
78	что и	16	16
79	что не	15	16
80	тот же	5	16
81	ничего не	2	16
82	но не	19	16
83	при этом	17	15
84	именно в	2	15
85	в данном	1	15
86	как на	5	15
87	в нашем	2	15
88	не было	7	15
89	и тем	5	15
90	один из	2	15
91	по отношению	15	15
92	только потому	4	15
93	того как	12	15
94	а в	11	15
95	лишь в	2	15
96	должно быть	9	15
97	в них	7	14
98	и на	8	14
99	сказать что	5	14
100	хотя и	6	14
101	что такое	3	14
102	в связи	2	14
103	сих пор	5	14
104	в ней	9	14
105	до сих	5	14
106	если мы	5	14
107	как мы	3	14
108	мы имеем	1	14
109	отношению к	13	14
110	что она	3	13
111	к языку	6	13
112	крайней мере	6	13
113	между прочим	5	13
114	в этой	3	13
115	там где	8	13
116	не могут	10	13
117	в которых	2	13
118	по крайней	6	13
119	той же	3	13
120	для нас	29	13
121	и его	7	13
122	с этой	3	12
123	в результате	1	12
124	язык есть	17	12
125	того же	13	12
126	а только	8	12
127	вопроса о	2	12
128	этот вопрос	2	12
129	могут быть	17	12
130	тогда когда	15	12
131	как в	18	12
132	этого слова	5	12
