N	3gram	Tiupa_Lite	VelikijI
1	за то что	2	3
2	в первый раз	2	3
3	к тому что	1	3
4	во имя свободы	1	3
5	в том что	15	2
6	это еще не	1	2
7	все тот же	1	2
8	что я говорю	1	2
9	том что он	1	2
10	то что я	1	2
11	по этому пути	1	2
12	не в силах	1	2
13	на себя мы	1	1
14	в конце концов	1	1
15	с тем чтобы	1	1
16	по крайней мере	2	1
17	не могут быть	1	1
18	еще не была	1	1
19	и не было	1	1
20	но все же	1	1
21	с другой стороны	5	1
22	ее и в	1	1
23	бы то ни	1	1
24	уже и не	1	1
25	после того как	1	1
26	и в этом	1	1
