N	2gram	Tiupa_Hudo	Komedia
1	и в	34	77
2	и не	15	47
3	в том	24	44
4	том что	31	42
5	о том	21	33
6	т е	6	33
7	в г	3	33
8	едва ли	6	32
9	но и	13	32
10	может быть	12	30
11	из них	5	29
12	в то	12	28
13	и его	8	28
14	в этом	22	27
15	потому что	7	27
16	что он	14	26
17	молодого человека	1	26
18	к тому	11	26
19	не только	22	25
20	вместе с	2	25
21	так как	2	24
22	в дом	1	23
23	как и	16	23
24	ни в	5	23
25	что в	8	23
26	в самом	7	22
27	что и	3	22
28	если бы	7	22
29	то же	14	21
30	ясно что	2	21
31	в конце	5	21
32	так и	19	21
33	а в	11	21
34	в его	17	20
35	к этому	1	19
36	по адресу	2	19
37	со стороны	6	19
38	молодой человек	1	18
39	в этой	11	18
40	тем что	6	17
41	же время	11	17
42	в нем	5	17
43	и здесь	1	17
44	и т	15	17
45	еще не	10	17
46	при этом	21	16
47	все же	5	16
48	не менее	9	16
49	у него	13	16
50	сих пор	3	16
51	он не	8	16
52	действующих лиц	3	16
53	и сам	3	16
54	до сих	3	16
55	тот же	1	16
56	не в	16	15
57	в своем	9	15
58	точки зрения	7	15
59	его в	5	15
60	в которой	2	15
61	на себя	3	15
62	между тем	14	15
63	один из	6	15
64	и на	6	15
65	было бы	8	15
66	прежде всего	12	15
67	и с	10	14
68	столь же	6	14
69	к нему	2	14
70	в свою	1	14
71	все это	2	14
72	ли не	1	14
73	об этом	8	14
74	только что	4	13
75	самом деле	6	13
76	о чем	9	13
77	в них	3	13
78	в одном	3	13
79	что она	10	13
80	как раз	7	13
81	в двух	2	13
82	так что	3	13
83	то что	13	13
84	того чтобы	6	13
85	но в	6	13
86	в котором	5	12
87	для того	3	12
88	так же	3	12
89	с другой	4	12
90	несмотря на	7	12
91	хотя и	3	12
92	в качестве	13	12
93	как это	8	12
94	т п	10	12
95	из которых	1	12
96	как в	11	12
97	уже в	2	12
98	не по	2	12
99	в начале	3	12
100	не может	10	12
101	но не	7	12
102	и даже	4	11
103	с тем	1	11
104	по отношению	15	11
105	наряду с	4	11
106	что его	1	11
107	по имени	1	11
108	с ним	6	11
109	речь идет	3	11
110	как мы	5	11
111	и для	5	11
112	в их	2	11
113	в частности	10	11
114	к ней	2	11
115	одного из	1	11
116	с этим	3	10
117	сразу же	2	10
118	он был	1	10
119	свою очередь	1	10
120	на него	3	10
121	тут же	1	10
122	с одной	4	10
123	к себе	8	10
124	в чем	1	10
125	как бы	11	10
126	и что	3	10
127	в отношении	1	10
128	и все	10	10
129	более чем	2	10
130	одной из	5	10
131	в глазах	11	10
132	с его	9	10
133	ничего не	11	10
134	мы не	2	10
135	на его	2	10
136	тем более	1	10
137	что касается	1	10
138	еще в	4	10
139	отношение к	3	10
140	же в	3	10
141	в целом	2	10
142	все что	4	9
143	но все	2	9
144	в своей	15	9
145	одной стороны	4	9
146	говорить о	4	9
147	тому что	8	9
148	только в	8	9
149	друг друга	5	9
150	даже не	1	9
151	о его	2	9
152	и по	3	9
153	независимо от	1	9
154	из его	1	9
155	в образе	1	9
156	однако в	4	9
157	ответ на	1	9
158	того как	1	9
159	а также	4	9
160	вовсе не	2	9
161	отличие от	1	9
162	в ней	6	9
163	отношению к	15	9
164	с этой	3	8
165	другой стороны	1	8
166	что ни	1	8
167	г в	1	8
168	по поводу	3	8
169	что у	4	8
170	такого рода	4	8
171	не было	8	8
172	не знает	2	8
173	бы в	2	8
174	во всех	2	8
175	то ни	2	8
176	можно было	6	8
177	что для	1	8
178	первую очередь	2	8
179	в которых	1	8
180	да и	5	8
181	в течение	1	8
182	связи с	4	8
183	по своему	3	8
184	и других	1	8
185	с самого	1	8
186	как он	4	8
187	идет о	3	8
188	в в	1	8
189	и ее	3	8
190	место в	3	8
191	и к	6	7
192	дело с	2	7
193	в результате	2	7
194	в этих	7	7
195	если в	4	7
196	себе в	2	7
197	во всяком	1	7
198	в первую	2	7
199	вопрос о	2	7
200	хотя бы	2	7
201	в другом	3	7
202	в руках	1	7
203	самого начала	1	7
204	бы то	1	7
205	что они	4	7
206	в годы	1	7
207	х годов	1	7
208	в связи	3	7
209	и это	7	7
210	в других	4	7
211	так или	3	7
212	и тот	2	7
213	и хотя	1	7
214	перед лицом	1	7
215	в себе	19	7
216	и у	3	7
217	к его	1	7
218	это время	2	7
219	не имеет	2	7
220	со временем	1	7
221	не является	1	7
222	из этих	3	7
223	и поэтому	2	7
224	мы знаем	4	7
225	до конца	3	7
226	всяком случае	1	7
227	и вот	1	7
228	для нас	4	7
229	со своим	5	7
230	или иначе	3	7
231	отнюдь не	4	7
232	тех же	2	7
233	и о	8	7
234	конце концов	1	7
235	еще более	1	6
236	даже в	4	6
237	его от	1	6
238	в виду	1	6
239	с собой	2	6
240	в своих	4	6
241	в наиболее	1	6
242	там же	2	6
243	среди которых	1	6
244	в дальнейшем	2	6
245	представляет собой	1	6
246	как правило	6	6
247	не мог	1	6
248	не зная	2	6
249	и он	6	6
250	не слишком	1	6
251	с точки	5	6
252	за то	1	6
253	что не	4	6
254	о которых	2	6
255	на этом	5	6
256	не дает	1	6
257	и тем	2	6
258	с дочерью	1	6
259	могут быть	1	6
260	в силу	2	6
261	всего в	1	6
262	с и	2	6
263	на ее	3	6
264	в сущности	2	6
265	в другой	2	6
266	с женой	3	6
267	а не	23	6
268	в отличие	1	6
269	нет и	2	6
270	главным образом	1	6
271	в области	1	6
272	тем не	7	6
273	на вопрос	2	6
274	в т	5	6
275	том числе	1	6
276	так в	2	6
277	когда же	3	6
278	или в	3	6
279	в какой	1	6
280	и как	1	6
281	к концу	2	6
282	на то	4	6
283	это было	2	6
284	человека в	10	6
285	во второй	7	6
286	когда он	2	6
287	а по	2	6
288	на это	2	6
289	как будто	7	6
290	для всех	1	5
291	в изображении	2	5
292	в первом	2	5
293	из двух	1	5
294	за ним	3	5
295	именно в	9	5
296	его на	1	5
297	роль в	2	5
298	в это	4	5
299	со своей	3	5
300	в действительности	5	5
301	восходит к	1	5
302	из своего	1	5
303	любовь к	1	5
304	любви к	2	5
305	сказать что	3	5
306	под названием	1	5
307	все время	2	5
308	который в	2	5
309	себя в	11	5
310	никогда не	8	5
311	представить себе	1	5
312	последние десятилетия	1	5
313	еще больше	1	5
314	в ее	16	5
315	чем в	1	5
316	но он	3	5
317	можно судить	1	5
318	также в	2	5
319	в мире	10	5
320	одном из	1	5
321	между собой	1	5
322	что их	1	5
323	в каждом	1	5
324	т д	5	5
325	не могла	4	5
326	друг другу	1	5
327	в первой	6	5
328	и от	6	5
329	в ответ	3	5
330	каждого из	3	5
331	от нее	2	5
332	что это	2	5
333	здесь нет	1	5
334	обращается к	1	5
335	приводит к	5	5
336	том как	5	5
337	похожи на	1	5
338	признать что	2	5
339	да еще	1	5
340	у меня	1	5
341	и теперь	1	5
342	только один	1	5
343	вслед за	3	5
344	же самое	4	5
345	той же	3	5
346	что я	4	5
347	здесь и	1	5
348	этом отношении	4	5
349	это не	12	5
350	мы имеем	1	5
351	он и	2	5
352	же не	3	5
353	по существу	1	5
354	и без	1	5
355	отношениях с	2	5
356	к своему	2	5
357	в следующем	3	5
358	и я	1	5
359	участие в	3	5
360	раз в	5	5
361	ему не	3	5
362	от того	1	5
363	жизни и	10	5
364	что на	4	5
365	к числу	3	4
366	тем как	2	4
367	в принципе	1	4
368	нас в	2	4
369	него в	2	4
370	не столько	4	4
371	чтобы в	1	4
372	в духе	6	4
373	и опять	1	4
374	например в	3	4
375	их в	2	4
376	первой половине	3	4
377	дома и	1	4
378	не всегда	1	4
379	из себя	1	4
380	может служить	1	4
381	перед ним	2	4
382	в глаза	1	4
383	самом начале	1	4
384	его не	1	4
385	одна из	4	4
386	от ее	1	4
387	ближе к	2	4
388	все его	3	4
389	том чтобы	2	4
390	и столь	1	4
391	к человеку	1	4
392	во фрагментах	1	4
393	в состоянии	3	4
394	к которому	1	4
395	одно из	4	4
396	не о	3	4
397	прежде чем	2	4
398	как его	3	4
399	не остается	1	4
400	я не	8	4
401	как видим	1	4
402	между ними	2	4
403	же как	4	4
404	в себя	3	4
405	именно потому	1	4
406	его творчества	1	4
407	в городе	7	4
408	что эта	1	4
409	важно что	1	4
410	по своей	5	4
411	как известно	1	4
