N	2gram	Savitsky_P	StatiiOP
1	в и	1	145
2	и в	14	103
3	в том	9	89
4	том что	4	77
5	в этом	10	76
6	что в	4	74
7	не только	17	60
8	и т	3	51
9	но и	6	46
10	то что	4	44
11	в его	2	42
12	и не	12	41
13	может быть	5	38
14	т е	3	33
15	было бы	6	32
16	т д	1	32
17	в этой	1	31
18	все это	2	29
19	в г	1	28
20	а в	4	27
21	а не	2	27
22	но в	9	26
23	что это	1	25
24	все же	1	23
25	точки зрения	3	23
26	не в	5	23
27	потому что	3	23
28	для того	3	22
29	в которой	1	22
30	того что	2	22
31	прежде всего	3	22
32	в области	11	22
33	и пр	5	21
34	того чтобы	1	21
35	это не	3	20
36	в то	7	19
37	только в	7	19
38	в котором	4	18
39	с другой	5	18
40	но также	4	18
41	не может	4	18
42	в самом	1	17
43	как на	2	17
44	между прочим	2	17
45	в русской	4	17
46	в россии	3	17
47	как бы	4	17
48	в данном	1	17
49	в этих	1	16
50	с этим	2	16
51	в статье	2	16
52	если бы	4	16
53	в ней	6	16
54	г и	2	16
55	другой стороны	1	15
56	с тем	3	15
57	как и	1	15
58	из этих	1	15
59	и на	1	15
60	например в	2	15
61	в отношении	10	15
62	как раз	2	15
63	также и	1	15
64	то же	9	14
65	с точки	3	14
66	между тем	3	14
67	и что	1	14
68	именно в	2	13
69	во всяком	1	13
70	в своем	4	13
71	из них	2	13
72	в качестве	9	13
73	а с	1	13
74	в нем	3	13
75	вместе с	1	13
76	со стороны	2	13
77	всяком случае	1	13
78	не менее	2	12
79	хотя бы	8	12
80	в них	2	11
81	должна была	1	11
82	никогда не	1	11
83	не было	2	11
84	ясно что	1	11
85	и с	2	11
86	и по	1	11
87	вопрос о	1	11
88	на то	1	11
89	не столько	2	10
90	так же	1	10
91	что и	1	10
92	xix века	6	10
93	во всех	2	10
94	в каком	1	10
95	в истории	1	10
96	же время	7	10
97	но не	3	10
98	в частности	2	10
99	в начале	2	10
100	и к	4	9
101	он был	1	9
102	и это	2	9
103	в каждом	1	9
104	д д	2	9
105	и тем	2	9
106	что эта	1	9
107	русской истории	1	9
108	для нас	2	9
109	что мы	3	9
110	там где	1	9
111	место в	1	9
112	в результате	1	8
113	еще более	2	8
114	могут быть	3	8
115	в общем	2	8
116	к сожалению	1	8
117	заключается в	3	8
118	в которых	5	8
119	не имеет	1	8
120	и более	1	8
121	подчеркнуть что	1	8
122	а также	4	8
123	в какой	1	8
124	и о	5	8
125	это в	1	8
126	и очень	1	7
127	по себе	4	7
128	в это	1	7
129	не просто	1	7
130	гораздо более	1	7
131	в ее	2	7
132	что все	1	7
133	в эту	2	7
134	и то	1	7
135	xix в	1	7
136	нет никакого	1	7
137	еще не	1	7
138	этой области	1	7
139	уже в	1	7
140	в виде	2	7
141	тем более	2	7
