N	2gram	Losev_Vlad	SlovoVZh
1	не может	12	16
2	может быть	12	14
3	точки зрения	4	14
4	как бы	5	13
5	и его	12	13
6	таким образом	6	12
7	и в	56	12
8	по отношению	1	11
9	в нашем	5	11
10	и не	33	10
11	так как	11	9
12	если бы	2	9
13	прежде всего	5	8
14	творца и	1	7
15	для нас	9	7
16	сказать что	14	7
17	в ней	5	6
18	с помощью	1	6
19	в том	26	6
20	только в	11	6
21	в нем	7	6
22	при этом	5	6
23	и др	1	5
24	можно сказать	10	5
25	что мы	2	5
26	хотя бы	5	5
27	то же	10	5
28	а не	5	5
29	то что	30	5
30	в жизни	4	5
31	как и	7	5
32	как в	6	5
33	отнюдь не	3	5
34	том что	22	5
35	но в	19	5
36	никогда не	15	5
37	в самом	3	4
38	и к	10	4
39	в литературе	1	4
40	и на	7	4
41	не только	35	4
42	ни было	1	4
43	на самом	1	4
44	за пределы	3	4
45	от того	2	4
46	его в	3	4
47	литературы и	2	4
48	мы все	1	4
49	с другой	3	4
50	не в	12	4
51	дело в	7	4
52	отношение к	7	4
53	что не	3	4
54	так и	11	4
55	уже не	6	4
56	жизни и	8	4
57	в этом	30	4
58	все же	11	4
59	к нему	6	4
60	бы то	2	3
61	как к	4	3
62	и с	27	3
63	и более	1	3
64	в котором	10	3
65	и по	10	3
66	и пр	1	3
67	мы не	2	3
68	то ни	2	3
69	или не	1	3
70	для него	16	3
71	отношении к	2	3
72	с ним	10	3
73	того что	6	3
74	быть и	1	3
75	и уже	1	3
76	когда он	6	3
77	тем не	8	3
78	все это	7	3
79	ни в	4	3
80	конечно не	5	3
81	по себе	3	3
82	так же	4	3
83	в них	5	3
84	в каком	3	3
85	самом деле	1	3
86	только на	3	3
87	в себе	5	3
88	ясно что	2	3
89	все эти	6	3
90	о том	13	3
91	в своей	7	3
92	здесь не	6	3
93	не менее	9	3
94	из этого	6	3
95	в такой	1	3
96	да и	6	3
97	но и	26	3
98	бы мы	2	3
99	ведь и	1	3
100	и для	4	3
101	точка зрения	1	3
102	и наконец	2	3
103	и вообще	12	3
104	не к	2	3
105	еще не	2	3
106	в особенности	4	2
107	что в	24	2
108	этих двух	2	2
109	нет ничего	1	2
110	но это	6	2
111	не так	1	2
112	и потому	8	2
113	вместе со	1	2
114	в строгой	1	2
115	и другие	2	2
116	ни на	1	2
117	и то	13	2
118	выражение в	2	2
119	мы можем	1	2
120	влияние на	1	2
121	в данном	1	2
122	в душе	1	2
123	в то	15	2
124	которые мы	1	2
125	в момент	2	2
126	в основном	5	2
127	поскольку они	1	2
128	с одной	1	2
129	уже в	9	2
130	в его	18	2
131	с этой	4	2
132	она не	3	2
133	это не	3	2
134	одной стороны	1	2
135	относится к	1	2
136	как уже	2	2
137	дело с	2	2
138	мы имеем	2	2
139	была бы	1	2
140	искусства и	1	2
141	весны и	1	2
142	с чисто	1	2
143	на него	3	2
144	кроме того	12	2
145	тогда когда	1	2
146	в себя	1	2
147	от всех	1	2
148	в формах	1	2
149	но тем	1	2
150	как это	11	2
151	те же	2	2
152	но все	3	2
153	но зато	2	2
154	от этой	1	2
155	одно и	1	2
156	и та	1	2
157	не способен	1	2
158	из него	1	2
159	и что	11	2
160	что и	6	2
161	в отношении	5	2
162	же самое	1	2
163	другой стороны	3	2
164	но отнюдь	1	2
165	этой стороны	1	2
166	и вполне	4	2
167	но что	5	2
168	и те	1	2
169	в этих	5	2
170	можно найти	1	2
171	тому же	3	2
172	ней как	1	2
173	связь с	1	2
174	бы даже	1	2
175	а к	24	2
176	и притом	5	2
177	но этот	3	2
178	на это	2	2
179	для других	1	2
180	к ним	1	2
181	выходят за	1	2
182	и здесь	3	2
183	как на	2	2
184	и все	8	2
185	но не	5	2
186	общего с	1	2
187	речи в	1	2
