N	3gram	Voloshinov	Freidism
1	с точки зрения	5	15
2	не может быть	4	14
3	по отношению к	3	11
4	в самом деле	2	10
5	в том что	2	9
6	в то же	1	6
7	то же время	1	6
8	может быть и	1	6
9	с самого начала	2	5
10	тем не менее	1	4
11	на самом деле	1	4
12	в зависимости от	2	4
13	в данном случае	2	4
14	в этом отношении	1	4
15	в последнем счете	1	4
16	и тот же	1	3
17	все то что	1	3
18	только то что	1	3
19	ничего общего не	1	3
20	для того чтобы	1	3
21	выйти за пределы	1	3
22	один и тот	1	3
23	в собственном смысле	1	3
24	далеко не всегда	1	3
25	узком смысле слова	1	3
26	но в то	1	3
27	быть и речи	1	3
28	а вовсе не	1	3
29	в конечном счете	1	3
30	мы не можем	1	3
31	нет и не	1	3
32	и не может	1	3
33	на этом мы	1	3
34	и его школа	1	2
35	этом мы закончим	1	2
36	на две группы	1	2
37	равно как и	1	2
38	может быть это	1	2
39	ни о какой	1	2
40	в чем же	1	2
41	то или иное	1	2
42	в узком смысле	1	2
43	и связанных с	1	2
44	что же такое	1	2
45	не чем иным	2	2
46	чем иным как	2	2
47	в отличие от	1	2
48	мы полагаем что	1	2
49	выходит за пределы	1	2
50	к тому что	1	2
51	в другом месте	1	2
52	как объективный факт	1	2
53	с одной стороны	2	2
54	чем же объясняется	1	2
55	нужно отметить что	1	2
56	а также и	1	2
57	то же самое	1	2
58	тесно связана с	1	1
59	собственном смысле слова	1	1
60	но тем не	1	1
61	на себя и	1	1
62	того или иного	2	1
63	превращения его в	1	1
64	вполне понятно что	3	1
65	только одно из	1	1
66	в предшествующей главе	1	1
67	и наконец в	2	1
68	мы должны перейти	1	1
69	в пределах того	1	1
70	и некоторых других	1	1
71	но и его	1	1
72	его роль в	1	1
73	он и не	1	1
74	в г в	2	1
75	в каждом слове	1	1
76	что же является	1	1
77	и то же	2	1
78	там где нет	1	1
79	но что же	1	1
80	собою разумеется что	1	1
81	и один из	1	1
82	возможно только в	1	1
83	организма и его	1	1
84	не было бы	1	1
85	в особенности в	1	1
86	нигде и никогда	1	1
87	ничего общего с	2	1
88	те же самые	1	1
89	не что иное	2	1
90	может и должно	1	1
91	иметь в виду	1	1
92	одно и то	3	1
93	останавливаться подробно на	1	1
94	не может в	1	1
95	данной социальной группы	1	1
96	так же как	1	1
97	которая связана с	1	1
98	смысле слова и	1	1
99	только потому что	1	1
100	быть понята и	1	1
101	том что в	1	1
102	и никогда не	1	1
103	можно говорить о	1	1
104	роковую роль в	1	1
105	все эти три	1	1
106	и не мог	1	1
107	есть прежде всего	3	1
108	есть не что	2	1
109	в своих основных	1	1
110	нужно сказать что	1	1
111	в хх веке	1	1
112	и уже отсюда	1	1
113	что иное как	2	1
114	все же остается	1	1
115	в пределах данной	2	1
116	больше и лучше	1	1
117	только с помощью	1	1
118	между тем как	1	1
119	общего не имеет	1	1
120	из него все	1	1
121	и при анализе	2	1
122	само собою разумеется	1	1
123	и следовательно в	1	1
124	но так как	2	1
125	можно было бы	1	1
126	нам кажется что	1	1
