N	4gram	Bakhtin_sl	FransuaR
1	в то же время	15	55
2	но в то же	6	20
3	в том числе и	1	17
4	как мы уже говорили	1	15
5	большей или меньшей степени	3	14
6	в большей или меньшей	3	14
7	дело в том что	1	13
8	и в то же	6	12
9	как мы уже сказали	3	11
10	в той или иной	12	10
11	на самом же деле	1	10
12	и до наших дней	1	5
13	мы имеем в виду	1	5
14	с одной стороны и	2	5
15	то же время это	1	5
16	в средние века и	1	5
17	одной и той же	1	4
18	точки зрения на мир	3	4
19	то же время в	1	4
20	ни с одним из	1	3
21	бы оно ни было	1	3
22	всегда в той или	3	3
23	средние века и в	1	3
24	той или иной степени	12	3
25	можно прямо сказать что	2	3
26	все более и более	1	2
27	на мир и на	1	2
28	в меньшей степени чем	1	2
29	зрения на мир и	1	2
30	бы то ни было	1	2
31	в большинстве случаев не	1	2
32	включает в себя момент	1	2
33	до сих пор не	2	2
34	то же время этот	1	2
35	в узком смысле слова	1	2
36	и прежде всего в	1	2
37	в нем до конца	1	2
38	с большей или меньшей	1	2
39	все дело в том	1	2
40	в большинстве случаев в	1	2
41	имеет дело не с	2	2
42	и в значительной степени	1	2
43	и в особенности на	2	2
44	а также и в	1	2
45	или во всяком случае	2	2
46	всегда включает в себя	1	2
47	и с точки зрения	1	2
48	то же время он	1	2
49	тем чем они были	1	2
50	то же время и	2	2
51	никогда не может быть	2	1
52	наконец несколько слов о	1	1
53	во всех его моментах	4	1
54	какая бы то ни	1	1
55	в тесной связи с	1	1
56	в том и в	2	1
57	свое выражение в ряде	1	1
58	в нем не только	1	1
59	и в новое время	2	1
60	не укладывается в прокрустово	1	1
61	во всяком случае не	1	1
62	в точном смысле слова	1	1
63	они в той или	1	1
64	у стерна и жан-поля	1	1
65	никогда не исчерпывает себя	1	1
66	в том что в	1	1
67	быть тем чем они	1	1
68	как мы дальше увидим	1	1
69	в то время как	2	1
70	точка зрения на мир	2	1
71	большинстве случаев все эти	1	1
72	во всех своих моментах	1	1
73	в своей книге о	1	1
74	по самому своему существу	1	1
75	как бы ни были	1	1
76	и это отношение к	1	1
77	и связанных с ними	1	1
78	в данном случае не	1	1
79	и в другом случае	2	1
80	не только и не	1	1
81	и в той или	1	1
82	как к своему пределу	1	1
83	еще раз подчеркнуть что	1	1
84	одно и то же	2	1
85	в большинстве случаев все	1	1
86	необходимо однако отметить что	1	1
87	в неразрывной связи с	1	1
88	свое наиболее полное и	1	1
89	идеологии и литературы но	1	1
90	их удельный вес в	1	1
91	рядом друг с другом	1	1
92	жизни слова в романе	1	1
93	том и в другом	2	1
94	в его контексте и	1	1
95	он в свою очередь	1	1
96	в романе все эти	1	1
97	в результате этой работы	1	1
98	находит свое выражение в	1	1
99	именно для того чтобы	1	1
100	все эти слова и	1	1
101	тем или иным способом	1	1
102	стилистической жизни слова в	1	1
103	интерес к диалектам и	1	1
104	всех его моментах как	1	1
105	не в меньшей степени	1	1
106	и в том и	2	1
107	не может быть конечно	1	1
108	здесь перед нами в	1	1
109	это очень важно для	1	1
110	в основе их лежат	1	1
111	было с точки зрения	1	1
112	не значит конечно что	2	1
113	выражение в ряде особенностей	1	1
114	это не значит конечно	2	1
115	и то же слово	2	1
116	роман в его целом	1	1
117	поэтому и в романе	1	1
118	ни в чем не	1	1
119	может объединять в себе	1	1
120	укладывается в прокрустово ложе	1	1
121	только и не столько	1	1
122	сложнее обстоит дело с	1	1
123	на то или иное	1	1
124	в пределах того же	4	1
125	хотя бы и не	1	1
126	притом в большинстве случаев	1	1
127	конечно далеко не все	1	1
128	в пространстве и времени	1	1
129	этапах своего исторического развития	1	1
130	менее всего может быть	1	1
131	и др то есть	1	1
132	и с другой стороны	2	1
133	в том что он	1	1
134	не исчерпывает себя в	2	1
135	как бы ни был	1	1
136	между тем как в	1	1
137	оно лишь абстрактный момент	1	1
138	при всех различиях в	1	1
139	хотя может быть и	1	1
140	особой точки зрения на	1	1
141	вводит в свое произведение	1	1
142	автора к языку и	1	1
143	что не укладывается в	1	1
144	и перестает быть тем	1	1
145	в том что оно	1	1
146	мы не можем здесь	1	1
