N	4gram	Tiupa_Narr	Literetu
1	в то же время	3	21
2	состоит в том что	2	8
3	с этой точки зрения	1	5
4	бы то ни было	3	4
5	в том числе и	4	3
6	дело в том что	1	2
7	поскольку речь идет о	1	2
8	состоит в том чтобы	1	2
9	креативного и рецептивного сознаний	1	2
10	в связи с чем	1	2
11	именно в том что	2	1
12	не что иное как	2	1
13	мысль о том что	1	1
14	себя в другом и	1	1
15	прежде всего в том	1	1
16	в этом своем качестве	1	1
17	и другого в себе	1	1
18	в том что в	1	1
19	и в то же	1	1
20	одного и того же	1	1
21	в рамках коммуникативного события	1	1
22	гегель именовал веком героев	1	1
23	всего в том что	1	1
24	в том что он	1	1
25	в другом и другого	1	1
26	согласно весьма точной характеристике	1	1
27	роль по отношению к	1	1
28	в той или иной	2	1
29	другом и другого в	1	1
30	какой бы то ни	1	1
31	в не меньшей степени	1	1
32	может быть определена как	1	1
33	мы имеем дело с	1	1
34	взаимодействия креативного и рецептивного	1	1
