N	2gram	Bakhtin_Fr	Analitik
1	не только	21	71
2	и в	68	66
3	в качестве	2	61
4	литературного произведения	1	58
5	но и	17	57
6	в том	12	52
7	может быть	10	52
8	в этом	28	51
9	в частности	4	51
10	как и	17	50
11	и не	25	48
12	а не	6	42
13	при этом	5	40
14	том что	6	40
15	то есть	31	35
16	так и	8	35
17	в мире	6	31
18	представляет собой	1	30
19	своего рода	5	30
20	отнюдь не	1	29
21	как бы	7	29
22	не может	5	29
23	а в	3	28
24	в его	21	27
25	и его	26	27
26	не в	2	26
27	но не	4	26
28	в себе	5	24
29	не случайно	1	24
30	что в	14	22
31	и даже	7	22
32	в этой	15	22
33	лишь в	3	21
34	о том	5	20
35	и т.п	17	20
36	в самом	6	19
37	то же	14	19
38	в своей	11	19
39	по отношению	3	19
40	с его	6	19
41	но в	20	19
42	в данном	5	18
43	в то	14	18
44	отношению к	2	18
45	тем самым	1	17
46	с другой	8	17
47	только в	9	17
48	со стороны	2	17
49	такого рода	5	17
50	или иной	2	17
51	в целом	3	17
52	что и	3	16
53	то что	11	16
54	в пределах	1	16
55	и на	16	15
56	между тем	3	15
57	уже не	2	15
58	прежде всего	23	15
59	в сущности	15	15
60	в их	6	15
61	не менее	2	14
62	того же	4	14
63	себя в	2	14
64	в себя	2	14
65	той или	2	14
66	мы имеем	2	14
67	же время	13	14
68	в отличие	3	14
69	данном случае	3	14
70	отличие от	3	14
71	далеко не	3	14
72	по себе	1	13
73	точки зрения	8	13
74	он не	11	13
75	этого слова	3	13
76	ничего не	4	13
77	как раз	8	13
78	для него	7	13
79	а также	6	13
80	в начале	5	13
81	на уровне	2	13
82	и к	4	12
83	и сам	5	12
84	никогда не	2	12
85	как это	1	12
86	в первой	3	12
87	как в	4	12
88	еще не	3	12
89	в эпизоде	1	12
90	произведения как	1	12
91	в конечном	1	12
92	есть не	1	12
93	в той	7	11
94	даже в	4	11
95	конечном счете	1	11
96	по своей	4	11
97	в свою	3	11
98	той же	9	11
99	это не	5	11
100	можно сказать	2	11
101	и как	5	11
102	во второй	2	11
103	не с	1	11
104	нуждается в	4	11
105	именно в	5	10
106	все же	6	10
107	с одной	5	10
108	в произведении	3	10
109	в конце	8	10
110	было бы	4	10
111	подобно тому	2	10
112	и одновременно	3	10
113	отношения к	2	10
114	перед лицом	2	10
115	здесь не	5	10
116	со своей	1	10
117	особенно в	6	10
118	и самого	1	10
119	один из	9	10
120	говорит о	2	9
121	в результате	1	9
122	другой стороны	5	9
