N	3gram	Vinokur_Ku	Tragedij
1	то же время	4	5
2	в то же	4	5
3	так и в	2	3
4	в том что	23	2
5	с первого же	2	2
6	и в частности	1	2
7	в году в	1	2
8	точно так же	4	2
9	в данном случае	1	2
10	о том что	6	2
11	и в самом	4	2
12	но все же	3	2
13	в отличие от	3	2
14	не в силах	1	2
15	сам по себе	1	1
16	быть не так	1	1
17	в общем смысле	1	1
18	общем смысле этого	1	1
19	на русский язык	1	1
20	том что он	4	1
21	одно из самых	1	1
22	бы и не	1	1
23	может быть не	1	1
24	смысле этого слова	2	1
25	в конце концов	3	1
26	что вместе со	1	1
27	и что же?	1	1
28	она все же	1	1
29	первого же взгляда	1	1
30	за что не	1	1
31	как это часто	1	1
32	вместо того чтобы	1	1
33	в применении к	1	1
34	и вместе с	1	1
35	так часто и	1	1
36	что в ней	1	1
37	не только нет	1	1
38	не может быть	5	1
39	и т п	39	1
40	я не хочу	1	1
41	в этом случае	4	1
42	по сравнению с	1	1
43	не правда ли	2	1
44	ту же мысль	1	1
45	и то что	1	1
46	что нужно для	1	1
47	что я не	1	1
48	не могут быть	1	1
49	то вряд ли	1	1
50	бы и в	1	1
51	хотя бы и	4	1
52	в виду не	2	1
53	как и в	1	1
54	в связи с	4	1
55	и все же	1	1
56	в самом деле	14	1
57	во всяком случае	8	1
58	к тому что	2	1
59	в виде отдельных	1	1
60	что все это	2	1
61	тем не менее	9	1
62	в братьях карамазовых	1	1
63	несмотря на все	1	1
64	в своей книге	1	1
65	то и дело	1	1
66	всяком случае что	1	1
67	в известной мере	1	1
68	бы может быть	1	1
69	по природе своей	1	1
70	и в сфере	1	1
71	после того как	2	1
72	также что все	1	1
73	ни за что	1	1
74	отнюдь не является	1	1
