N	2gram	Tiupa_Teor	VrazhdaK
1	в году	2	18
2	не только	24	9
3	и достоевского	1	9
4	в этом	12	8
5	и в	24	8
6	и что	4	8
7	что в	10	7
8	тургенева в	1	7
9	но и	14	7
10	то что	6	7
11	как и	6	6
12	и даже	2	6
13	в романе	3	6
14	все же	1	6
15	в котором	1	6
16	– это	33	6
17	в нем	7	6
18	но в	12	6
19	то же	12	5
20	у него	2	5
21	и не	17	5
22	между тем	5	5
23	об этом	2	5
24	не было	1	5
25	же время	8	5
26	в то	9	5
27	это не	4	4
28	при этом	20	4
29	несмотря на	2	4
30	с ним	1	4
31	для нас	1	4
32	все это	2	4
33	в виду	5	4
34	в своих	1	4
35	что он	4	4
36	о том	2	4
37	может быть	22	4
38	целый ряд	1	4
39	в истории	1	4
40	как бы	8	4
41	так же	2	4
42	что достоевский	1	4
43	русской литературе	2	3
44	в его	12	3
45	в том	20	3
46	его в	4	3
47	раз в	1	3
48	связи с	3	3
49	но он	4	3
50	в связи	3	3
51	я не	2	3
52	и как	3	3
53	далеко не	4	3
54	тем что	1	3
55	речь идет	2	3
56	в чем	2	3
57	в русской	6	3
58	о себе	2	3
59	дворянского гнезда	1	3
60	том что	11	3
61	он не	5	3
62	в конце	2	3
63	и о	5	3
64	одним из	3	3
65	в своем	7	3
66	на то	1	3
67	с его	6	3
68	и его	11	3
69	в той	2	2
70	таким образом	3	2
71	и то	3	2
72	в момент	3	2
73	время и	1	2
74	его с	1	2
75	с точки	3	2
76	для него	5	2
77	о чем	3	2
78	как раз	3	2
79	в повести	2	2
80	в них	2	2
81	а также	7	2
82	же в	1	2
83	отношения к	4	2
84	в мире	26	2
85	их в	3	2
86	же как	1	2
87	в своей	8	2
88	рядом с	1	2
89	вместе с	2	2
90	что ж	1	2
91	так в	4	2
92	в это	1	2
93	в известном	2	2
94	не менее	6	2
95	и это	2	2
96	на первый	1	2
97	еще не	6	2
98	но как	2	2
99	а с	3	2
100	в свою	4	2
101	на основе	2	2
102	и т.п	7	2
103	личность и	1	2
104	в этой	3	2
105	человека с	3	2
106	тогда как	18	2
107	а в	15	2
108	на это	1	2
109	и а	4	2
110	писателей но	1	2
111	к ним	1	2
112	отношение к	7	2
113	уже не	6	2
114	из них	1	2
115	в себе	14	2
116	с нею	1	2
117	не может	8	2
118	место в	7	2
119	с которым	1	2
120	столь же	3	2
121	том же	1	2
122	точки зрения	11	2
123	тем более	2	2
124	одна из	1	2
125	отнюдь не	3	2
126	в него	1	2
127	и ее	4	2
128	к автору	1	2
129	никогда не	4	2
130	могли быть	1	2
131	души и	1	1
132	в особенности	1	1
133	своего рода	11	1
134	в самом	7	1
135	то в	2	1
136	как к	5	1
137	именно к	1	1
138	так и	14	1
139	что они	2	1
140	в свое	1	1
141	в литературе	4	1
142	все что	1	1
143	для всех	2	1
144	в душе	9	1
145	один из	2	1
146	можно говорить	1	1
147	– так	1	1
148	со мной	1	1
149	этого в	1	1
150	из которых	2	1
151	войне и	2	1
152	ближе к	1	1
153	они не	1	1
154	этот закон	1	1
155	с героем	1	1
156	автору и	1	1
157	если в	2	1
158	также что	1	1
159	поскольку вместо	2	1
160	рассказ о	2	1
161	оценке его	1	1
162	которой не	1	1
163	мнения о	1	1
164	собой в	1	1
165	в литературной	2	1
166	или а	1	1
167	встречается лишь	1	1
168	что это	1	1
169	хотя и	4	1
170	тому назад	1	1
171	одному из	1	1
172	он и	2	1
173	в ее	6	1
174	только не	3	1
175	того что	5	1
176	в другой	1	1
177	говорит о	1	1
178	романе достоевского	1	1
179	чем у	1	1
180	и маргариты	2	1
181	в качестве	33	1
182	задолго до	1	1
183	сама жизнь	1	1
184	судьбы они	1	1
185	прежде всего	3	1
186	и другими	1	1
187	к реальному	1	1
188	вошел в	1	1
189	писал об	1	1
190	другой стороны	6	1
191	иными словами	1	1
192	быть может	1	1
193	уже говорилось	2	1
194	в этих	4	1
195	но на	2	1
196	за это	1	1
197	в их	4	1
198	о своем	2	1
199	тому же	1	1
200	но с	1	1
201	а между	1	1
202	он уже	1	1
203	можно признать	1	1
204	в войне	2	1
205	а о	1	1
206	самим собой	4	1
207	и сам	4	1
208	с такими	1	1
209	в одном	3	1
210	тот кто	2	1
211	на нее	1	1
212	на свою	2	1
213	его произведений	1	1
214	но не	13	1
215	в составе	1	1
216	именно в	3	1
217	жизни и	1	1
218	такое же	1	1
219	то время	1	1
220	в таком	3	1
221	героев и	1	1
222	нам не	1	1
223	внимание в	1	1
224	в жизни	3	1
225	и эстетический	1	1
226	меня в	1	1
227	новая форма	1	1
228	как говорит	3	1
229	этого типа	1	1
230	также в	1	1
231	начинается с	1	1
232	в соответствии	3	1
233	говорить об	1	1
234	человек в	1	1
235	в бою	1	1
236	не есть	1	1
237	нам уже	1	1
238	между прочим	1	1
239	над тем	1	1
240	как в	5	1
241	дома и	2	1
242	роль в	3	1
243	наполеона в	1	1
244	ли не	1	1
245	по своему	4	1
246	в авторском	1	1
247	и я	1	1
248	по преимуществу	5	1
249	эту сторону	1	1
250	никто не	3	1
251	но у	1	1
252	отличается от	2	1
253	да и	1	1
254	его жизни	1	1
255	по его	1	1
256	служит для	1	1
257	ему и	1	1
258	о котором	1	1
259	в условиях	1	1
260	это было	2	1
261	в итоге	3	1
262	из которого	3	1
263	к вопросу	1	1
264	для публики	1	1
265	в сторону	3	1
266	не имеет	1	1
267	тем не	3	1
268	раз и	1	1
269	при виде	1	1
270	встрече с	1	1
271	ему не	1	1
272	на них	1	1
273	писал он	1	1
274	и позитивно	1	1
275	жизнь и	1	1
276	первый взгляд	1	1
277	с этим	1	1
278	еще один	1	1
279	во всех	3	1
280	человека к	3	1
281	сам же	2	1
282	это и	2	1
283	и литературные	1	1
284	знаком и	1	1
285	любви она	1	1
286	в полной	1	1
287	– не	4	1
288	она же	1	1
289	не могли	2	1
290	свое место	1	1
291	совпадает с	4	1
292	потому что	3	1
293	живет в	1	1
294	в комедии	1	1
295	также и	1	1
296	одну из	2	1
297	совсем не	1	1
298	сложности и	2	1
299	нельзя не	1	1
300	человека как	1	1
301	не всегда	2	1
302	в рассказе	2	1
303	художественной практике	1	1
304	в развитии	1	1
305	быть и	2	1
306	во второй	7	1
307	с помощью	1	1
308	в частности	23	1
309	не будет	3	1
310	одним словом	1	1
311	из своего	1	1
312	не могло	2	1
313	и их	1	1
314	и последовательность	1	1
315	говорить о	4	1
316	не с	3	1
317	одно и	2	1
318	отношении к	4	1
319	не об	1	1
320	точно так	1	1
321	не могла	1	1
322	это была	1	1
323	е годы	1	1
324	в форме	4	1
325	вслед за	3	1
326	периоды его	1	1
327	этом смысле	3	1
328	тем самым	6	1
329	по своей	8	1
330	он –	1	1
331	что из	1	1
332	так он	1	1
333	человека и	2	1
334	в каком	2	1
335	каждый из	1	1
336	свою очередь	3	1
337	года на	1	1
338	на свое	1	1
339	содержания в	1	1
340	и т.д	4	1
341	идет о	2	1
342	с другой	9	1
343	было бы	1	1
344	а тем	1	1
345	автора в	1	1
346	вопросу о	1	1
347	я думаю	1	1
348	в эпизоде	3	1
349	просьбы о	1	1
350	соответствии с	2	1
351	себя в	7	1
352	у себя	1	1
353	известном смысле	2	1
354	и мире	2	1
355	я с	5	1
356	привлекает внимание	1	1
357	ее не	1	1
358	однако в	7	1
359	что для	1	1
360	затем в	1	1
361	ключ к	2	1
362	той же	1	1
363	заключается в	2	1
364	говорилось выше	1	1
365	как правило	5	1
366	могут быть	5	1
367	за него	1	1
368	узнает в	1	1
369	до конца	1	1
370	к которому	3	1
371	это отношение	3	1
372	во многих	1	1
373	только при	1	1
374	в первой	6	1
375	и от	1	1
376	вышел в	1	1
377	и есть	1	1
378	– этого	2	1
379	во всей	3	1
380	в силу	4	1
381	по крайней	1	1
382	всю жизнь	1	1
383	в уме	1	1
384	но я	1	1
385	идет не	1	1
386	из этого	1	1
387	тем это	1	1
388	ним на	1	1
389	не все	3	1
390	не имело	1	1
391	в мировой	2	1
392	глаза в	2	1
393	уже по	1	1
394	независимо от	1	1
395	момент его	1	1
396	друг друга	1	1
397	с ее	4	1
398	лишь один	2	1
399	бы в	1	1
400	не просто	2	1
401	того же	4	1
402	только о	2	1
403	в целом	4	1
404	крайней мере	1	1
405	едва ли	1	1
406	одного и	4	1
407	в известной	1	1
408	в е	1	1
409	может как	1	1
410	к нему	2	1
411	более того	1	1
412	котором он	1	1
