N	3gram	Berdyaev_V	Otkroven
1	о великом инквизиторе	4	6
2	легенде о великом	1	3
3	и великий инквизитор	1	3
4	в легенде о	1	3
5	в нем нет	2	3
6	поступил как бы	2	2
7	легенда о великом	2	2
8	не могут быть	1	2
9	в этом мире	1	2
10	никогда не было	1	2
11	сделать людей счастливыми	1	2
12	взял все что	1	2
13	великий инквизитор говорит	3	2
14	человека в его	1	2
15	но и в	2	2
16	и никогда не	1	2
17	и в этом	1	2
18	душевное царство человека	1	1
19	что не в	1	1
20	тогда полторы тысячи	1	1
21	лишь к избранным	1	1
22	с гордостью указать	1	1
23	можешь с гордостью	1	1
24	за тобою прельщенный	1	1
25	великолепной жертвы их	1	1
26	но от этого	1	1
27	нет нам дороги	2	1
28	и для избранных?	1	1
29	могучие? чем виновата	1	1
30	и страшатся ибо	1	1
31	виноваты остальные слабые	1	1
32	имя твое но	1	1
33	что есть необычайного	3	1
34	порочного и вечно	1	1
35	их было всего	1	1
36	потому поступил как	1	1
37	дороги и слабые	1	1
38	могут быть счастливыми?	1	1
39	только несколько тысяч	1	1
40	на этих детей	1	1
41	свобода и хлеб	1	1
42	не рабских восторгов	1	1
43	необычайного гадательного и	3	1
44	в том что	2	1
45	противоречия человеческой природы	1	1
46	виновата слабая душа	1	1
47	дороги лишь десятки	2	1
48	все что есть	3	1
49	указать на этих	1	1
50	ее и обременил	1	1
51	от гордых и	1	1
52	а не рабских	1	1
53	слабого вечно порочного	1	1
54	ушел от гордых	1	1
55	лишь десятки тысяч	2	1
56	могли вытерпеть того	1	1
57	да неужто же	1	1
58	или тебе дороги	1	1
59	в мир и	1	1
60	была дороже всего	1	1
61	и чем виноваты	1	1
62	что нет у	1	1
63	во имя счастья	2	1
64	порочны ничтожны и	1	1
65	и тогда уже	1	1
66	силам людей а	1	1
67	в простоте своей	1	1
68	тобою прельщенный и	1	1
69	не сошел с	1	1
70	ты не сошел	2	1
71	десятки тысяч великих	2	1
72	что было не	1	1
73	одна из сторон	1	1
74	свободы свободной любви	1	1
75	человека чтобы свободно	1	1
76	как песок морской	2	1
77	и сильных? нет	2	1
78	в силах вместить	1	1
79	для человека и	1	1
80	тысячи лет назад	1	1
81	ничтожны и бунтовщики	1	1
82	бунтовщиком разве бунтовщики	1	1
83	не могут и	1	1
84	и то богов	1	1
85	каким-то обетом свободы	1	1
86	в этих словах	1	1
87	вместить столь страшных	1	1
88	а с ним	2	1
89	не могли вытерпеть	1	1
90	бы и не	2	1
91	свободной любви а	1	1
92	увеличил им ее	1	1
93	не чудесной жаждал	1	1
94	ты умножил ее	1	1
95	для человеческого общества	1	1
96	свобода их веры	1	1
97	всего еще тогда	1	1
98	человека и для	1	1
99	как и в	1	1
100	тысяч великих и	2	1
101	чтобы сделать людей	1	1
102	ты увеличил им	1	1
103	поработить человека чудом	1	1
104	свободно пошел он	1	1
105	царство человека вовеки	1	1
106	себе и своим	1	1
107	их веры тебе	1	1
108	чем виноваты остальные	1	1
109	чудесной жаждал свободной	1	1
110	сошел с креста	1	1
111	что могучие? чем	1	1
112	сильных? нет нам	2	1
113	и для человеческого	1	1
114	в аристократизме в	2	1
115	а не чудесной	1	1
116	даров? да неужто	1	1
117	что опять-таки не	1	1
118	один из полюсов	1	1
119	вдоволь для всякого	1	1
120	единственный путь которым	1	1
121	тут ты судил	1	1
122	обременил ее мучениями	1	1
123	с тобой а	1	1
124	тобой а с	1	1
125	приходил ты лишь	1	1
126	лишить людей свободы	1	1
127	людях слишком высоко	1	1
128	а остальные? и	1	1
