N	4gram	Tiupa_Disk	Myshleni
1	заключается в том что	1	43
2	одного и того же	4	17
3	состоит в том что	2	17
4	одно и то же	2	12
5	в такой же мере	1	10
6	в том числе и	3	10
7	с одной стороны и	3	10
8	в том что в	3	8
9	только в том что	1	8
10	в том что он	1	8
11	к одному и тому	1	7
12	одному и тому же	1	7
13	одним и тем же	1	6
14	одном и том же	1	6
15	в тех случаях когда	1	4
16	одни и те же	1	4
17	подобно тому как в	1	4
18	той ситуации в которой	1	3
19	и тем же словом	1	3
20	в данном случае не	1	3
21	дело в том что	3	3
22	внимание на то что	1	3
23	к тому или иному	1	3
24	или во всяком случае	1	3
25	об одном и том	1	3
26	прежде всего в том	1	2
27	только по отношению к	1	2
28	в то же время	7	2
29	в том что всякое	1	2
30	нет и не может	1	2
31	всего в том что	1	2
32	том что он не	1	2
33	в самых общих чертах	1	2
34	и в другом случае	1	2
35	той или иной мере	1	2
36	в той или иной	1	2
37	в равной мере и	1	2
38	может быть сведено к	1	2
39	в том случае если	1	2
40	и не может быть	1	2
41	но в этом случае	1	2
42	в одно и то	2	2
43	мы имеем дело с	1	2
44	если можно так выразиться	2	2
45	в том и в	1	1
46	выводу о том что	1	1
47	с той или иной	2	1
48	но и потому что	1	1
49	том и в другом	1	1
50	как и все прочие	1	1
51	говорить не только о	1	1
52	с другой стороны в	1	1
53	или по крайней мере	1	1
54	чрезвычайно сложный процесс расчленения	1	1
55	в данном случае мы	1	1
56	собой чрезвычайно сложный процесс	1	1
57	лишь в тех случаях	1	1
58	совпадают с теми же	1	1
59	как и вообще в	1	1
60	сложный процесс расчленения мысли	1	1
61	речи подобно тому как	1	1
62	в чем и состоит	1	1
63	не только по отношению	1	1
64	представляет собой чрезвычайно сложный	1	1
65	все дело в том	1	1
66	и в то же	2	1
67	не только потому что	1	1
68	данном случае мы имеем	1	1
69	ни в чем не	1	1
70	процесс расчленения мысли и	1	1
71	и то же время	2	1
72	не в состоянии решить	1	1
73	в любой из этих	1	1
74	не говоря уже о	2	1
75	можно говорить не только	1	1
76	интересуют в первую очередь	1	1
77	состоит в том чтобы	1	1
78	мысли и ее воссоздания	1	1
79	в первую очередь по	1	1
80	расчленения мысли и ее	1	1
81	и ее воссоздания в	1	1
82	одной стороны и к	1	1
83	с одной стороны он	1	1
84	заключается прежде всего в	1	1
85	в самом общем виде	2	1
86	ее воссоздания в словах	1	1
87	в том что с	1	1
88	а по своей природе	1	1
89	внешнее по отношению к	1	1
90	и тем более не	1	1
