N	2gram	Vygotskiy_	BTomashe
1	у нас	4	3
2	лучше и	1	2
3	все это	12	2
4	литературных произведений	1	2
5	в ней	23	2
6	можно было	7	2
7	не то	7	2
8	больше чем	5	2
9	и не	20	2
10	следовало бы	2	1
11	говорить о	3	1
12	и о	6	1
13	забывать что	1	1
14	со всем	2	1
15	нас по	1	1
16	не только	16	1
17	остановиться на	3	1
18	а о	1	1
19	всего в	1	1
20	таким образом	21	1
21	следует конечно	1	1
22	не было	4	1
23	прежде всего	2	1
24	и в	65	1
25	на самом	3	1
26	так и	3	1
27	из своей	2	1
28	в своей	6	1
29	стиля и	1	1
30	иначе не	1	1
31	во всяком	6	1
32	и потому	1	1
33	и во	3	1
34	за пределы	1	1
35	не уничтожается	1	1
36	этих приемов	1	1
37	в речи	3	1
38	с другой	8	1
39	об этом	4	1
40	художественного произведения	2	1
41	стих и	1	1
42	как будто	13	1
43	совершенно не	8	1
44	не о	1	1
45	случае очень	1	1
46	другой стороны	5	1
47	всяком случае	6	1
48	кроме того	2	1
49	было бы	22	1
50	но автор	1	1
51	не следует	3	1
52	и ее	4	1
53	из ее	2	1
54	почти совершенно	1	1
55	в данном	5	1
56	должна быть	5	1
57	далеко не	3	1
58	тем более	2	1
59	не вполне	1	1
60	то как	4	1
61	и более	4	1
62	что все	10	1
63	не все	1	1
64	нельзя не	2	1
65	художественном произведении	1	1
66	никак не	12	1
67	будто бы	3	1
68	от значения	1	1
69	а не	11	1
70	отнюдь не	2	1
71	до конца	5	1
72	как всякий	1	1
73	и на	7	1
74	между ними	1	1
75	еще не	3	1
76	нет но	1	1
77	к ней	3	1
78	все же	10	1
79	что в	36	1
80	материала по	1	1
