N	2gram	Medvedev_F	IolandNe
1	и с	17	3
2	что в	10	2
3	он не	8	2
4	должен быть	5	2
5	ничего не	5	2
6	и не	34	2
7	в этом	39	2
8	говорить о	4	1
9	все эти	12	1
10	для того	3	1
11	и очень	1	1
12	а в	11	1
13	и о	3	1
14	же это	2	1
15	понятий и	4	1
16	это было	3	1
17	у всех	1	1
18	и со	3	1
19	и та	1	1
20	нет есть	1	1
21	что для	3	1
22	для него	9	1
23	тех же	2	1
24	тем что	6	1
25	только что	1	1
26	бы столь	1	1
27	от нее	6	1
28	а если	1	1
29	и чрезвычайно	1	1
30	когда его	1	1
31	того же	1	1
32	с а	1	1
33	нам в	2	1
34	каждый исследователь	1	1
35	художественного творчества	1	1
36	не так	4	1
37	и др	8	1
38	жизни и	10	1
39	с другой	8	1
40	в целом	7	1
41	было не	1	1
42	очевидно что	2	1
43	бы утвердиться	1	1
44	в эту	3	1
45	нее и	2	1
46	другой стороны	5	1
47	себя в	1	1
48	с литературными	1	1
49	произведения и	9	1
50	могло бы	2	1
51	то и	2	1
52	и еще	1	1
53	что при	1	1
54	как только	1	1
55	если бы	8	1
56	отношению к	4	1
57	в руки	1	1
58	следующим образом	1	1
59	в художественном	5	1
60	по существу	8	1
61	и сам	1	1
62	того что	7	1
63	цель и	1	1
64	а с	1	1
65	для других	2	1
66	по поводу	1	1
67	так то	1	1
68	а также	1	1
69	так и	24	1
70	художественном творчестве	1	1
71	в основе	7	1
72	в значительной	3	1
73	следовательно в	1	1
74	очерк и	1	1
75	научные работы	1	1
76	о ней	1	1
77	от этого	3	1
78	а отсюда	1	1
79	того чтобы	4	1
80	произведения это	2	1
81	и без	1	1
82	а для	1	1
83	бы в	6	1
84	не дает	3	1
85	есть только	3	1
86	факты и	1	1
87	и в	54	1
88	никогда не	6	1
89	все это	11	1
90	по отношению	4	1
91	со всеми	3	1
92	фундамент на	1	1
93	на котором	2	1
94	нисколько не	2	1
95	как о	8	1
96	то она	1	1
97	в них	4	1
98	во многом	2	1
