N	2gram	Tiupa_Narr	IolandNe
1	и с	4	3
2	что в	3	2
3	он не	3	2
4	ничего не	2	2
5	и не	20	2
6	в этом	17	2
7	говорить о	2	1
8	все эти	2	1
9	а в	11	1
10	жил в	1	1
11	за границей	4	1
12	как отец	1	1
13	это было	1	1
14	у всех	1	1
15	и со	1	1
16	для него	2	1
17	вплоть до	2	1
18	с героем	1	1
19	при такой	1	1
20	тем что	3	1
21	такого знания	1	1
22	не случайно	2	1
23	а если	2	1
24	и чрезвычайно	1	1
25	того же	1	1
26	не так	1	1
27	и др	2	1
28	о жизни	1	1
29	первую очередь	1	1
30	понимания жизни	1	1
31	жизни и	3	1
32	с другой	8	1
33	в целом	1	1
34	было не	1	1
35	очевидно что	1	1
36	другой стороны	4	1
37	себя в	5	1
38	то и	1	1
39	после смерти	2	1
40	в первую	1	1
41	как только	1	1
42	если бы	1	1
43	отношению к	6	1
44	бы все	1	1
45	в художественном	1	1
46	по существу	2	1
47	и сам	1	1
48	того что	2	1
49	а с	3	1
50	иной как	1	1
51	по поводу	1	1
52	не кто	1	1
53	и тот	2	1
54	а также	7	1
55	остается как	1	1
56	так и	9	1
57	в основе	5	1
58	в значительной	2	1
59	оказывается для	1	1
60	о ней	3	1
61	от этого	1	1
62	и ничего	1	1
63	не дает	1	1
64	а по	2	1
65	и в	19	1
66	его личности	2	1
67	видит в	1	1
68	никогда не	3	1
69	еще одной	1	1
70	кто иной	1	1
71	по отношению	7	1
72	со всеми	1	1
73	как о	1	1
74	то она	2	1
75	в них	1	1
