N	2gram	Vinokur_Ku	Komedia
1	и в	44	77
2	и не	23	47
3	iv в	1	45
4	в том	47	44
5	том что	30	42
6	о том	10	33
7	т е	54	33
8	в г	3	33
9	едва ли	1	32
10	но и	13	32
11	может быть	25	30
12	из них	4	29
13	таким образом	17	29
14	в то	4	28
15	и его	8	28
16	в этом	31	27
17	потому что	40	27
18	что он	7	26
19	к тому	8	26
20	тому же	2	25
21	не только	29	25
22	вместе с	8	25
23	так как	16	24
24	как и	3	23
25	ни в	3	23
26	что в	25	23
27	в самом	20	22
28	что и	5	22
29	если бы	21	22
30	то же	12	21
31	ясно что	7	21
32	в конце	5	21
33	так и	10	21
34	а в	7	21
35	в его	16	20
36	к этому	4	19
37	по адресу	1	19
38	со стороны	8	19
39	в этой	8	18
40	тем что	9	17
41	же время	4	17
42	в нем	7	17
43	и здесь	8	17
44	и т	62	17
45	еще не	10	17
46	при этом	6	16
47	все же	17	16
48	не менее	12	16
49	у него	3	16
50	сих пор	5	16
51	он не	4	16
52	и сам	1	16
53	до сих	5	16
54	тот же	7	16
55	не в	18	15
56	в своем	4	15
57	точки зрения	25	15
58	его в	1	15
59	в которой	7	15
60	на себя	3	15
61	между тем	11	15
62	один из	8	15
63	и на	8	15
64	было бы	28	15
65	прежде всего	14	15
66	и с	11	14
67	на протяжении	1	14
68	столь же	2	14
69	к нему	1	14
70	в свою	4	14
71	все это	10	14
72	ли не	4	14
73	об этом	4	14
74	только что	2	13
75	самом деле	17	13
76	о чем	2	13
77	в них	10	13
78	в одном	4	13
79	что она	5	13
80	того же	6	13
81	как раз	10	13
82	мы можем	2	13
83	в двух	1	13
84	так что	5	13
85	то что	14	13
86	того чтобы	25	13
87	но в	11	13
88	в котором	4	12
89	для того	23	12
90	так же	8	12
91	с другой	14	12
92	несмотря на	6	12
93	хотя и	7	12
94	в качестве	12	12
95	как это	6	12
96	т п	39	12
97	из которых	3	12
98	как в	6	12
99	ст сл	1	12
100	уже в	5	12
101	в истории	3	12
102	нового времени	1	12
103	в начале	1	12
104	не может	13	12
105	но не	11	12
106	и даже	5	11
107	с тем	5	11
108	по отношению	9	11
109	наряду с	2	11
110	что его	2	11
111	по имени	1	11
112	с ним	5	11
113	должны были	1	11
114	речь идет	4	11
115	как мы	2	11
116	на этот	4	11
117	и для	3	11
118	в их	3	11
119	в частности	6	11
120	одного из	1	11
121	с этим	6	10
122	сразу же	1	10
123	он был	1	10
124	свою очередь	4	10
125	с одной	3	10
126	к себе	4	10
127	в чем	2	10
128	как бы	11	10
129	и что	11	10
130	в отношении	2	10
131	и все	4	10
132	более чем	1	10
133	одной из	1	10
134	с его	4	10
135	ничего не	6	10
136	мы не	1	10
137	г и	1	10
138	на его	3	10
139	тем более	2	10
140	что касается	4	10
141	отношение к	2	10
142	же в	5	10
143	в целом	5	10
144	все что	1	9
145	но все	5	9
146	в своей	4	9
147	одной стороны	2	9
148	говорить о	5	9
149	и еще	4	9
150	тому что	3	9
151	только в	15	9
152	в тех	4	9
153	даже не	1	9
154	о его	1	9
155	и по	4	9
