N	4gram	Propp_Isto	slovoVRo
1	в то же время	1	18
2	с одной стороны и	1	4
3	одно и то же	2	3
4	с этой точки зрения	2	2
5	и с другой стороны	1	2
6	в то время как	3	2
7	не исключают друг друга	2	2
8	до сих пор не	1	2
9	одни и те же	1	1
10	в том что она	1	1
11	во всяком случае этот	1	1
12	вовсе не исключают друг	1	1
13	в том числе и	2	1
14	с другой стороны способность	1	1
15	и заставляет их служить	1	1
16	же как и в	1	1
17	он не может быть	1	1
18	во всех этих случаях	2	1
19	тем не менее в	1	1
20	так же как и	4	1
