N	2gram	Losev_Vlad	Marksizm
1	точки зрения	4	69
2	может быть	12	64
3	и в	56	63
4	и не	33	55
5	как бы	5	53
6	не может	12	47
7	и пр	1	42
8	и его	12	41
9	в этом	30	39
10	таким образом	6	38
11	как мы	17	32
12	лишь в	3	30
13	не только	35	29
14	речи в	1	29
15	то же	10	28
16	в нем	7	28
17	но и	26	27
18	связи с	7	25
19	самом деле	1	25
20	в самом	3	24
21	как и	7	24
22	прежде всего	5	24
23	только в	11	23
24	так и	11	23
25	в том	26	22
26	то что	30	22
27	а не	5	22
28	при этом	5	20
29	так сказать	2	20
30	для него	16	20
31	на почве	1	19
32	не в	12	19
33	если бы	2	19
34	том что	22	19
35	в его	18	19
36	и для	4	18
37	но в	19	18
38	вовсе не	8	18
39	все же	11	17
40	в сущности	2	17
41	по отношению	1	16
42	ни было	1	16
43	и как	7	16
44	в то	15	16
45	с помощью	1	15
46	во всех	4	15
47	в связи	9	15
48	отнюдь не	3	15
49	что он	22	15
50	же время	7	15
51	в русском	2	15
52	в данном	1	14
53	хотя бы	5	14
54	в своей	7	13
55	так же	4	13
56	то ни	2	13
57	что в	24	13
58	и здесь	3	13
59	того чтобы	4	13
60	было бы	7	13
61	ничего не	4	13
62	мы не	2	13
63	для того	4	12
64	того же	11	12
65	бы то	2	12
66	в результате	6	12
67	выражение в	2	12
68	он не	13	12
69	высшей степени	1	12
70	а в	20	12
71	в высшей	2	12
72	не столько	4	11
73	и того	1	11
74	к нему	6	11
75	французском языке	3	11
76	мы уже	8	11
77	и что	11	11
78	и от	6	11
79	и на	7	11
80	и все	8	11
81	как в	6	11
82	еще не	2	11
83	друг друга	3	11
84	так как	11	11
85	на самом	1	11
86	все эти	6	11
87	в ней	5	11
88	именно в	4	10
89	во всяком	8	10
90	с другой	3	10
91	сказать что	14	10
92	к этому	11	10
93	никогда не	15	10
94	в своем	10	10
95	его в	3	10
96	в таком	2	10
97	одна из	1	10
98	в каждом	1	10
99	в основном	5	10
100	здесь мы	4	10
101	совершенно не	2	10
102	конечно не	5	10
103	с его	15	10
104	здесь в	2	10
105	и потому	8	10
106	с самого	1	10
107	быть и	1	9
108	к тому	5	9
109	только на	3	9
110	в нашем	5	9
111	точка зрения	1	9
112	в себе	5	9
113	и это	4	9
114	а как	1	9
115	мы видели	1	9
116	что это	2	9
117	ни в	4	9
118	не имеет	2	9
119	и более	1	9
120	отношении к	2	9
121	это не	3	9
122	в истории	4	9
123	одной из	2	9
124	и эта	1	9
125	же самое	1	9
126	кроме того	12	8
127	мысли и	5	8
128	не как	1	8
129	другой стороны	3	8
130	но что	5	8
131	и даже	23	8
132	и с	27	8
133	настоящее время	2	8
134	мы знаем	5	8
135	что и	6	8
136	у него	28	8
137	не было	12	8
138	что не	3	8
139	тому что	1	8
140	ясно что	2	8
141	мы можем	1	8
142	не будет	1	8
143	за пределы	3	8
144	столь же	1	8
145	в отношении	5	8
146	сводится к	1	8
147	в каком	3	8
148	перед нами	1	8
149	в свою	3	8
150	этого слова	1	8
151	в настоящее	2	8
152	с этим	3	8
153	у нас	11	8
154	смысле этого	1	8
155	в их	2	8
156	в науке	3	8
157	на то	7	8
158	от него	3	7
159	в этих	5	7
160	не существует	1	7
161	в котором	10	7
162	и те	1	7
163	свою очередь	2	7
164	он сам	3	7
165	те же	2	7
166	как раз	7	7
