N	3gram	Savitsky_P	Mirosoze
1	не может быть	1	28
2	в том что	4	9
3	в творчестве достоевского	1	8
4	для того чтобы	1	7
5	и в этом	1	6
6	вместе с тем	1	6
7	есть прежде всего	1	6
8	в отношении к	5	5
9	но и в	2	5
10	не было бы	1	5
11	заключает в себе	2	4
12	– все это	1	3
13	он живет в	1	3
14	и быть может	1	3
15	по сравнению с	1	3
16	так же как	1	3
17	во всяком случае	1	3
18	только в россии	1	3
19	не только в	4	2
20	тот же дух	1	2
21	хотя бы и	1	2
22	именно потому что	1	2
23	в россии и	1	2
24	так раскрывается в	1	2
25	том что в	1	2
26	но также и	1	2
27	потому что есть	1	2
28	и не может	1	2
29	нужно обратиться к	1	2
30	должен быть отвергнут	1	2
31	настоящее и будущее	1	1
32	в xix веке	1	1
33	xix века как	1	1
34	духа и не	1	1
35	в смысле психологическом	1	1
36	есть та или	1	1
37	не в том	1	1
38	друг с другом	1	1
39	и будущее в	1	1
40	в момент когда	1	1
41	в этом мире	1	1
42	и тем самым	1	1
43	в противоречии с	1	1
44	в отличие от	1	1
45	культурной традиции в	1	1
46	хомякова и достоевского	1	1
47	и есть в	1	1
48	думать что эта	1	1
49	нужно помнить что	2	1
50	с другой стороны	1	1
51	за то что	1	1
52	и еще в	1	1
53	в этом деле	1	1
54	с разных точек	1	1
55	прошлое настоящее и	1	1
56	мы видим в	1	1
57	экономического и политического	3	1
58	с точки зрения	3	1
59	что бога не	1	1
60	и в движении	1	1
61	в то же	7	1
62	до тех пор	1	1
63	и мы должны	1	1
64	то же время	7	1
65	с богом и	1	1
66	хотя бы это	1	1
67	разных точек зрения	1	1
68	смысле психологическом и	1	1
69	и веры в	1	1
70	другие народы мира	1	1
71	между тем в	1	1
72	и потому в	2	1
73	та или иная	1	1
74	в русском сознании	1	1
75	с одной стороны	3	1
