N	2gram	Medvedev_B	VeschiIm
1	и не	2	57
2	не только	1	48
3	и в	1	45
4	а не	1	37
5	было бы	1	24
6	и ее	1	19
7	все же	1	18
8	прежде всего	1	17
9	таким образом	1	16
10	в ней	2	15
11	что в	1	12
12	еще не	1	12
13	совершенно не	1	12
14	по крайней	1	10
15	крайней мере	1	10
16	говорить о	1	9
17	у нас	3	9
18	должна быть	1	8
19	все это	2	8
20	и потому	1	8
21	с другой	1	8
22	отнюдь не	1	8
23	никак не	1	7
24	в своей	1	6
25	в данном	1	6
26	вопрос о	1	6
27	между ними	1	6
28	можно было	2	6
29	со всем	1	5
30	об этом	1	5
31	кроме того	1	5
32	то как	1	4
33	во всяком	1	4
34	и более	1	4
35	о них	1	4
36	точке зрения	1	4
37	что все	1	4
38	не то	2	4
39	так и	1	4
40	же не	1	4
41	не было	1	4
42	к ней	1	4
43	и о	1	4
44	остановиться на	1	3
45	другой стороны	1	3
46	и нет	1	3
47	и во	1	3
48	не все	1	3
49	тем более	1	3
50	и на	1	2
51	только одной	1	2
52	было и	1	2
53	бы только	1	2
54	не вполне	1	2
55	всяком случае	1	2
56	не о	1	2
57	не уничтожается	1	2
58	далеко не	1	2
59	говорить об	1	2
60	как будто	1	2
61	узко и	1	1
62	и ограниченно	1	1
63	меньшей мере	1	1
64	по этим	1	1
65	также что	1	1
66	название то	1	1
67	больше чем	2	1
68	точно и	1	1
69	то нельзя	1	1
70	одной из	1	1
71	по меньшей	1	1
72	более подробно	1	1
73	самом понятии	1	1
74	этой книги	1	1
75	стоит на	1	1
76	на самом	1	1
77	и исторической	1	1
78	о смысловом	1	1
79	будто бы	1	1
80	не следует	1	1
81	в пределах	1	1
82	также не	1	1
83	из своей	1	1
84	в книге	1	1
85	начинает он	1	1
86	меньше чем	1	1
