N	3gram	Tiupa_Teor	Vladivir
1	в том что	10	29
2	о том что	1	22
3	тем не менее	3	18
4	в то время	1	13
5	дело в том	1	13
6	в связи с	3	12
7	содержит в себе	1	11
8	более или менее	6	11
9	к тому же	1	11
10	не может быть	5	10
11	в то же	8	10
12	с точки зрения	3	10
13	в этом смысле	3	9
14	то же время	8	9
15	точно так же	1	7
16	в свое время	1	7
17	так или иначе	5	6
18	в данном случае	5	6
19	том что в	1	6
20	в отличие от	7	6
21	с другой стороны	6	6
22	в настоящее время	1	6
23	том что он	2	6
24	и в то	2	5
25	бы то ни	2	5
26	а иной раз	1	5
27	и потому что	1	5
28	он не только	1	5
29	в сравнении с	1	5
30	не содержит в	1	4
31	себе отчет в	1	4
32	можно сказать что	3	4
33	для того чтобы	5	4
34	по крайней мере	1	4
35	заключается в том	1	4
36	в себе и	1	4
37	не что иное	1	4
38	что иное как	1	4
39	с одной стороны	3	4
40	еще и потому	1	4
41	что он не	1	3
42	в самом деле	2	3
43	в том числе	3	3
44	в том случае	1	3
45	иметь в виду	1	3
46	а с другой	2	3
47	а в том	1	3
48	не только на	1	3
49	не только не	2	3
50	к тому что	2	3
51	только то что	1	3
52	в свою очередь	3	3
53	так и не	5	3
54	на себя внимание	1	3
55	субъекта и объекта	1	3
56	и в частности	1	3
57	в первую очередь	1	3
58	также еще и	1	3
59	что несмотря на	1	3
60	так же как	1	2
61	собственно говоря только	1	2
62	одной стороны и	1	2
63	обращает на себя	1	2
64	отдает себе отчет	1	2
65	сказать что для	1	2
66	в таком случае	2	2
67	есть не что	1	2
68	и прежде всего	1	2
69	не так просто	1	2
70	то ни было	2	2
71	что даже в	1	2
72	а не только	1	2
73	при этом в	1	2
74	в том и	1	2
75	но дело в	1	2
76	отчет в том	1	2
77	связи с этим	1	2
78	несмотря на свою	1	2
79	но в то	2	2
80	одно и то	2	2
81	и то же	2	2
82	так и его	2	2
83	в этом случае	1	2
84	до конца однако	1	2
85	том случае если	1	2
86	как это делает	1	2
87	субъект и объект	1	2
88	иной раз и	1	2
89	это и есть	1	2
90	мы имеем не	1	2
91	может быть и	2	2
92	человеческой жизни толстой	1	1
93	место в системе	1	1
94	в самом начале	2	1
95	и в жизни	1	1
96	и как бы	1	1
97	все то что	1	1
98	может быть назван	1	1
99	они представляются в	1	1
100	заключать в себе	1	1
101	с ними и	2	1
102	до известной степени	2	1
103	а не с	1	1
104	больше и больше	1	1
105	к одному из	1	1
106	в известной степени	1	1
107	в себя и	1	1
108	не было и	1	1
109	года на вопрос	1	1
110	дело не в	1	1
111	и те и	1	1
112	и многих других	1	1
113	собственно говоря и	1	1
114	только при условии	1	1
115	том что она	1	1
116	но не с	1	1
117	жизни а также	1	1
118	в которой я	1	1
119	а также в	1	1
120	чего бы то	1	1
121	указывает на его	1	1
122	к своему собственному	1	1
123	духовного общения людей	1	1
124	той или иной	3	1
125	в его сознании	1	1
126	и тем самым	2	1
127	не могло быть	2	1
128	что в основе	2	1
129	в данном отношении	1	1
130	искусства и религии	1	1
131	возможна только в	1	1
132	ни к какой	1	1
133	как это бывает	1	1
134	то же самое	1	1
135	значении этого слова	3	1
136	сама по себе	2	1
137	является как бы	1	1
138	никогда не стремился	1	1
139	он оказывается в	1	1
140	к чему не	1	1
141	в известном смысле	2	1
142	перед нами не	1	1
143	никак не может	1	1
144	со своей стороны	1	1
145	мы имеем дело	2	1
146	может и не	1	1
147	не просто о	1	1
148	на вопрос что	1	1
149	на руках и	1	1
150	но он не	2	1
151	есть рассказ о	1	1
152	те и другие	1	1
153	и для него	1	1
154	на первом слоге	1	1
155	человека и его	1	1
156	и не могло	2	1
157	еще не есть	1	1
158	при всем своем	1	1
159	не могли быть	1	1
160	при всей своей	1	1
161	в котором по	1	1
162	именно в нем	1	1
163	с этой точки	2	1
164	и теперь в	1	1
165	а также еще	1	1
166	своем отношении к	1	1
167	какой бы то	1	1
168	и не могла	1	1
169	в иных случаях	1	1
170	в таких случаях	1	1
171	все что может	1	1
172	он мог бы	1	1
173	в основе своей	2	1
174	как впрочем и	1	1
175	тем и другим	1	1
176	на котором он	1	1
177	в наличии у	1	1
178	здесь мы имеем	1	1
179	состоит в том	6	1
180	речи может быть	1	1
181	в другом и	1	1
182	в противном случае	2	1
183	включает в себя	2	1
184	не была бы	1	1
185	не участвовать в	1	1
186	при этом что	2	1
187	однако и в	1	1
188	уже не просто	1	1
189	как раз в	1	1
190	но он в	1	1
191	не менее не	1	1
192	жизни а не	1	1
193	не в одном	1	1
194	ясно говорит в	1	1
195	настоящего времени то	1	1
196	в новое время	1	1
197	вовсе не означает	1	1
198	его личности с	1	1
199	ни к чему	1	1
200	я никогда не	1	1
201	другой стороны не	1	1
202	этой точки зрения	2	1
203	и тем и	1	1
204	в виду что	1	1
205	имеем дело с	1	1
206	это было бы	1	1
