N	3gram	Losev_Prob	KulturaY
1	и т п	1	93
2	и т д	1	42
3	для того чтобы	3	38
4	с точки зрения	13	36
5	в том что	13	33
6	в самом деле	1	29
7	можно было бы	2	25
8	тем не менее	8	19
9	во всяком случае	6	19
10	то обстоятельство что	1	19
11	с другой стороны	7	17
12	до сих пор	3	14
13	в том чтобы	2	14
14	по отношению к	2	13
15	по крайней мере	8	13
16	только потому что	1	13
17	в связи с	11	12
18	не может быть	2	11
19	в этом отношении	4	11
20	в этом смысле	4	10
21	о том что	14	10
22	вместе с тем	5	9
23	того или иного	2	9
24	не в том	1	8
25	на самом деле	2	8
26	не только в	5	8
27	мере в какой	1	7
28	а с другой	3	7
29	в свою очередь	2	7
30	и тем не	1	7
31	чуть ли не	1	7
32	только в том	2	7
33	с одной стороны	5	7
34	после того как	3	7
35	к тому же	5	6
36	то же время	1	6
37	только тогда когда	3	6
38	той или иной	4	6
39	этой точки зрения	2	6
40	в то же	2	6
41	не говоря уже	2	6
42	в первую очередь	1	6
43	то или иное	1	5
44	говоря уже о	2	5
45	с этой точки	2	5
46	так и в	1	5
47	потому что он	2	5
48	более или менее	1	5
49	в данном случае	5	5
50	и в этом	1	5
51	но все же	2	5
52	не потому что	1	5
53	как мы видели	1	5
54	хотя бы в	1	5
55	так или иначе	3	4
56	сам по себе	3	4
57	том что он	3	4
58	к тому что	1	4
59	состоит в том	1	4
60	в нашем смысле	4	4
61	и потому что	2	4
62	на то что	2	4
63	заключается в том	1	4
64	точно так же	4	4
65	что слово это	1	4
66	в этой области	1	4
67	о том как	1	3
68	в таком случае	2	3
69	силу того что	1	3
70	совершенно ясно что	1	3
71	в конце концов	7	3
72	и вместе с	3	3
73	тех или иных	2	3
74	точки зрения в	1	3
75	потому что не	1	3
76	как раз и	1	3
77	в наше время	1	3
78	не случайно и	1	3
79	в известном смысле	1	3
80	не то что	1	3
81	уже о том	1	3
82	сама по себе	2	3
83	не только для	2	3
84	хотя бы на	2	3
85	в силу того	1	3
86	от того что	1	3
87	в том смысле	2	3
88	ни в какой	4	3
89	в виду не	1	3
90	и не в	2	3
91	в настоящее время	7	3
92	в то время	4	3
93	не только как	1	3
94	и в той	1	3
95	несут на себе	1	3
96	принять во внимание	1	3
97	в какой мере	3	3
98	обратить внимание на	4	3
99	том что не	1	3
100	в той или	2	2
101	а может быть	2	2
102	чтобы покончить с	1	2
103	это не значит	1	2
104	ни в каком	1	2
105	и прежде всего	2	2
106	том смысле что	1	2
107	что в ней	1	2
108	только о том	2	2
109	в большинстве случаев	1	2
110	в каждом из	1	2
111	уже не в	1	2
112	то только в	2	2
113	несмотря на то	1	2
114	имеется в виду	1	2
115	у нас в	1	2
116	вовсе не в	1	2
117	свидетельствуют хотя бы	1	2
118	в том числе	2	2
119	мы могли бы	1	2
120	потому что она	1	2
121	но даже и	4	2
122	может быть только	6	2
123	по своему содержанию	1	2
124	без особого труда	1	2
125	в силу этого	1	2
126	ничего общего с	2	2
127	таким образом если	1	2
128	между тем как	1	2
129	потому что оно	2	2
130	хотя и не	3	2
131	бы то ни	4	2
132	в буквальном смысле	1	2
133	и в том	1	2
134	что не все	1	2
135	который в своем	3	2
136	а то и	1	2
137	в одном из	1	2
138	а вместе с	1	2
139	а так как	1	2
140	и тем же	1	2
141	это вовсе не	1	2
142	он должен быть	1	2
143	в каком смысле	1	2
