N	4gram	Ircho_Kome	Myslijsy
1	в то же время	11	13
2	одного и того же	1	9
3	только в том что	1	8
4	один и тот же	3	4
5	в то время как	3	4
6	и в свою очередь	2	4
7	и в том что	1	4
8	до тех пор пока	1	3
9	по себе не может	1	3
10	с этой точки зрения	1	3
11	и в этом случае	1	3
12	только после того как	1	3
13	с одной стороны и	2	3
14	не говоря уже о	2	3
15	тем не менее в	1	3
16	но и в том	1	3
17	лицом к лицу с	1	2
18	и до сих пор	1	2
19	потому что он не	1	2
20	то же самое что	1	2
21	состоит в том что	1	2
22	от одного к другому	1	2
23	до тех пор не	1	2
24	сама по себе не	1	2
25	бы то ни было	3	2
26	той мере в какой	1	1
27	в том что его	1	1
28	в свою очередь получает	1	1
29	в той мере в	1	1
30	до сих пор еще	1	1
31	слова мы увидим что	1	1
32	вместе с тем мы	1	1
33	по самой своей природе	1	1
34	с другой стороны нет	1	1
35	и не нуждается в	1	1
36	что в некоторых случаях	1	1
37	с одной точки зрения	1	1
38	друг с другом и	1	1
39	имеет ничего общего с	1	1
40	в том что она	1	1
41	в том что человек	1	1
42	тем не менее и	1	1
43	по отношению ко всем	1	1
44	до сих пор не	2	1
45	каков бы ни был	1	1
46	и в самом деле	7	1
47	и о том что	1	1
48	что речь идет о	1	1
49	именно потому что он	1	1
50	то по крайней мере	1	1
51	при этом помнить что	1	1
52	только один из них	1	1
53	в том числе и	2	1
54	не имеет ничего общего	1	1
55	что ни одно из	2	1
56	и с этой точки	1	1
57	но вместе с тем	1	1
58	мы можем судить о	1	1
