N	2gram	Kanaev_Sov	Vladivir
1	и в	7	116
2	и не	6	67
3	у него	2	65
4	не только	4	65
5	в этом	7	53
6	в том	4	52
7	том что	1	51
8	что в	2	48
9	в конце	3	41
10	в его	2	40
11	и даже	2	36
12	сказать что	1	36
13	не может	17	31
14	о том	1	30
15	только в	1	30
16	как мы	2	29
17	никогда не	1	29
18	вовсе не	1	27
19	а в	4	27
20	не было	1	26
21	в себе	3	25
22	но в	3	25
23	в то	1	25
24	и его	1	25
25	точки зрения	12	23
26	он не	1	23
27	может быть	12	23
28	что же	5	23
29	кроме того	1	22
30	ни в	1	22
31	так как	4	22
32	в виде	2	22
33	вместе с	4	21
34	и что	2	20
35	в своем	1	20
36	для нас	3	20
37	прежде всего	5	20
38	не менее	2	19
39	в дальнейшем	4	19
40	и вообще	1	19
41	тем не	2	19
42	таким образом	11	19
43	в течение	1	19
44	и потому	3	19
45	как и	6	18
46	не в	3	18
47	хотя и	1	18
48	с его	1	18
49	в этой	3	17
50	и если	1	17
51	а не	3	17
52	необходимо сказать	1	17
53	у нас	3	17
54	все же	3	16
55	уже не	2	16
56	совсем не	1	16
57	и все	3	16
58	было бы	3	16
59	и к	3	15
60	то же	3	15
61	в своих	1	15
62	к этому	1	15
63	несмотря на	1	15
64	в связи	1	15
65	но это	1	15
66	того же	1	14
67	все эти	5	14
68	раз и	1	14
69	мы уже	1	14
70	уже в	3	14
71	в результате	6	13
72	так же	1	13
73	на этот	2	13
74	и от	1	13
75	что это	2	13
76	дело в	1	13
77	жизни и	4	13
78	по себе	1	12
79	только на	1	12
80	и это	1	12
81	и у	1	12
82	и по	2	12
83	в нем	3	12
84	всяком случае	2	12
85	ничего не	6	12
86	во всяком	2	12
87	связи с	1	12
88	при этом	3	11
89	но что	1	11
90	в данном	1	11
91	в которой	2	11
92	он уже	1	11
93	еще в	1	11
94	№ с	2	11
95	все это	3	11
96	то он	1	11
97	мы должны	4	11
98	в самом	2	10
99	что все	2	10
100	такого рода	2	10
101	с точки	5	10
102	что его	1	10
103	можно было	1	10
104	отнюдь не	3	10
105	к нему	1	10
106	с ним	1	10
107	еще не	3	10
108	в ней	1	10
109	но не	1	10
110	именно в	1	9
111	с этим	2	9
112	с другой	1	9
113	мы знаем	2	9
114	но как	1	9
115	не будет	1	9
116	этом смысле	1	9
117	мы будем	1	9
118	в начале	1	9
119	это не	4	9
120	же время	1	9
121	по существу	1	9
122	этот раз	1	9
123	в целом	4	9
124	это значит	1	8
125	которой он	2	8
126	в этот	1	8
127	конечно не	1	8
128	значит что	1	8
129	и особенно	1	8
130	свое время	1	8
131	должно быть	1	8
132	как бы	4	8
133	и для	1	8
134	тот же	2	8
135	xix века	1	8
136	только и	1	8
137	из этих	2	8
138	в одном	3	7
139	но все	2	7
140	в нашем	2	7
141	и мы	3	7
142	и есть	2	7
143	мы видели	4	7
144	если бы	1	7
145	не имеет	1	7
146	ничего общего	1	7
147	но если	1	7
148	в свое	1	7
149	к концу	1	7
150	на его	2	7
151	в таком	2	7
152	то и	2	7
153	и ни	1	7
154	как он	3	7
155	или как	1	7
156	же в	1	7
157	можно говорить	1	6
158	те же	1	6
159	уже на	1	6
160	в отличие	2	6
161	настоящее время	2	6
162	он сам	1	6
163	если мы	4	6
164	той же	2	6
165	указать на	1	6
166	по мнению	2	6
167	его в	1	6
168	чем в	1	6
169	что она	3	6
170	и речи	1	6
171	но только	1	6
172	и из	1	6
173	должен был	1	6
174	нельзя сказать	1	6
175	в настоящее	2	6
176	данном случае	1	6
177	мы не	9	6
178	которых он	1	6
179	а это	1	6
180	и всегда	1	6
181	здесь в	1	6
182	по его	1	6
183	отличие от	2	6
184	такой же	2	6
185	и наконец	5	6
186	есть не	1	6
187	еще более	2	5
188	и до	1	5
189	на эту	1	5
190	но мы	3	5
191	вопрос о	4	5
192	и еще	1	5
193	быть в	1	5
194	из них	4	5
195	вся эта	1	5
196	бы то	1	5
197	во всех	1	5
198	для своего	1	5
199	эти три	1	5
200	для его	2	5
201	то ни	2	5
202	он в	3	5
203	в очень	1	5
204	один из	1	5
205	утверждает что	1	5
206	жизни в	1	5
207	в свою	2	5
208	мы имеем	1	5
209	по преимуществу	1	5
210	он называет	1	5
211	что с	1	5
212	этого не	1	5
213	но уже	1	5
214	только к	1	5
215	с самого	3	5
216	она не	1	5
217	во многом	1	5
218	и прежде	1	5
219	в области	3	5
220	и только	1	5
221	ровно ничего	1	4
222	нужно сказать	1	4
223	представление о	1	4
224	их в	4	4
225	по своим	1	4
226	мы с	2	4
227	не что	1	4
228	крайней мере	1	4
229	только не	1	4
230	что иное	1	4
231	с одной	2	4
232	мы можем	6	4
233	нет и	4	4
234	дальнейшем мы	1	4
235	но для	1	4
236	ясно что	3	4
237	на этом	2	4
238	чтобы он	1	4
239	в духе	1	4
240	очень мало	1	4
241	когда мы	3	4
242	независимо от	1	4
243	с и	1	4
244	сколько угодно	1	4
245	не могут	2	4
246	ведь если	1	4
247	по крайней	1	4
248	человека и	1	4
249	только одно	1	4
250	это и	1	4
251	совершенно не	2	4
252	и более	1	4
253	знаем что	2	4
254	как например	1	4
255	и во	2	4
256	одной из	1	4
257	не будем	2	4
258	как у	1	4
259	на самом	1	4
260	себе в	1	4
261	в такой	1	4
262	это конечно	1	4
263	в науке	2	4
264	одной стороны	1	4
265	же самое	2	4
266	так в	1	4
267	и эта	1	4
268	же это	4	4
269	иное как	1	4
270	если у	1	3
271	все что	1	3
272	через несколько	1	3
273	она всегда	1	3
274	роль в	2	3
275	в природе	1	3
276	отличается от	3	3
277	когда в	1	3
278	это последнее	1	3
279	в другом	1	3
280	если нет	1	3
281	отметить что	1	3
282	самого начала	3	3
283	свою очередь	2	3
284	некоторое время	2	3
285	на котором	2	3
286	нет никаких	1	3
287	почему и	1	3
288	точка зрения	1	3
289	в заключение	1	3
290	его работы	1	3
291	здесь нет	1	3
292	теперь же	2	3
293	в будущем	1	3
294	и чисто	1	3
295	между ними	1	3
296	же как	1	3
297	в мире	1	3
298	так сказать	2	3
299	декарта и	1	3
300	очень часто	1	3
301	человека как	1	3
302	ни о	1	3
303	сравнительно с	1	3
304	как известно	2	3
305	остановиться на	1	3
306	которая и	1	3
307	и действительно	1	3
308	раз он	1	3
309	в вопросах	1	3
310	и при	1	3
311	для них	1	3
312	самом деле	2	3
313	и навсегда	1	3
314	необходимо отметить	2	3
315	ли он	1	3
316	не имеют	1	3
317	и вся	1	3
318	только о	1	3
319	именно к	1	3
320	этот свой	1	3
321	это делает	1	3
322	этой области	1	3
323	что такое	2	3
324	ее на	2	3
325	о значении	2	3
326	без всяких	1	3
327	но эта	1	3
328	в какой	1	3
329	один и	1	3
330	пока не	1	3
331	быть и	2	3
332	которые в	1	3
333	том случае	1	3
334	следующее объяснение	1	2
335	еще раз	1	2
336	но тем	1	2
337	что дело	1	2
338	и само	1	2
339	на такой	1	2
340	работы в	1	2
341	всю эту	1	2
342	свою собственную	2	2
343	на этой	3	2
344	при условии	1	2
345	в действительности	1	2
346	системы не	1	2
347	своего объяснения	1	2
348	говорить о	2	2
349	и те	1	2
350	то его	1	2
351	ни одного	1	2
