N	3gram	Potebnia_M	Mirosoze
1	не может быть	11	28
2	в том что	18	9
3	а не в	1	9
4	для того чтобы	4	7
5	в нем есть	2	7
6	и в этой	1	6
7	и в этом	7	6
8	вместе с тем	1	6
9	о том что	1	6
10	друг к другу	1	6
11	есть не только	1	5
12	до сих пор	5	5
13	что и в	4	5
14	но и в	4	5
15	мы увидим что	3	5
16	не было бы	3	5
17	после того как	3	5
18	по отношению к	13	4
19	заключает в себе	6	4
20	потому что в	5	4
21	не мог бы	1	4
22	от того что	5	4
23	на то что	3	4
24	в то время	3	4
25	не что иное	2	4
26	можно было бы	1	4
27	то время как	1	4
28	что иное как	2	4
29	потому что она	1	3
30	она не может	1	3
31	может быть назван	1	3
32	том что он	1	3
33	к тому что	2	3
34	но это не	2	3
35	и потому не	1	3
36	и быть может	1	3
37	по сравнению с	1	3
38	это значит что	1	3
39	и той же	3	3
40	одной и той	3	3
41	так же как	1	3
42	в нем самом	6	3
43	с тем что	4	3
44	во всяком случае	7	3
45	как и в	3	3
46	смысле этого слова	3	2
47	не только в	3	2
48	и самого себя	1	2
49	того что человек	1	2
50	как и во	3	2
51	не так как	1	2
52	смысле в каком	5	2
53	но и истина	1	2
54	все более и	2	2
55	между тем как	1	2
56	том что все	1	2
57	было для него	1	2
58	не могут понять	1	2
59	не было ничего	1	2
60	в человеке и	2	2
61	что это не	1	2
62	в разных местах	1	2
63	в наше время	1	2
64	потому что есть	1	2
65	что не все	1	2
66	и не может	1	2
67	в этих словах	1	2
68	потому что не	5	2
69	и для него	1	2
70	тем что в	1	2
71	в том смысле	7	2
72	более и более	2	2
73	и в самой	1	2
74	никто не может	1	2
75	что в нем	1	2
76	в каждом человеке	1	2
77	подобно тому как	7	2
78	не могут быть	5	2
79	в этом отношении	1	2
80	лишь в том	1	1
81	мере в какой	1	1
82	во многих других	1	1
83	это должно быть	1	1
84	а от того	1	1
85	но всегда в	1	1
86	том смысле что	2	1
87	для нас в	1	1
88	и в этих	1	1
89	в той мере	1	1
90	и человека в	1	1
91	могла бы вместить	1	1
92	и т п	4	1
93	другу и не	1	1
94	на том что	1	1
95	и тогда когда	1	1
96	оно должно быть	1	1
97	не в себе	1	1
98	мог бы быть	2	1
99	что они не	1	1
100	указывает на то	1	1
101	решения вопросов о	1	1
102	себя и других	2	1
103	что она ведет	1	1
104	решить вопрос о	1	1
105	и во многих	1	1
106	искать в них	1	1
107	друг на друга	2	1
108	во втором случае	1	1
109	что у него	1	1
110	на этом основании	2	1
111	сам по себе	5	1
112	может быть выражена	1	1
113	может быть так	1	1
114	но не только	1	1
115	не в том	6	1
116	не достигает того	1	1
117	в том случае	1	1
118	всяком случае для	1	1
119	не потому что	1	1
120	в себе самом	1	1
121	а между тем	5	1
122	того что в	1	1
123	в телесном и	1	1
124	хотя бы даже	2	1
125	свободы потому что	1	1
126	это нисколько не	1	1
127	должны быть признаны	1	1
128	с его стороны	1	1
129	между этими двумя	1	1
130	есть одно из	1	1
131	не могла бы	2	1
132	как и всякая	1	1
133	и тем самым	2	1
134	даже и в	1	1
135	и в нашем	1	1
136	тем же путем	1	1
137	в отличие от	1	1
138	не только те	1	1
139	и в других	1	1
140	той мере в	1	1
141	но даже и	1	1
142	не только о	1	1
143	может быть названа	1	1
144	но не в	3	1
145	должно быть признано	1	1
146	в себе в	1	1
147	не приводит в	1	1
148	во время самого	1	1
149	ли в этом	1	1
150	только в нем	1	1
151	на две неравные	1	1
152	в какой форме	1	1
153	том что оно	1	1
154	несмотря на все	1	1
155	с другой стороны	7	1
156	то он должен	1	1
157	с психологической точки	1	1
158	только тогда когда	5	1
159	но так как	1	1
160	и в том	3	1
161	могли бы быть	1	1
162	для него как	1	1
163	нельзя себе представить	3	1
164	его собственной природы	1	1
165	себя и для	1	1
166	психологической точки зрения	1	1
167	слова для него	1	1
168	мыслей и чувств	1	1
169	которые не могут	2	1
170	втором случае человек	1	1
171	между людьми и	1	1
172	и как бы	4	1
173	не только для	2	1
174	не могли быть	1	1
175	в том только	1	1
176	для мысли и	1	1
177	не только от	1	1
178	никогда не достигает	2	1
179	это не так	2	1
180	мы говорим что	1	1
181	с точки зрения	3	1
182	свободы и необходимости	3	1
183	нас потому что	1	1
184	лицом к лицу	1	1
185	лежит в основании	1	1
186	не есть еще	1	1
187	человеческой природы вообще	1	1
188	и не в	1	1
189	а следовательно и	1	1
190	не понятно для	1	1
191	и в тех	1	1
192	человеческого духа которая	1	1
193	ответ на это	1	1
194	потому что мы	3	1
195	и на ней	1	1
196	останется для нас	1	1
197	в то же	3	1
198	до тех пор	1	1
199	а не из	1	1
200	как в жизни	1	1
201	не для того	1	1
202	в них не	2	1
203	не от того	1	1
204	то же время	3	1
205	нисколько не противоречит	1	1
206	на самом деле	2	1
207	него как для	1	1
208	того как он	1	1
209	тому как в	1	1
210	они не имеют	1	1
211	выйти за пределы	1	1
212	что если бы	1	1
213	том смысле в	4	1
214	или лучше сказать	1	1
215	но в действительности	1	1
216	только потому что	3	1
217	во всех этих	1	1
218	стало быть не	1	1
219	и в свою	3	1
220	он не мог	1	1
221	точки зрения так	1	1
222	все что есть	1	1
223	того чтобы сделать	1	1
224	все к одному	1	1
225	не без основания	1	1
226	она может быть	1	1
227	и все же	1	1
228	в человеке но	1	1
229	между тем в	2	1
230	том случае если	1	1
231	все в нем	1	1
232	в ряду других	1	1
233	такой степени как	1	1
234	с этим связано	1	1
235	потому только что	1	1
236	с одной стороны	6	1
237	то есть к	1	1
238	служить не только	1	1
239	это потому что	1	1
240	сама по себе	4	1
241	может быть названо	5	1
242	это было бы	2	1
243	если бы не	3	1
