N	3gram	Bakhtin_Pr	EvropaiC
1	в том что	6	16
2	до сих пор	8	15
3	по отношению к	5	11
4	друг с другом	6	9
5	с точки зрения	13	8
6	более или менее	3	8
7	а между тем	2	8
8	на то что	2	7
9	друг от друга	2	6
10	что касается до	1	6
11	по сравнению с	6	5
12	так или иначе	1	5
13	к тому же	1	5
14	не может быть	8	4
15	о том что	3	4
16	тем не менее	2	4
17	с другой стороны	3	4
18	в конце концов	1	4
19	в этом случае	1	4
20	может быть и	2	4
21	все же не	1	3
22	не подлежит сомнению	1	3
23	так же как	1	3
24	в данном случае	1	3
25	и то что	1	3
26	в связи с	1	3
27	лишь тогда когда	1	2
28	о которой мы	1	2
29	том что все	2	2
30	так и для	1	2
31	во всяком случае	1	2
32	которой мы говорили	1	2
33	и может быть	1	2
34	как и в	4	2
35	а следовательно и	2	2
36	в то же	8	2
37	именно потому что	1	2
38	как и все	1	2
39	в высшей степени	1	2
40	из того же	1	2
41	то же время	8	2
42	друг к другу	1	2
43	мы видели что	2	1
44	мы говорили в	2	1
45	а может быть	1	1
46	а как бы	1	1
47	друг друга и	1	1
48	с другом все	1	1
49	все то что	2	1
50	то есть в	5	1
51	мы уже знаем	1	1
52	становится как бы	1	1
53	далеко не исчерпывается	1	1
54	в каждом индивидуальном	1	1
55	мы находим в	3	1
56	мы видим что	1	1
57	но и помимо	1	1
58	одним из самых	1	1
59	от друга в	1	1
60	по крайней мере	2	1
61	основе их лежит	1	1
62	и тому же	2	1
63	так это просто	1	1
64	таким образом по	1	1
65	общению между людьми	1	1
66	и ничем не	1	1
67	и все другие	1	1
68	и в дальнейшем	2	1
69	между ними нет	1	1
70	из них в	2	1
71	во всей своей	1	1
72	так и от	1	1
73	одним из главных	2	1
74	и в нем	2	1
75	в том числе	15	1
76	и той же	1	1
77	что для этого	1	1
78	и для того	1	1
79	из всех сил	1	1
80	в этом и	1	1
81	при этом не	1	1
82	до некоторой степени	1	1
83	состоит в том	1	1
84	лишь то что	1	1
85	не знает что	1	1
86	хотя и не	3	1
87	и некоторые другие	1	1
88	у него в	1	1
89	но при этом	1	1
90	и в конце	2	1
91	и до сих	2	1
92	я не могу	1	1
93	те же самые	1	1
94	и с точки	1	1
95	есть в этом	1	1
96	дело в том	3	1
97	смысле этого слова	2	1
98	одно и то	1	1
99	на земле в	1	1
100	и в целом	1	1
101	в зависимости от	3	1
102	как мы сказали	4	1
103	одной и той	1	1
104	мы не знаем	1	1
105	том числе и	13	1
106	можно было бы	2	1
107	себя и все	1	1
108	в разных направлениях	1	1
109	уже говорили что	1	1
110	а потому и	1	1
111	как бы он	1	1
112	одному и тому	2	1
113	что они не	1	1
114	а затем и	1	1
115	с самого начала	4	1
116	они вовсе не	1	1
117	и то же	1	1
118	точки зрения всякой	1	1
119	уже знаем что	1	1
120	не только между	1	1
121	различия между ними	1	1
122	понимают друг друга	1	1
123	в широком смысле	2	1
124	а не в	1	1
125	то же самое	1	1
126	во всем мире	2	1
127	перед нами два	1	1
128	к тому что	1	1
129	их отношение к	2	1
130	духе и в	2	1
131	и помимо этого	1	1
132	и развиваться в	1	1
133	в котором они	1	1
134	то что мы	1	1
135	распространяется и на	1	1
136	друг в друге	2	1
137	мы уже говорили	3	1
138	таким образом и	2	1
139	является одним из	2	1
140	для этой цели	1	1
141	сих пор еще	2	1
142	в основе их	1	1
143	теперь мы должны	2	1
144	нет и не	3	1
145	и все они	1	1
146	самого начала в	1	1
147	и не может	6	1
148	мы уже сказали	2	1
149	это было бы	1	1
150	здесь гораздо меньше	1	1
