N	3gram	Tiupa_Narr	Hudozhes
1	по отношению к	5	10
2	не сводится к	7	9
3	в том что	11	8
4	присутствия в мире	2	7
5	я в мире	3	7
6	в то же	7	7
7	в отличие от	6	7
8	то же время	7	7
9	с другой стороны	1	6
10	более или менее	2	6
11	присутствия я в	2	6
12	той или иной	6	5
13	в конечном счете	4	5
14	для того чтобы	4	5
15	состоит в том	5	5
16	так или иначе	1	4
17	того или иного	3	4
18	не может быть	6	4
19	так и не	2	4
20	в силу своей	1	4
21	по сути своей	1	3
22	с точки зрения	2	3
23	в этом смысле	1	3
24	и в самом	1	3
25	в том числе	1	3
26	тем не менее	6	3
27	всех без исключения	1	3
28	можно сказать что	5	3
29	и то же	2	3
30	следует смешивать с	1	3
31	одного и того	2	3
32	одно и то	2	3
33	подобно тому как	4	3
34	несет в себе	1	3
35	и того же	2	3
36	по сути дела	2	3
37	в связи с	3	3
38	кадров внутреннего зрения	1	3
39	не следует смешивать	1	3
40	с одной стороны	5	3
41	в тарасе бульбе	1	2
42	войне и мире	2	2
43	в той или	1	2
44	в свою очередь	2	2
45	бы то ни	1	2
46	в искусстве слова	1	2
47	в структуре текста	1	2
48	креативного и рецептивного	1	2
49	до известной степени	1	2
50	в данный момент	1	2
51	в русской литературе	1	2
52	причастной вненаходимости бахтин	1	2
53	себя в другом	1	2
54	значении этого термина	1	2
55	я в качестве	1	2
56	по большей части	5	2
57	этой точки зрения	1	2
58	с этой точки	1	2
59	героя тогда как	1	2
60	в самом деле	3	2
61	в таком случае	1	2
62	в войне и	2	2
63	в противном случае	1	2
64	начало и конец	3	2
65	по своей природе	1	2
66	том числе и	1	2
67	с легкой руки	1	2
68	и в то	2	2
69	а с другой	2	2
70	не могло быть	2	2
71	не сводятся к	1	2
72	тем или иным	2	2
73	то ни было	1	2
74	и не могло	1	2
75	к тому что	4	2
76	в известном смысле	4	2
77	в равной степени	3	2
78	в значительной степени	1	2
79	в основе своей	1	2
80	мы имеем дело	4	2
81	может быть и	1	2
82	с кротким мягким	1	1
83	точно так же	2	1
84	не могли бы	1	1
85	в тексте не	1	1
86	деталей в пределах	1	1
87	жизни то есть	1	1
88	облекается в молчание	1	1
89	войны и мира	4	1
90	заслоняется крупным планом	1	1
91	искусством непрямого говорения	1	1
92	по этой причине	1	1
93	последовательно вводятся автором	1	1
94	в общеязыковом отношении	1	1
95	кадрового единства фразы	1	1
96	в евгении онегине	1	1
97	мере в какой	1	1
98	малый отрезок времени	1	1
99	при этом становится	1	1
100	очень здоровая порядок	1	1
101	а не все	1	1
102	характеристика душечки постепенно	1	1
103	и рецептивного сознаний	1	1
104	втором эпизоде в	1	1
105	и как бы	1	1
106	раз в том	2	1
107	то есть в	1	1
108	и строго отграниченная	1	1
109	в рассказе душечка	1	1
110	и потому что	1	1
111	в этом тексте	1	1
112	каждый малый отрезок	1	1
113	готовом стабильно дифференцированном	1	1
114	современных гуманитарных науках	1	1
115	и тем же	1	1
116	так и его	1	1
117	в своего рода	2	1
118	может или пожелает	1	1
119	по себе а	1	1
120	вследствие того что	2	1
121	здоровая порядок фокусирующих	1	1
122	автором в кадры	1	1
123	в той мере	1	1
124	темной родинкой и	1	1
125	в соответствии с	7	1
126	или даже вовсе	1	1
127	от друга местом	1	1
128	была тихая добродушная	1	1
129	писал бахтин может	1	1
130	проявляет себя в	1	1
131	переносом в пространстве	1	1
132	времени в поле	1	1
133	заключает в себе	2	1
134	состоит как раз	1	1
135	что может или	1	1
136	в противоречие с	1	1
137	позицию по отношению	1	1
138	дамы с собачкой	7	1
139	обратим внимание на	2	1
140	по крайней мере	1	1
141	бы место лишь	1	1
142	движется один отдельный	1	1
143	писал в.ф асмус	1	1
144	единства фразы устанавливает	1	1
145	было и не	1	1
146	входит лишь поименованное	1	1
147	тривиальная в общеязыковом	1	1
148	кадра входит лишь	1	1
149	из этих двух	2	1
150	в рамках одного	1	1
151	в самом начале	1	1
152	тогда как внутренняя	1	1
153	поле зрения читателя	1	1
154	к новой жизни	1	1
155	в готовом стабильно	1	1
156	при этом что	1	1
157	о том что	3	1
158	души вдруг заслоняется	1	1
159	литература является искусством	1	1
160	друга местом временем	1	1
161	оно живет в	1	1
162	в последние десятилетия	1	1
163	читателю ракурс видения	1	1
164	таков что душевная	1	1
165	не обязательно человек	1	1
166	специфически человеческий способ	1	1
167	барышня с кротким	1	1
168	в кадры читательского	1	1
169	случае мы имеем	1	1
170	участников коммуникативного события	1	1
171	неизбежно принадлежит к	1	1
172	все что может	1	1
173	взглядом очень здоровая	1	1
174	текста так и	2	1
175	дифференцированном и оцененном	1	1
176	одной стороны и	1	1
177	вдруг заслоняется крупным	1	1
178	следует иметь в	1	1
179	устанавливает задаваемый читателю	1	1
180	кадр внутреннего зрения	1	1
181	как и в	1	1
182	и составом участников	1	1
183	временем действия и	1	1
184	какой бы то	1	1
185	в е годы	2	1
186	в пределах кадрового	1	1
187	а в то	1	1
188	коммуникативного события в	1	1
189	и оцененном мире	1	1
190	подхваченная и усиленная	1	1
191	не только к	1	1
192	как один из	1	1
193	себя в комнате	1	1
194	душечки постепенно углубляемая	1	1
195	и мире толстого	1	1
196	между тем это	1	1
197	к одному из	1	1
198	место лишь в	1	1
199	не все что	1	1
200	в кадры повествования	1	1
201	но в контексте	1	1
202	ощущаться завершенная и	1	1
203	самая тривиальная в	1	1
204	зрения читателя находится	1	1
205	литературная классика xix	1	1
206	строго отграниченная система	1	1
207	на котором он	1	1
208	родинкой и т.д	1	1
209	стремится к однозначности	1	1
210	в этом втором	1	1
211	связи с этим	1	1
212	в современных гуманитарных	1	1
213	своего рода механизмом	1	1
214	в этих случаях	1	1
215	друг от друга	1	1
216	в то время	1	1
217	живет в готовом	1	1
218	отрезок времени в	1	1
219	крупным планом заключительного	1	1
220	собственно говоря и	2	1
221	субъективно оно интерсубъективно	1	1
222	добродушная жалостливая барышня	1	1
223	хранения и передачи	1	1
224	к чужому я	1	1
225	не несет в	1	1
226	бахтин может ощущаться	1	1
227	глядя на ее	1	1
228	оказывается всего лишь	1	1
229	во времени и	6	1
230	во втором случае	1	1
231	то есть от	1	1
232	на ее полные	1	1
233	находится или движется	1	1
234	местом временем действия	1	1
235	в другом и	1	1
236	повествования а читателем	1	1
237	жалостливая барышня с	1	1
238	повествователя рассказчика хроникера	1	1
239	именно в этом	1	1
240	в самом общем	1	1
241	восприятия в каждый	1	1
242	в том случае	1	1
243	не субъективно оно	1	1
244	однако все они	1	1
245	в особенности в	1	1
246	в себе самом	2	1
247	а также в	1	1
248	в нем звучит	1	1
249	лишь в самом	1	1
250	вступает в противоречие	1	1
251	слове писал бахтин	1	1
252	человеческий способ существования	1	1
253	ракурс видения в	1	1
254	следует подчеркнуть что	2	1
255	пожелает представить себе	1	1
256	что душевная характеристика	1	1
257	начале этой цепочки	1	1
258	одним и тем	1	1
259	даже самая тривиальная	1	1
260	иметь в виду	1	1
261	тихая добродушная жалостливая	1	1
262	в своей индивидуальности	1	1
263	в тексте а	1	1
264	перерывом во времени	1	1
265	текста но и	1	1
266	ни объективным как	1	1
267	таким образом что	1	1
268	формах косвенной речи	1	1
269	щеки на мягкую	1	1
270	текста в целом	2	1
271	содержит в себе	1	1
272	как раз в	3	1
273	роль в организации	1	1
274	состав такого кадра	1	1
275	в зависимости от	3	1
276	во втором эпизоде	2	1
277	на второй план	1	1
278	а тот кто	1	1
279	в области же	1	1
280	в художественных текстах	3	1
281	с темной родинкой	1	1
282	деталями кадр внутреннего	1	1
283	по тем или	1	1
284	действия и составом	1	1
285	так же как	1	1
286	а тем более	1	1
287	смерти чиновника или	1	1
288	но в действительности	1	1
289	может ощущаться завершенная	1	1
290	и тем самым	6	1
291	лишь поименованное в	1	1
292	восприятие определений таков	1	1
293	в смерти чиновника	1	1
294	в том или	1	1
295	поэтому вслед за	1	1
296	к другому человеку	1	1
297	речь идет о	3	1
298	насыщенный деталями кадр	1	1
299	шею с темной	1	1
300	не было и	2	1
301	в поле зрения	1	1
302	кадры повествования а	1	1
303	точки зрения в	1	1
304	при условии что	1	1
305	такого кадра входит	1	1
306	а в том	2	1
307	розовые щеки на	1	1
308	той мере в	1	1
309	казалось бы место	1	1
310	звучит один голос	1	1
311	это была тихая	1	1
312	в ходе чтения	1	1
313	можно сказать не	1	1
314	к тому же	8	1
315	в слове писал	1	1
316	читательского восприятия в	1	1
317	входит в состав	1	1
318	не только на	2	1
319	является искусством непрямого	1	1
320	тот кто говорит	1	1
321	речи хотя и	1	1
322	в каждый малый	1	1
323	полные розовые щеки	1	1
324	уже говорилось выше	1	1
325	и в жизни	2	1
326	жизни а не	1	1
327	в рамках этой	1	1
328	нем звучит один	1	1
329	поименованное в тексте	1	1
330	на мягкую белую	1	1
331	формах художественного письма	1	1
332	возможна только в	1	1
333	в частности в	2	1
334	дело обстоит иначе	1	1
335	фразы устанавливает задаваемый	1	1
336	говорящих и слушающих	1	1
337	мягким взглядом очень	1	1
338	или движется один	1	1
339	на первый взгляд	1	1
340	один отдельный кадр	1	1
341	в хх веке	1	1
