N	4gram	Propp_Isto	Marksizm
1	в то же время	1	15
2	одни и те же	1	5
3	с одной стороны и	1	3
4	в том числе и	2	3
5	одно и то же	2	3
6	на этот вопрос мы	1	2
7	так же как и	4	2
8	с этой точки зрения	2	1
9	но тем не менее	1	1
10	при более подробном анализе	1	1
11	не что иное как	1	1
12	как мы только что	1	1
13	по отношению к которым	1	1
14	не сам по себе	1	1
15	указывает на то что	1	1
16	во всех этих случаях	2	1
17	а в связи с	1	1
18	в тех случаях когда	1	1
19	но с одной стороны	1	1
20	тем не менее в	1	1
21	на первый план выдвигается	1	1
22	меняются в зависимости от	1	1
23	свидетельствует о том что	1	1
24	этом как мы увидим	1	1
25	только после этого мы	1	1
26	может быть истолкован как	1	1
27	до сих пор не	1	1
28	мы не будем здесь	2	1
