N	2gram	Vinokur_Vv	EvropaiC
1	таким образом	21	34
2	в том	38	31
3	и в	35	24
4	том что	30	20
5	все эти	3	19
6	то что	19	18
7	не может	19	18
8	может быть	30	17
9	до сих	7	15
10	народа в	1	15
11	все же	9	15
12	сих пор	7	15
13	точки зрения	12	14
14	к культуре	2	14
15	в этом	35	13
16	все это	6	13
17	самом деле	7	12
18	с этим	3	12
19	между тем	10	12
20	в своем	3	12
21	по отношению	4	11
22	но и	7	11
23	культуры и	1	11
24	отношению к	4	11
25	все что	1	10
26	мы знаем	1	10
27	не только	26	10
28	так и	2	10
29	как и	7	10
30	культуры в	5	10
31	во всех	2	10
32	из себя	1	10
33	как бы	7	10
34	что в	13	9
35	при этом	3	9
36	в результате	4	9
37	не в	10	9
38	и все	1	9
39	и не	13	9
40	потому что	18	9
41	и что	6	9
42	на то	2	9
43	того же	3	9
44	в самом	13	8
45	с точки	4	8
46	европейской культуры	1	8
47	более или	1	8
48	ясно что	11	8
49	или менее	1	8
50	к тому	4	8
51	для того	23	8
52	если бы	3	8
53	того чтобы	22	8
54	а между	2	8
55	так же	3	8
56	идет речь	3	8
57	а и	1	8
58	из этих	9	8
59	так как	15	7
60	что при	1	7
61	того что	12	7
62	что и	5	7
63	на самом	1	7
64	национальной культуры	4	7
65	данного народа	3	7
66	что он	5	7
67	не менее	9	7
68	о которых	2	7
69	о котором	8	7
70	о том	16	7
71	вместе с	6	7
72	в этой	3	7
73	в силу	3	7
74	по существу	2	7
75	для этого	3	7
76	мы можем	2	6
77	и на	3	6
78	несмотря на	2	6
79	с ним	1	6
80	при чем	1	6
81	что с	3	6
82	только в	16	6
83	тому же	1	6
84	отличается от	1	6
85	еще не	4	6
86	должна быть	2	6
87	так что	5	6
88	народов и	2	6
89	и при	2	6
90	тогда как	2	6
91	как на	12	6
92	в общем	14	6
93	с другой	8	6
94	в то	6	6
95	в европе	1	6
96	у них	2	6
97	и для	4	6
98	и к	3	5
99	как к	1	5
100	а потому	5	5
101	должно быть	2	5
102	в его	12	5
103	что это	3	5
104	другой стороны	5	5
105	у него	1	5
106	его в	6	5
107	так или	4	5
108	в которой	1	5
109	но все	4	5
110	и с	2	5
111	или иначе	4	5
112	именно в	8	5
113	и без	2	5
114	по своему	5	5
115	по сравнению	4	5
116	сравнению с	4	5
117	других народов	1	5
118	и истории	2	5
119	быть и	2	5
120	не будет	1	5
121	между двумя	1	5
122	котором идет	2	5
123	далеко не	1	5
124	его собственной	1	5
125	лишь в	1	5
126	так называемого	1	5
127	в себе	4	5
128	и от	1	5
129	что все	1	5
130	как будто	3	5
131	к этому	3	5
132	в пользу	1	5
133	в целом	5	5
134	из них	4	5
135	но в	10	5
136	иначе говоря	1	4
137	и то	7	4
138	та же	1	4
139	этой области	3	4
140	на вопрос	6	4
141	которых мы	1	4
142	из того	2	4
143	сильнее чем	2	4
144	этом случае	6	4
145	хотя и	5	4
146	тем не	9	4
147	совершенно не	1	4
148	из которых	3	4
149	чем больше	2	4
150	это есть	2	4
151	в европейской	1	4
152	все прочие	1	4
153	в их	12	4
154	в виде	4	4
155	связи с	3	4
156	что его	1	4
157	одним из	5	4
158	в конце	3	4
159	в таком	1	4
160	с тем	6	4
161	состоит из	1	4
162	в в	3	4
163	не есть	5	4
164	не могут	6	4
165	между собой	1	4
166	то ясно	1	4
167	и у	1	4
168	как сказано	2	4
169	и сейчас	2	4
170	а с	2	4
171	что мы	2	4
172	мы уже	2	4
173	в течение	5	4
174	хотя бы	6	4
175	то ни	1	4
176	в дальнейшем	2	4
177	в такой	1	4
178	мы должны	2	4
179	факт что	2	4
180	тот факт	1	4
181	и т.д	5	4
182	отношение к	3	4
183	без того	1	4
184	том же	2	4
185	с течением	7	4
186	в области	4	4
187	культуры как	6	4
188	конце концов	2	4
189	если мы	1	4
190	то же	11	4
191	течением времени	7	4
192	никогда не	3	4
193	ближе к	2	3
194	во всем	2	3
195	бы то	1	3
196	на почве	5	3
197	то очевидно	1	3
198	что оно	2	3
199	самих себя	1	3
200	а наоборот	1	3
201	данном случае	5	3
202	только что	4	3
203	которые не	2	3
204	в начале	3	3
205	цивилизации в	1	3
206	с одной	4	3
207	тогда когда	4	3
208	двух разнородных	1	3
209	ни было	1	3
210	в разных	7	3
211	и говорить	1	3
212	для нас	1	3
213	в с	3	3
214	прежде всего	10	3
215	у нас	2	3
216	одно из	5	3
217	коренным образом	1	3
218	целом ряде	2	3
219	в этих	3	3
220	различия между	1	3
221	чем в	3	3
222	что по	1	3
223	в нем	13	3
224	заключается в	4	3
225	представление о	1	3
226	очевидно что	1	3
227	очень много	1	3
228	в жизни	1	3
229	можно назвать	1	3
230	в связи	2	3
231	же как	3	3
232	настоящее время	1	3
233	что таким	1	3
234	в истории	9	3
235	может не	1	3
236	вследствие этого	1	3
237	и это	6	3
238	в сторону	1	3
239	что их	1	3
240	и вообще	3	3
241	тем более	2	3
242	жизнь и	1	3
243	и того	3	3
244	и потому	2	3
245	на этой	3	3
246	в данном	11	3
247	и других	3	3
248	отличие от	4	3
249	вопрос о	10	3
250	но тогда	1	3
251	в ней	3	3
252	что если	2	3
253	если же	2	3
254	должны быть	1	3
255	с этой	5	3
256	может служить	3	3
257	это не	8	3
258	в тех	2	3
259	культуре в	1	3
260	и до	2	3
261	уже и	10	3
262	не вполне	4	3
263	от того	3	3
264	при помощи	3	3
265	каждый из	2	3
266	а в	6	3
267	а лишь	1	3
268	было бы	7	3
269	как мы	11	3
270	они должны	1	3
271	образом в	1	3
272	нечего и	1	3
273	но не	9	3
274	бы в	2	3
275	в настоящее	1	3
276	одного и	2	3
277	тот же	1	3
278	не то	1	3
279	одной и	2	2
280	все в	1	2
281	с которыми	2	2
282	представить себе	7	2
283	из врожденных	1	2
284	что они	2	2
285	во втором	2	2
286	но на	1	2
287	в гораздо	1	2
288	что у	1	2
289	что эти	1	2
290	как две	3	2
291	смотреть на	5	2
292	них в	1	2
293	этот процесс	4	2
294	культуры наконец	1	2
295	то в	1	2
296	в свет	1	2
297	на том	3	2
298	гораздо менее	1	2
299	для себя	1	2
300	из таких	2	2
301	начале этой	1	2
302	для него	1	2
303	следует что	2	2
304	а это	1	2
305	а затем	2	2
306	него в	2	2
307	к таким	2	2
308	но как	2	2
309	разобраться в	1	2
310	и из	2	2
311	своих собственных	1	2
312	не от	1	2
313	в виду	5	2
314	страсть к	1	2
315	совершенно ясно	1	2
316	работы и	1	2
317	но с	5	2
318	в своих	2	2
319	не было	2	2
320	не потому	1	2
321	все то	1	2
322	и сам	3	2
323	помнить что	1	2
324	во внимание	3	2
325	на нее	3	2
326	теперь мы	1	2
327	том виде	3	2
328	вовсе не	6	2
329	но для	1	2
