N	3gram	Voloshinov	Tvorches
1	в то же	1	25
2	то же время	1	24
3	в том что	4	11
4	в творчестве достоевского	1	11
5	о том что	1	8
6	в конечном счете	1	6
7	не может быть	7	6
8	но в то	1	6
9	записок из подполья	1	5
10	в самом деле	1	5
11	в том же	1	5
12	по отношению к	11	5
13	в русской литературе	1	5
14	до сих пор	3	4
15	по крайней мере	1	4
16	с точки зрения	2	4
17	дело в том	4	4
18	с самого начала	1	4
19	это прежде всего	1	4
20	это как бы	3	3
21	сами по себе	1	3
22	том что в	1	3
23	во всяком случае	1	3
24	в лице ее	1	3
25	как и в	1	3
26	с другой стороны	2	3
27	и не может	3	3
28	он еще не	1	2
29	в данном случае	2	2
30	тем не менее	3	2
31	к тому же	1	2
32	в высшей степени	1	2
33	в свою очередь	1	2
34	но прежде всего	1	2
35	только то что	1	2
36	можно сказать что	5	2
37	место в творчестве	1	2
38	и та же	1	2
39	все же не	1	2
40	на самом деле	2	2
41	так же как	1	2
42	но отнюдь не	2	2
43	имеет в виду	3	1
44	мы все время	2	1
45	восприятие художественного произведения	1	1
46	когда он не	1	1
47	была бы подобна	1	1
48	в частности в	1	1
49	автор как бы	1	1
50	ничего общего с	1	1
51	а между тем	1	1
52	его в субъект	1	1
53	мы никогда не	2	1
54	но в своем	1	1
55	и прежде всего	1	1
56	в чем не	1	1
57	по себе не	1	1
58	то ни было	3	1
59	то же самое	2	1
60	на самом же	1	1
61	бы то ни	3	1
62	прежде всего нужно	1	1
63	и в этом	1	1
64	с ним на	1	1
65	к вопросу о	1	1
66	в художественном произведении	3	1
67	и так называемый	1	1
68	в том и	1	1
69	равно как и	1	1
70	самом же деле	1	1
71	от этой задачи	1	1
72	в основном его	1	1
73	но и в	1	1
74	на второй план	1	1
75	может быть ни	1	1
76	но в них	1	1
77	имеем в виду	2	1
78	можно определить как	1	1
79	все более и	1	1
80	и не в	3	1
81	с одной стороны	2	1
82	каких бы то	1	1
83	в настоящее время	2	1
84	в то время	1	1
85	более и более	1	1
86	но все это	1	1
87	со всех сторон	1	1
88	но уже в	1	1
89	в отношении к	2	1
90	можно было бы	1	1
91	произведение не может	1	1
92	мы имеем в	1	1
93	и отнюдь не	1	1
94	же как и	1	1
95	одна и та	1	1
96	и в истории	1	1
97	с большим трудом	1	1
98	в нем и	1	1
99	человек и его	1	1
100	ни в чем	1	1
101	нам кажется что	1	1
102	если бы не	1	1
