N	2gram	Ircho_Kome	Formalny
1	и в	37	95
2	т е	18	94
3	и не	28	78
4	может быть	14	66
5	в этом	18	61
6	не может	9	57
7	вовсе не	6	53
8	таким образом	16	52
9	и его	10	51
10	так и	4	50
11	точки зрения	8	47
12	в нем	8	42
13	в его	12	42
14	прежде всего	7	41
15	с точки	6	40
16	как и	10	39
17	и т	5	37
18	в самом	17	35
19	не в	7	35
20	а не	5	34
21	но и	18	33
22	то же	14	32
23	самом деле	13	32
24	не только	13	30
25	в пределах	3	28
26	в том	24	26
27	отнюдь не	5	26
28	если бы	18	26
29	то что	5	25
30	при этом	11	24
31	в своей	6	24
32	с помощью	4	23
33	было бы	7	23
34	связи с	5	23
35	в ней	7	23
36	в то	14	22
37	и ее	3	22
38	и с	5	21
39	что в	11	21
40	в истории	2	21
41	как бы	7	21
42	между ними	4	20
43	с тем	6	20
44	не менее	9	20
45	входит в	1	20
46	как мы	6	20
47	и от	3	20
48	же время	12	20
49	место в	1	20
50	в их	5	20
51	по себе	1	19
52	хотя бы	5	19
53	т д	1	19
54	не могут	2	19
55	все это	7	19
56	все же	9	18
57	в связи	4	18
58	т п	5	18
59	должна быть	2	18
60	только в	3	18
61	и все	6	18
62	с его	6	18
63	все эти	1	18
64	и их	1	18
65	именно как	1	17
66	как раз	9	17
67	как в	4	17
68	во всяком	3	16
69	с другой	5	16
70	так же	8	16
71	всяком случае	3	16
72	совершенно не	2	16
73	потому что	19	16
74	все время	3	15
75	с другими	2	15
76	его в	9	15
77	бы в	5	15
78	во всех	4	15
79	и на	6	15
80	так как	16	15
81	но в	7	15
82	в жизни	1	14
83	только на	1	14
84	в своем	9	14
85	в ее	3	14
86	в этой	7	14
87	что он	15	14
88	вместе с	16	14
89	еще не	10	14
90	если мы	2	14
91	и потому	2	14
92	жизни и	1	14
93	в целом	4	14
94	в результате	2	13
95	тем что	12	13
96	настоящее время	1	13
97	что и	12	13
98	ни в	14	13
99	как его	4	13
100	могут быть	3	13
101	независимо от	4	13
102	для них	1	13
103	сводится к	1	13
104	со стороны	16	13
105	что же	2	13
106	до конца	4	13
107	в настоящее	1	13
108	того что	1	13
109	как ее	2	13
110	она не	3	13
111	а в	12	13
112	к тому	11	12
113	в действительности	1	12
114	по отношению	6	12
115	как это	5	12
116	и здесь	11	12
117	того чтобы	9	12
118	и для	7	12
119	отношению к	4	12
120	в реальном	1	11
121	никогда не	5	11
122	что они	3	11
123	то ни	4	11
124	между тем	6	11
125	зависимости от	1	11
126	они не	2	11
127	для него	1	11
128	этом отношении	2	11
129	в основе	3	11
130	но не	9	11
131	в большинстве	1	11
132	слова и	1	11
133	не как	2	10
134	другой стороны	2	10
135	в своих	4	10
136	в первом	2	10
137	в дальнейшем	5	10
138	конечно не	4	10
139	в зависимости	1	10
140	бы то	3	10
141	не было	6	10
142	здесь и	3	10
143	он не	11	10
144	если же	2	10
145	главным образом	2	10
146	мы видели	1	10
147	как о	3	10
148	в слове	1	10
149	не является	5	10
150	и теперь	2	10
151	тем же	3	10
152	друг друга	7	10
153	формы и	1	10
154	мы не	6	10
155	по существу	4	10
156	и как	3	10
157	на фоне	2	10
158	не о	3	10
159	еще более	4	9
160	и даже	6	9
161	говорить о	6	9
162	для понимания	3	9
163	не могло	1	9
164	мы знаем	2	9
165	ни было	3	9
166	в каждом	3	9
167	одним словом	1	9
168	бы ни	1	9
169	отношения к	2	9
170	язык и	1	9
171	в свою	12	9
172	и до	2	9
173	здесь не	2	9
174	ничего не	6	9
175	от всех	1	9
176	у нас	1	9
177	быть и	1	9
178	и может	2	9
179	и к	4	8
180	в них	6	8
181	и те	1	8
182	одной стороны	4	8
183	всего этого	1	8
184	была бы	2	8
185	следует что	3	8
186	как такового	1	8
187	с одной	5	8
188	ясно что	12	8
189	же как	1	8
190	между собой	5	8
