N	2gram	Nazirov_Vr	Poddanst
1	не только	9	17
2	и в	8	14
3	и не	5	12
4	в этом	8	10
5	в том	3	9
6	то же	5	9
7	в качестве	1	9
8	но в	6	9
9	н и	1	8
10	же время	5	7
11	в то	5	7
12	в ней	4	6
13	быть может	1	6
14	было бы	1	6
15	но и	7	6
16	может быть	4	5
17	отношении к	1	5
18	россии в	2	5
19	с другой	1	5
20	и о	3	5
21	а н	2	5
22	в русской	3	4
23	что в	7	4
24	в котором	6	4
25	не может	2	4
26	а в	2	4
27	то что	7	4
28	как бы	4	4
29	а также	2	4
30	в своем	3	4
31	же в	2	4
32	том что	3	4
33	наряду с	3	3
34	в себе	2	3
35	это не	4	3
36	между тем	5	3
37	с точки	2	3
38	хотя и	1	3
39	т е	3	3
40	потому что	1	3
41	прежде всего	1	3
42	вслед за	1	3
43	россия в	1	3
44	тем самым	1	3
45	в россии	5	3
46	заключается в	1	3
47	но не	1	3
48	могут быть	1	3
49	и как	3	3
50	столь же	2	3
51	в нем	6	3
52	точки зрения	2	3
53	с этим	1	2
54	во всех	1	2
55	и это	2	2
56	в полной	1	2
57	было в	1	2
58	если в	1	2
59	не будем	1	2
60	и дети	2	2
61	еще более	1	2
62	в ее	1	2
63	того что	1	2
64	как раз	2	2
65	в недрах	1	2
66	в частности	1	2
67	в его	3	2
68	нужно было	1	2
69	для нас	4	2
70	все это	4	2
71	говорить о	1	2
72	русский народ	1	2
73	и есть	1	2
74	и и	1	2
75	в них	2	2
76	не было	5	2
77	и с	6	2
78	в начале	6	2
79	как на	1	2
80	именно в	1	2
81	в жизни	1	2
82	отношения к	2	2
83	во всей	1	2
84	в силу	1	2
85	одна из	2	2
86	между прочим	1	2
87	в мире	2	2
88	и достоевского	9	2
89	не менее	2	2
90	отнюдь не	2	2
91	да и	1	2
92	по характеру	1	2
93	в эту	2	2
94	из них	2	2
95	тем более	2	2
96	что из	1	2
97	в е	1	2
98	к сожалению	1	1
99	нет ничего	1	1
100	как к	1	1
101	на россию	1	1
102	во всяком	1	1
103	не есть	1	1
104	и то	2	1
105	но как	2	1
106	а с	2	1
107	с его	3	1
108	в н	1	1
109	можно говорить	1	1
110	вместе с	2	1
111	россии не	1	1
112	с большою	1	1
113	в самом	1	1
114	– годах	1	1
115	они не	1	1
116	в момент	2	1
117	это в	2	1
118	только что	1	1
119	также что	1	1
120	важнее всего	1	1
121	к этой	1	1
122	в основном	1	1
123	действие в	1	1
124	нем в	1	1
125	уже в	4	1
126	в –	1	1
127	только как	1	1
128	мы знаем	2	1
129	живет в	1	1
130	на основе	2	1
131	не отмечен	1	1
132	вопросу о	1	1
133	как известно	1	1
134	из всех	1	1
135	во многих	1	1
136	что это	1	1
137	одно и	1	1
138	в русских	2	1
139	которых не	1	1
140	и уже	3	1
141	и никому	1	1
142	и образы	2	1
143	гоголя и	1	1
144	он вынул	1	1
145	от этой	1	1
146	что уже	1	1
147	не с	1	1
148	что эта	1	1
149	и достоевский	2	1
150	не об	1	1
151	и что	8	1
152	не могла	1	1
153	к смерти	1	1
154	другой стороны	1	1
155	иными словами	1	1
156	еще в	1	1
157	этом смысле	1	1
158	далеко не	3	1
159	в этих	1	1
160	г а	5	1
161	в истории	4	1
162	с утверждением	1	1
163	как по	1	1
164	так же	4	1
165	человека с	2	1
166	также и	1	1
167	его в	3	1
168	каждый из	1	1
169	который не	1	1
170	все же	6	1
171	при виде	1	1
172	христа и	1	1
173	россию и	1	1
174	к русскому	1	1
175	но на	1	1
176	вячеслав иванов	1	1
177	в этой	2	1
178	к ним	2	1
179	по преимуществу	1	1
180	на нее	1	1
181	себя в	1	1
182	из двух	1	1
183	известном смысле	1	1
184	же как	2	1
185	выразилось в	1	1
186	но для	1	1
187	в каком	1	1
188	может идти	1	1
189	что есть	3	1
190	свои собственные	1	1
191	развитие в	1	1
192	мнения о	1	1
193	более что	1	1
194	давно уже	3	1
195	ясно что	1	1
196	место в	2	1
197	как и	6	1
198	с которым	2	1
199	также в	1	1
200	сказалось в	1	1
201	говорить об	1	1
202	внимание к	1	1
203	на то	3	1
204	они как	1	1
205	европы и	1	1
206	ли не	1	1
207	этот вывод	1	1
208	и я	1	1
209	в эти	2	1
210	тех пор	1	1
211	всяком случае	1	1
212	в свете	1	1
213	о котором	1	1
214	не все	1	1
215	в условиях	1	1
216	друг друга	1	1
217	в это	2	1
218	с ее	1	1
219	в известном	2	1
220	не просто	1	1
221	он был	3	1
222	не имеет	1	1
223	за тем	1	1
224	м е	1	1
225	и ее	2	1
226	тем чтобы	1	1
227	в развитии	1	1
228	в душе	1	1
229	никогда не	2	1
230	еще не	2	1
