N	2gram	Tiupa_Lite	Myslijsy
1	потому что	5	182
2	то есть	11	142
3	и в	26	121
4	может быть	24	107
5	в том	22	103
6	то что	14	83
7	в слове	3	78
8	для нас	3	75
9	что в	7	73
10	и не	19	73
11	только в	8	72
12	не только	29	67
13	а не	28	67
14	таким образом	4	64
15	в этом	19	59
16	но и	25	59
17	том что	19	59
18	так как	2	59
19	то же	13	56
20	не в	11	54
21	если бы	1	53
22	в себе	8	53
23	не может	10	52
24	того что	7	47
25	в сознании	3	46
26	в душе	3	45
27	было бы	4	45
28	в нем	4	45
29	не есть	2	42
30	как и	13	42
31	так что	4	39
32	вместе с	5	39
33	что и	3	38
34	мы не	5	38
35	при этом	23	37
36	как в	5	37
37	так и	7	37
38	тогда когда	1	36
39	тем что	6	33
40	и что	2	32
41	по отношению	6	30
42	а в	5	30
43	что не	3	29
44	между тем	2	29
45	но не	8	29
46	вовсе не	3	28
47	мы можем	1	28
48	для него	6	28
49	могут быть	4	27
50	не было	5	26
51	и т	2	26
52	то и	5	26
53	отношению к	4	26
54	душевной жизни	1	25
55	между собою	1	24
56	в то	12	24
57	с тем	2	23
58	как бы	8	23
59	того как	1	23
60	а потому	4	22
61	что слово	1	22
62	то это	2	22
63	с другой	11	22
64	не имеет	2	22
65	но в	5	22
66	и потому	1	21
67	не менее	11	21
68	мысль о	2	20
69	в одном	2	20
70	это не	4	20
71	в ней	4	20
72	мысли и	1	19
73	и как	2	19
74	но это	2	19
75	в сознание	3	19
76	сказать что	1	19
77	с ним	2	19
78	того же	5	19
79	тем не	4	19
80	что это	1	19
81	и то	3	19
82	из этих	2	19
83	о том	3	19
84	тем самым	8	19
85	должно быть	1	19
86	есть не	2	19
87	в самом	4	18
88	в таком	1	18
89	для того	2	18
90	по поводу	2	18
91	не могут	1	18
92	очевидно что	2	18
93	бы не	3	18
94	в каком	1	18
95	тогда как	20	18
96	что я	4	18
97	еще не	4	18
98	точки зрения	8	17
99	крайней мере	2	17
100	со стороны	6	17
101	по крайней	2	17
102	слова и	6	17
103	уже в	7	17
104	в его	9	17
105	во всяком	3	17
106	слова в	2	17
107	не можем	2	17
108	только что	1	16
109	и на	5	16
110	к тому	3	16
111	так же	1	16
112	в своем	12	16
113	нашей мысли	1	16
114	в которой	1	16
115	а только	2	16
116	в них	1	16
117	если б	2	16
118	есть нечто	1	16
119	на то	2	16
120	быть может	2	15
121	в этих	2	15
122	уже не	9	15
123	только как	1	15
124	с одной	9	15
125	с другими	1	15
126	и тем	4	15
127	и по	1	15
128	что он	8	15
129	в свою	2	15
130	прежде всего	14	15
131	в ряду	1	15
132	тому как	4	15
133	на деле	1	14
134	все же	6	14
135	в котором	1	14
136	в действительности	2	14
137	свою очередь	2	14
138	то в	3	14
139	связи с	7	14
140	так сказать	1	14
141	во всех	4	14
142	столь же	5	14
143	бы ни	1	14
144	в истории	1	14
145	же время	12	14
146	и без	1	14
147	например в	3	13
148	как на	3	13
149	из них	5	13
150	т п	2	13
151	и все	1	13
152	не следует	1	13
153	значение слова	1	13
154	и его	7	13
155	от него	2	12
156	одно из	3	12
157	другой стороны	5	12
158	до сих	1	12
159	никогда не	5	12
160	в чем	2	12
161	сих пор	1	12
162	в каждом	2	12
163	всяком случае	2	12
164	человеческого духа	2	12
165	что же	1	12
166	относится к	3	12
167	друг друга	5	12
168	только потому	1	12
169	что такое	2	12
170	есть в	1	12
171	тем более	2	12
172	человека и	2	12
173	как мы	2	12
174	все что	3	11
175	и если	1	11
176	что человек	1	11
177	в первом	1	11
178	только для	1	11
179	только на	3	11
180	к нему	1	11
181	в состоянии	1	11
182	души и	1	11
183	его в	4	11
184	подобно тому	4	11
185	в силу	4	11
186	мы видели	1	11
187	сравнительно с	1	11
188	того чтобы	1	11
189	быть не	2	11
190	той же	5	11
191	что для	2	11
192	если не	1	11
193	к одному	1	11
194	и только	4	11
195	же в	6	11
196	но тем	4	10
197	и с	4	10
198	хотя бы	3	10
199	одной стороны	8	10
200	духа и	1	10
201	представить себе	1	10
202	и мы	2	10
203	что при	1	10
204	не от	1	10
205	бы в	1	10
206	и от	1	10
207	и есть	3	10
208	бы быть	1	10
209	он не	4	10
210	образа и	1	10
211	мы говорим	1	10
212	в словах	2	10
213	тех пор	2	10
214	если мы	1	10
215	тем же	5	10
216	и для	1	10
217	так в	6	10
218	между прочим	1	10
219	по которому	1	10
220	только по	1	10
221	тому что	1	10
222	и того	2	9
223	и даже	9	9
224	вопрос о	1	9
225	во многих	3	9
226	на него	1	9
